timestamp,YYYYMMDD,index_price,strategy_raw,strategy_with_cost,unix_timestamp
2017-04-04 01:24:02,20170403,2358.84,100159,100117,1491269042
2017-04-04 05:36:20,20170404,2360.16,100372,100204,1491284180
2017-04-04 09:55:54,20170404,2360.16,100545,100377,1491299754
2017-04-04 14:31:20,20170404,2360.16,98776,98608,1491316280
2017-04-04 18:14:16,20170404,2360.16,97724,97556,1491329656
2017-04-04 20:49:12,20170404,2360.16,97249,97081,1491338952
2017-04-05 01:04:52,20170404,2360.16,97318,97150,1491354292
2017-04-05 05:18:55,20170405,2352.95,97150,96843,1491369535
2017-04-05 09:24:55,20170405,2352.95,97954,97647,1491384295
2017-04-05 14:09:58,20170405,2352.95,100817,100510,1491401398
2017-04-05 18:18:51,20170405,2352.95,98732,98425,1491416331
2017-04-05 20:47:23,20170405,2352.95,94727,94420,1491425243
2017-04-06 01:02:08,20170405,2352.95,95605,95298,1491440528
2017-04-06 05:06:32,20170406,2357.49,95769,95420,1491455192
2017-04-06 18:14:16,20170406,2357.49,92686,92337,1491502456
2017-04-06 20:50:01,20170406,2357.49,93145,92796,1491511801
2017-04-07 01:06:01,20170406,2357.49,92865,92516,1491527161
2017-04-07 18:14:24,20170407,2355.54,93831,93391,1491588864
2017-04-07 18:14:31,20170407,2355.54,93819,93379,1491588871
2017-04-07 20:47:33,20170407,2355.54,94938,94498,1491598053
2017-04-08 00:51:36,20170407,2355.54,94868,94428,1491612696
2017-04-10 18:15:19,20170410,2357.16,95389,94886,1491848119
2017-04-10 20:53:19,20170410,2357.16,95202,94699,1491857599
2017-04-10 21:03:20,20170410,2357.16,95087,94584,1491858200
2017-04-11 20:48:21,20170411,2353.78,95996,95452,1491943701
2017-04-12 18:14:20,20170412,2344.93,93370,92763,1492020860
2017-04-12 18:14:32,20170412,2344.93,93359,92752,1492020872
2017-04-12 20:50:38,20170412,2344.93,92588,91981,1492030238
2017-04-12 20:50:44,20170412,2344.93,92563,91956,1492030244
2017-04-13 18:01:00,20170413,2328.95,94282,93605,1492106460
2017-04-13 18:14:19,20170413,2328.95,93820,93143,1492107259
2017-04-13 20:48:27,20170413,2328.95,95026,94349,1492116507
2017-04-13 20:49:18,20170413,2328.95,95068,94391,1492116558
2017-04-13 20:58:32,20170413,2328.95,95077,94400,1492117112
2017-04-17 18:14:45,20170417,2349.01,95143,94361,1492452885
2017-04-17 20:49:46,20170417,2349.01,95275,94493,1492462186
2017-04-18 18:01:42,20170418,2342.19,92388,91481,1492538502
2017-04-18 18:14:38,20170418,2342.19,92416,91509,1492539278
2017-04-18 20:51:31,20170418,2342.19,92033,91126,1492548691
2017-04-18 20:51:36,20170418,2342.19,92035,91128,1492548696
2017-04-19 18:01:18,20170419,2338.17,91479,90460,1492624878
2017-04-19 18:15:21,20170419,2338.17,92505,91486,1492625721
2017-04-19 18:15:26,20170419,2338.17,92493,91474,1492625726
2017-04-19 20:50:56,20170419,2338.17,92412,91393,1492635056
2017-04-19 20:51:18,20170419,2338.17,92407,91388,1492635078
2017-04-20 20:56:48,20170420,2355.84,94162,93059,1492721808
2017-04-21 18:16:27,20170421,2348.69,94698,93539,1492798587
2017-04-21 20:56:22,20170421,2348.69,94472,93313,1492808182
2017-04-24 11:17:29,20170424,2374.15,90709,89481,1493032649
2017-04-24 11:17:34,20170424,2374.15,90709,89481,1493032654
2017-04-24 18:14:56,20170424,2374.15,89767,88539,1493057696
2017-04-24 20:51:25,20170424,2374.15,89767,88539,1493067085
2017-04-24 20:51:30,20170424,2374.15,89767,88539,1493067090
