rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-09-28 14:00:18 2.0 HE20171214 $0,HE20171214,HE,LH,2017-09-28 14:00:18,58.275,2017-09-28 14:05:00,58.275,0.0,0.0,Open,-1.0,0.0,5.0,-5.0
ib: 2017-09-28 16:44:34 4.0 ZN20171219 $0,ZN20171219,ZN,TY,2017-09-28 16:44:34,125.546875,2017-09-28 17:00:00,125.546875,0.0,0.0,Open,1.0,0.0,10.0,-16.0
ib: 2017-09-28 16:44:24 6.0 ZF20171229 $-93,ZF20171229,ZF,FV,2017-09-28 16:44:24,117.6796875,2017-09-28 17:00:00,117.6640625,0.000132793307217,0.000132793307217,Open,1.0,-93.0,15.0,-16.0
ib: 2017-09-28 16:44:37 2.0 NQ20171215 $60,NQ20171215,NQ,NQ,2017-09-28 16:44:37,5940.0,2017-09-28 17:00:00,5938.5,0.000252589037636,0.000252589037636,Open,-1.0,60.0,5.0,-16.0
ib: 2017-09-28 14:13:04 2.0 ZS20171114 $-24,ZS20171114,ZS,S,2017-09-28 14:13:04,959.25,2017-09-28 14:20:00,959.5,-0.000260552371027,0.000260552371027,Open,-1.0,-24.0,5.0,-7.0
ib: 2017-09-28 16:44:26 2.0 CL20171020 $39,CL20171020,CL,CL,2017-09-28 16:44:26,51.58,2017-09-28 17:00:00,51.56,0.000387897595035,0.000387897595035,Open,-1.0,39.0,5.0,-16.0
ib: 2017-09-28 16:44:30 2.0 CHF20171218 $124,CHF20171218,CHF,SF,2017-09-28 16:44:30,1.0355,2017-09-28 17:00:00,1.036,-0.000482625482625,0.000482625482625,Open,1.0,124.0,5.0,-16.0
ib: 2017-09-28 16:44:39 2.0 EUR20171218 $149,EUR20171218,EUR,CU,2017-09-28 16:44:39,1.1835,2017-09-28 17:00:00,1.1841,-0.00050671395997,0.00050671395997,Open,1.0,149.0,5.0,-16.0
ib: 2017-09-28 16:44:22 2.0 NG20171027 $40,NG20171027,NG,NG,2017-09-28 16:44:22,3.019,2017-09-28 17:00:00,3.017,0.000662910175671,0.000662910175671,Open,-1.0,40.0,5.0,-16.0
ib: 2017-09-28 16:44:20 2.0 NIY20171207 $-133,NIY20171207,NIY,NIY,2017-09-28 16:44:20,20315.0,2017-09-28 17:00:00,20330.0,-0.000737825873094,0.000737825873094,Open,-1.0,-133.0,5.0,-16.0
ib: 2017-09-28 16:44:28 2.0 CAD20171219 $120,CAD20171219,CAD,CD,2017-09-28 16:44:28,0.80465,2017-09-28 17:00:00,0.80525,-0.000745110214219,0.000745110214219,Open,1.0,120.0,5.0,-16.0
ib: 2017-09-28 16:44:56 2.0 PL20180129 $-179,PL20180129,PL,PL,2017-09-28 16:44:56,927.5,2017-09-28 17:00:00,925.7,0.00194447445177,0.00194447445177,Open,1.0,-179.0,5.0,-16.0
