rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-10-26 16:46:21 2.0 NIY20171207 $0,NIY20171207,NIY,NIY,2017-10-26 16:46:21,21855.0,2017-10-26 17:00:00,21855.0,0.0,0.0,Open,-1.0,0.0,5.0,-14.0
ib: 2017-10-26 14:00:19 2.0 HE20171214 $0,HE20171214,HE,LH,2017-10-26 14:00:19,65.05,2017-10-26 14:05:00,65.05,0.0,0.0,Open,1.0,0.0,5.0,-5.0
ib: 2017-10-26 16:46:29 3.0 ES20171215 $-75,ES20171215,ES,ES,2017-10-26 16:46:29,2561.0,2017-10-26 17:00:00,2561.5,-0.000195198126098,0.000195198126098,Open,-1.0,-75.0,7.5,-14.0
ib: 2017-10-26 16:46:31 2.0 JPY20171218 $62,JPY20171218,JPY,JY,2017-10-26 16:46:31,0.879,2017-10-26 17:00:00,0.87925,-0.000284333238556,0.000284333238556,Open,1.0,62.0,5.0,-14.0
ib: 2017-10-26 16:46:35 2.0 EUR20171218 $99,EUR20171218,EUR,CU,2017-10-26 16:46:35,1.16865,2017-10-26 17:00:00,1.16905,-0.000342158162611,0.000342158162611,Open,1.0,99.0,5.0,-14.0
ib: 2017-10-26 16:46:13 2.0 YM20171215 $-110,YM20171215,YM,YM,2017-10-26 16:46:13,23338.0,2017-10-26 17:00:00,23349.0,-0.000471112253201,0.000471112253201,Open,-1.0,-110.0,5.0,-14.0
ib: 2017-10-26 16:46:33 1.0 AUD20171218 $39,AUD20171218,AUD,AD,2017-10-26 16:46:33,0.7658,2017-10-26 17:00:00,0.7662,-0.000522056904203,0.000522056904203,Open,1.0,39.0,2.5,-14.0
ib: 2017-10-26 16:46:22 2.0 RB20171130 $-75,RB20171130,RB,RB,2017-10-26 16:46:22,1.7026,2017-10-26 17:00:00,1.7017,0.000528882881824,0.000528882881824,Open,1.0,-75.0,5.0,-14.0
ib: 2017-10-26 16:46:23 2.0 EMD20171215 $-219,EMD20171215,EMD,EMD,2017-10-26 16:46:23,1827.7,2017-10-26 17:00:00,1828.8,-0.000601487314086,0.000601487314086,Open,-1.0,-219.0,5.0,-14.0
ib: 2017-10-26 16:46:17 2.0 SI20171227 $159,SI20171227,SI,SI,2017-10-26 16:46:17,1679.5,2017-10-26 17:00:00,1681.1,-0.000951757777645,0.000951757777645,Open,1.0,159.0,5.0,-14.0
ib: 2017-10-26 14:13:41 2.0 ZS20180112 $-100,ZS20180112,ZS,S,2017-10-26 14:13:41,983.5,2017-10-26 14:20:00,982.5,0.00101781170483,0.00101781170483,Open,1.0,-100.0,5.0,-7.0
ib: 2017-10-26 14:13:39 6.0 ZL20171214 $143,ZL20171214,ZL,BO,2017-10-26 14:13:39,34.54,2017-10-26 14:20:00,34.5,0.00115942028986,0.00115942028986,Open,-1.0,143.0,15.0,-7.0
ib: 2017-10-26 16:46:15 2.0 GC20171227 $299,GC20171227,GC,GC,2017-10-26 16:46:15,1268.1,2017-10-26 17:00:00,1269.6,-0.00118147448015,0.00118147448015,Open,1.0,299.0,5.0,-14.0
ib: 2017-10-26 16:46:27 2.0 NQ20171215 $300,NQ20171215,NQ,NQ,2017-10-26 16:46:27,6092.25,2017-10-26 17:00:00,6084.75,0.0012325896709,0.0012325896709,Open,-1.0,300.0,5.0,-14.0
ib: 2017-10-26 16:46:25 2.0 ZB20171219 $-437,ZB20171219,ZB,US,2017-10-26 16:46:25,150.5,2017-10-26 17:00:00,150.71875,-0.00145137880987,0.00145137880987,Open,-1.0,-437.0,5.0,-14.0
ib: 2017-10-26 16:46:10 2.0 PA20171227 $-360,PA20171227,PA,PA,2017-10-26 16:46:10,966.3,2017-10-26 17:00:00,968.1,-0.00185931205454,0.00185931205454,Open,-1.0,-360.0,5.0,-14.0
