symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
QHGZ6,150,1476150628,,,219.40000,,future,short,2016-10-10 21:50:28,1476150628,open,2016-10-10 21:50:24,219.40000,250,,0,1,,,106347350,
@TYZ6,-63,1476242520,,,129.78125,,future,long,2016-10-11 23:22:00,1476242520,open,2016-10-11 23:21:56,129.78125,1000,,0,1,,,106381473,
@MMEZ6,5,1476242520,,,907.50000,,future,long,2016-10-11 23:22:00,1476242520,open,2016-10-11 23:21:55,907.00000,50,,0,1,,,106381470,
BBZ6,116,1475809178,,,152.05000,,future,short,2016-10-06 22:59:38,1476150617,open,2016-10-06 22:59:33,151.94000,100000,,0,2,,,106286373,
QCLX6,550,1475809178,,,50.43000,,future,long,2016-10-06 22:59:38,1475809178,open,2016-10-06 22:59:29,50.42000,1000,,0,1,,,106286358,
@BOZ6,-12,1476242520,,,33.61000,,future,long,2016-10-11 23:22:00,1476242520,open,2016-10-11 23:21:53,33.61000,600,,0,1,,,106381461,
@ESZ6,-13,1476242520,,,2137.75000,,future,short,2016-10-11 23:22:00,1476242520,open,2016-10-11 23:21:55,2137.50000,50,,0,1,,,106381467,
QNGX6,1980,1475809178,,,3.03000,,future,long,2016-10-06 22:59:38,1475809178,open,2016-10-06 22:59:32,3.02900,10000,,0,1,,,106286370,
@DXZ6,-1075,1476150617,,,97.08000,,future,short,2016-10-10 21:50:17,1476150617,open,2016-10-09 20:00:27,96.53000,1000,,0,1,,,106318702,
@CZ6,-13,1476242520,,,345.50000,,future,short,2016-10-11 23:22:00,1476242520,open,2016-10-11 23:21:54,345.25000,50,,0,1,,,106381464,
