rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo opened: 2017-04-17 16:49:30 1 QHGK7 $0,QHGK7,2017-04-17 16:49:30,259.6,2017-04-17 17:00:00,259.6,0.0,0.0,Open,1.0,0.0,2.5,-1 days +23:49:30.000000000,-11.0
ctwo opened: 2017-04-17 16:49:34 1 @TYM7 $0,@TYM7,2017-04-17 16:49:34,125.90625,2017-04-17 17:00:00,125.90625,0.0,0.0,Open,1.0,0.0,2.5,-1 days +23:49:34.000000000,-11.0
ctwo opened: 2017-04-17 16:49:34 1 @TUM7 $-15,@TUM7,2017-04-17 16:49:34,108.36719,2017-04-17 17:00:00,108.375,-7.20645905422e-05,7.20645905422e-05,Open,-1.0,-15.0,2.5,-1 days +23:49:34.000000000,-11.0
ctwo opened: 2017-04-17 16:49:28 1 @ESM7 $12,@ESM7,2017-04-17 16:49:28,2345.25,2017-04-17 17:00:00,2345.0,0.000106609808102,0.000106609808102,Open,-1.0,12.0,2.5,-1 days +23:49:28.000000000,-11.0
ctwo opened: 2017-04-17 14:14:24 1 @SMN7 $19,@SMN7,2017-04-17 14:14:24,317.5,2017-04-17 14:20:00,317.7,-0.000629524708845,0.000629524708845,Open,1.0,19.0,2.5,-1 days +23:54:24.000000000,-6.0
ctwo opened: 2017-04-17 14:14:23 1 @CN7 $12,@CN7,2017-04-17 14:14:23,373.0,2017-04-17 14:20:00,373.25,-0.000669792364367,0.000669792364367,Open,1.0,12.0,2.5,-1 days +23:54:23.000000000,-6.0
ctwo opened: 2017-04-17 16:49:28 1 @EMDM7 $189,@EMDM7,2017-04-17 16:49:28,1701.3,2017-04-17 17:00:00,1699.4,0.00111804166176,0.00111804166176,Open,-1.0,189.0,2.5,-1 days +23:49:28.000000000,-11.0
ctwo opened: 2017-04-17 14:14:24 1 @WN7 $24,@WN7,2017-04-17 14:14:24,435.25,2017-04-17 14:20:00,435.75,-0.00114744693058,0.00114744693058,Open,1.0,24.0,2.5,-1 days +23:54:24.000000000,-6.0
ctwo opened: 2017-04-17 16:49:32 1 @JYM7 $-187,@JYM7,2017-04-17 16:49:32,0.0092,2017-04-17 17:00:00,0.009215,-0.00162778079219,0.00162778079219,Open,-1.0,-187.0,2.5,-1 days +23:49:32.000000000,-11.0
ctwo opened: 2017-04-17 16:49:27 1 QCLM7 $-90,QCLM7,2017-04-17 16:49:27,53.2,2017-04-17 17:00:00,53.11,0.00169459612126,0.00169459612126,Open,1.0,-90.0,2.5,-1 days +23:49:27.000000000,-11.0
