rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2016-12-30 16:48:21 10 ZT20170331 $0,ZT20170331,ZT,TU,2016-12-30 16:48:21,108.3125,2016-12-30 17:00:00,108.3125,0.0,0.0,Open,1.0,0.0,25.0,-12.0
ib: 2016-12-30 16:48:37 4 ZF20170331 $-312,ZF20170331,ZF,FV,2016-12-30 16:48:37,117.578125,2016-12-30 17:00:00,117.5,0.000664893617021,0.000664893617021,Open,1.0,-312.0,10.0,-12.0
ib: 2016-12-30 16:48:33 2 ZN20170322 $-437,ZN20170322,ZN,TY,2016-12-30 16:48:33,124.15625,2016-12-30 17:00:00,123.9375,0.00176500252143,0.00176500252143,Open,1.0,-437.0,5.0,-12.0
ib: 2016-12-30 16:48:15 7 MXP20170313 $-350,MXP20170313,MXP,MP,2016-12-30 16:48:15,0.04777,2016-12-30 17:00:00,0.04787,-0.00208899101734,0.00208899101734,Open,-1.0,-350.0,17.5,-12.0
ib: 2016-12-30 16:48:25 2 YM20170317 $-490,YM20170317,YM,YM,2016-12-30 16:48:25,19710.0,2016-12-30 17:00:00,19759.0,-0.00247988258515,0.00247988258515,Open,-1.0,-490.0,5.0,-12.0
ib: 2016-12-30 16:48:31 2 ZB20170322 $-875,ZB20170322,ZB,US,2016-12-30 16:48:31,150.34375,2016-12-30 17:00:00,149.90625,0.00291849072337,0.00291849072337,Open,1.0,-875.0,5.0,-12.0
ib: 2016-12-30 16:48:27 2 NZD20170313 $-439,NZD20170313,NZD,NE,2016-12-30 16:48:27,0.6917,2016-12-30 17:00:00,0.6939,-0.00317048566076,0.00317048566076,Open,-1.0,-439.0,5.0,-12.0
ib: 2016-12-30 16:48:29 2 PL20170426 $-310,PL20170426,PL,PL,2016-12-30 16:48:29,905.5,2016-12-30 17:00:00,902.4,0.00343528368794,0.00343528368794,Open,1.0,-310.0,5.0,-12.0
ib: 2016-12-30 14:13:56 4 ZL20170314 $-287,ZL20170314,ZL,BO,2016-12-30 14:13:56,34.67,2016-12-30 14:20:00,34.79,-0.00344926703076,0.00344926703076,Open,-1.0,-287.0,10.0,-7.0
ib: 2016-12-30 16:48:13 2 ES20170317 $-1100,ES20170317,ES,ES,2016-12-30 16:48:13,2234.0,2016-12-30 17:00:00,2245.0,-0.00489977728285,0.00489977728285,Open,-1.0,-1100.0,5.0,-12.0
ib: 2016-12-30 16:48:19 2 RB20170131 $-713,RB20170131,RB,RB,2016-12-30 16:48:19,1.6713,2016-12-30 17:00:00,1.6798,-0.0050601262055,0.0050601262055,Open,-1.0,-713.0,5.0,-12.0
ib: 2016-12-30 16:48:35 2 EMD20170317 $-1759,EMD20170317,EMD,EMD,2016-12-30 16:48:35,1657.2,2016-12-30 17:00:00,1666.0,-0.00528211284514,0.00528211284514,Open,-1.0,-1759.0,5.0,-12.0
ib: 2016-12-30 14:13:58 2 ZM20170314 $-360,ZM20170314,ZM,SM,2016-12-30 14:13:58,317.2,2016-12-30 14:20:00,319.0,-0.00564263322884,0.00564263322884,Open,-1.0,-360.0,5.0,-7.0
ib: 2016-12-30 14:13:54 2 ZS20170314 $-700,ZS20170314,ZS,S,2016-12-30 14:13:54,1005.75,2016-12-30 14:20:00,1012.75,-0.00691187361145,0.00691187361145,Open,-1.0,-700.0,5.0,-7.0
ib: 2016-12-30 16:48:29 2 NQ20170317 $-2180,NQ20170317,NQ,NQ,2016-12-30 16:48:29,4864.0,2016-12-30 17:00:00,4918.5,-0.0110806140083,0.0110806140083,Open,-1.0,-2180.0,5.0,-12.0
ib: 2016-12-30 14:02:34 2 GF20170330 $-1674,GF20170330,GF,FC,2016-12-30 14:02:34,125.125,2016-12-30 14:05:00,126.8,-0.0132097791798,0.0132097791798,Open,-1.0,-1674.0,5.0,-3.0
ib: 2016-12-30 16:48:17 2 NG20170224 $-1120,NG20170224,NG,NG,2016-12-30 16:48:17,3.698,2016-12-30 17:00:00,3.754,-0.0149174214172,0.0149174214172,Open,-1.0,-1120.0,5.0,-12.0
ib: 2016-12-30 14:02:29 2 LE20170228 $-1600,LE20170228,LE,LC,2016-12-30 14:02:29,115.95,2016-12-30 14:05:00,117.95,-0.0169563374311,0.0169563374311,Open,-1.0,-1600.0,5.0,-3.0
