rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-12-06 16:49:56 1.0 QNGF7 $0,QNGF7,2016-12-06 16:49:56,3.635,2016-12-06 17:00:00,3.635,0.0,0.0,Close,1.0,0.0,2.5,-1 days +23:49:56.000000000,-11.0
ctwo: 2016-12-06 16:49:59 1 @TYH7 $31,@TYH7,2016-12-06 16:49:59,124.5,2016-12-06 17:00:00,124.46875,0.000251067034898,0.000251067034898,Open,-1.0,31.0,2.5,-1 days +23:49:59.000000000,-11.0
ctwo: 2016-12-06 16:49:58 1.0 @TYH7 $31,@TYH7,2016-12-06 16:49:58,124.5,2016-12-06 17:00:00,124.46875,0.000251067034898,0.000251067034898,Close,-1.0,31.0,2.5,-1 days +23:49:58.000000000,-11.0
ctwo: 2016-12-06 16:49:57 1 QNGF7 $9,QNGF7,2016-12-06 16:49:57,3.634,2016-12-06 17:00:00,3.635,-0.000275103163686,0.000275103163686,Open,1.0,9.0,2.5,-1 days +23:49:57.000000000,-11.0
ctwo: 2016-12-06 16:49:55 1 @ESZ6 $-50,@ESZ6,2016-12-06 16:49:55,2211.0,2016-12-06 17:00:00,2210.0,0.000452488687783,0.000452488687783,Open,1.0,-50.0,2.5,-1 days +23:49:55.000000000,-11.0
ctwo: 2016-12-06 16:49:55 1.0 @ESZ6 $-62,@ESZ6,2016-12-06 16:49:55,2211.25,2016-12-06 17:00:00,2210.0,0.000565610859729,0.000565610859729,Close,1.0,-62.0,2.5,-1 days +23:49:55.000000000,-11.0
ctwo: 2016-12-06 16:49:56 1.0 QHGH7 $200,QHGH7,2016-12-06 16:49:56,267.2,2016-12-06 17:00:00,268.0,-0.00298507462687,0.00298507462687,Close,1.0,200.0,2.5,-1 days +23:49:56.000000000,-11.0
ctwo: 2016-12-06 16:49:56 1 QHGH7 $212,QHGH7,2016-12-06 16:49:56,267.15,2016-12-06 17:00:00,268.0,-0.00317164179104,0.00317164179104,Open,1.0,212.0,2.5,-1 days +23:49:56.000000000,-11.0
ctwo: 2016-12-06 14:04:17 1 @BOF7 $-71,@BOF7,2016-12-06 14:04:17,37.94,2016-12-06 14:20:00,37.82,0.00317292437864,0.00317292437864,Open,1.0,-71.0,2.5,-1 days +23:44:17.000000000,-16.0
ctwo: 2016-12-06 14:04:16 1.0 @BOF7 $-78,@BOF7,2016-12-06 14:04:16,37.95,2016-12-06 14:20:00,37.82,0.00343733474352,0.00343733474352,Close,1.0,-78.0,2.5,-1 days +23:44:16.000000000,-16.0
