rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo opened: 2017-06-09 16:46:42 1 @ESM7 $12,@ESM7,2017-06-09 16:46:42,2430.75,2017-06-09 17:00:00,2430.5,0.000102859493931,0.000102859493931,Open,-1.0,12.0,2.5,-1 days +23:46:42.000000000,-14.0
ctwo opened: 2017-06-09 16:46:42 4 @FVU7 $-93,@FVU7,2017-06-09 16:46:42,118.25781,2017-06-09 17:00:00,118.28125,-0.000198171730515,0.000198171730515,Open,-1.0,-93.0,10.0,-1 days +23:46:42.000000000,-14.0
ctwo opened: 2017-06-09 16:46:39 1 @ADM7 $19,@ADM7,2017-06-09 16:46:39,0.753,2017-06-09 17:00:00,0.7528,0.000265674814028,0.000265674814028,Open,-1.0,19.0,2.5,-1 days +23:46:39.000000000,-14.0
ctwo opened: 2017-06-09 14:14:24 3 @BON7 $-17,@BON7,2017-06-09 14:14:24,32.3,2017-06-09 14:20:00,32.29,0.00030969340353,0.00030969340353,Open,1.0,-17.0,7.5,-1 days +23:54:24.000000000,-6.0
ctwo opened: 2017-06-09 14:14:25 2 @SMN7 $-20,@SMN7,2017-06-09 14:14:25,306.0,2017-06-09 14:20:00,305.9,0.000326904217064,0.000326904217064,Open,1.0,-20.0,5.0,-1 days +23:54:25.000000000,-6.0
ctwo opened: 2017-06-09 16:46:46 1 @NEM7 $29,@NEM7,2017-06-09 16:46:46,0.7211,2017-06-09 17:00:00,0.7208,0.000416204217536,0.000416204217536,Open,-1.0,29.0,2.5,-1 days +23:46:46.000000000,-14.0
ctwo opened: 2017-06-09 16:46:48 2 @TYU7 $-124,@TYU7,2017-06-09 16:46:48,126.35938,2017-06-09 17:00:00,126.421875,-0.000494336917563,0.000494336917563,Open,-1.0,-124.0,5.0,-1 days +23:46:48.000000000,-14.0
ctwo opened: 2017-06-09 14:14:26 2 @WN7 $-25,@WN7,2017-06-09 14:14:26,445.5,2017-06-09 14:20:00,445.75,-0.000560852495794,0.000560852495794,Open,-1.0,-25.0,5.0,-1 days +23:54:26.000000000,-6.0
ctwo opened: 2017-06-09 16:46:49 1 @USU7 $93,@USU7,2017-06-09 16:46:49,154.125,2017-06-09 17:00:00,154.21875,-0.000607902735562,0.000607902735562,Open,1.0,93.0,2.5,-1 days +23:46:49.000000000,-14.0
ctwo opened: 2017-06-09 14:14:24 3 @CN7 $37,@CN7,2017-06-09 14:14:24,387.5,2017-06-09 14:20:00,387.75,-0.000644745325596,0.000644745325596,Open,1.0,37.0,7.5,-1 days +23:54:24.000000000,-6.0
ctwo opened: 2017-06-09 14:00:04 1 @GFQ7 $-49,@GFQ7,2017-06-09 14:00:04,154.275,2017-06-09 14:05:00,154.175,0.000648613588455,0.000648613588455,Open,1.0,-49.0,2.5,-1 days +23:55:04.000000000,-5.0
ctwo opened: 2017-06-09 16:46:40 2 @CDM7 $-109,@CDM7,2017-06-09 16:46:40,0.743,2017-06-09 17:00:00,0.74245,0.000740790625631,0.000740790625631,Open,1.0,-109.0,5.0,-1 days +23:46:40.000000000,-14.0
ctwo opened: 2017-06-09 16:46:43 1 QHGN7 $49,QHGN7,2017-06-09 16:46:43,264.75,2017-06-09 17:00:00,264.95,-0.000754859407435,0.000754859407435,Open,1.0,49.0,2.5,-1 days +23:46:43.000000000,-14.0
ctwo opened: 2017-06-09 16:46:41 1 QCLN7 $-60,QCLN7,2017-06-09 16:46:41,45.89,2017-06-09 17:00:00,45.83,0.00130918612263,0.00130918612263,Open,1.0,-60.0,2.5,-1 days +23:46:41.000000000,-14.0
ctwo opened: 2017-06-09 16:46:48 1 QRBN7 $-100,QRBN7,2017-06-09 16:46:48,1.5041,2017-06-09 17:00:00,1.5017,0.00159818871945,0.00159818871945,Open,1.0,-100.0,2.5,-1 days +23:46:48.000000000,-14.0
ctwo opened: 2017-06-09 16:46:47 1 @NKDU7 $-181,@NKDU7,2017-06-09 16:46:47,19955.0,2017-06-09 17:00:00,19915.0,0.00200853627919,0.00200853627919,Open,1.0,-181.0,2.5,-1 days +23:46:47.000000000,-14.0
ctwo opened: 2017-06-09 16:46:44 1 QHON7 $-147,QHON7,2017-06-09 16:46:44,1.4347,2017-06-09 17:00:00,1.4312,0.00244550027949,0.00244550027949,Open,1.0,-147.0,2.5,-1 days +23:46:44.000000000,-14.0
ctwo opened: 2017-06-09 16:46:45 3 @PXM7 $-209,@PXM7,2017-06-09 16:46:45,0.05503,2017-06-09 17:00:00,0.05489,0.00255055565677,0.00255055565677,Open,1.0,-209.0,7.5,-1 days +23:46:45.000000000,-14.0
