rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-29 20:00:28 3 @CH7 $37,@CH7,2016-11-29 20:00:28,349.25,2016-11-29 14:20:00,349.0,0.000716332378223,0.000716332378223,Open,-1.0,37.0,7.5,0 days 05:40:28.000000000,340.0
ctwo: 2016-11-29 20:00:18 3.0 @CH7 $37,@CH7,2016-11-29 20:00:18,349.25,2016-11-29 14:20:00,349.0,0.000716332378223,0.000716332378223,Close,-1.0,37.0,7.5,0 days 05:40:18.000000000,340.0
ctwo: 2016-11-29 20:00:24 1 @SF7 $62,@SF7,2016-11-29 20:00:24,1043.75,2016-11-29 14:20:00,1042.5,0.00119904076739,0.00119904076739,Open,-1.0,62.0,2.5,0 days 05:40:24.000000000,340.0
ctwo: 2016-11-29 20:00:12 1.0 @SF7 $62,@SF7,2016-11-29 20:00:12,1043.75,2016-11-29 14:20:00,1042.5,0.00119904076739,0.00119904076739,Close,-1.0,62.0,2.5,0 days 05:40:12.000000000,340.0
ctwo: 2016-11-29 20:00:39 2 @BOF7 $84,@BOF7,2016-11-29 20:00:39,36.69,2016-11-29 14:20:00,36.62,0.00191152375751,0.00191152375751,Open,-1.0,84.0,5.0,0 days 05:40:39.000000000,340.0
ctwo: 2016-11-29 20:00:24 2.0 @BOF7 $84,@BOF7,2016-11-29 20:00:24,36.69,2016-11-29 14:20:00,36.62,0.00191152375751,0.00191152375751,Close,-1.0,84.0,5.0,0 days 05:40:24.000000000,340.0
ctwo: 2016-11-29 18:00:38 1 @SMF7 $169,@SMF7,2016-11-29 18:00:38,325.9,2016-11-29 14:20:00,324.2,0.00524367674275,0.00524367674275,Open,-1.0,169.0,2.5,0 days 03:40:38.000000000,220.0
ctwo: 2016-11-29 18:00:24 1.0 @SMF7 $169,@SMF7,2016-11-29 18:00:24,325.9,2016-11-29 14:20:00,324.2,0.00524367674275,0.00524367674275,Close,-1.0,169.0,2.5,0 days 03:40:24.000000000,220.0
ctwo: 2016-11-30 18:00:19 1.0 @ESZ6 $-12,@ESZ6,2016-11-30 18:00:19,2199.0,2016-11-30 17:00:00,2198.75,0.000113700966458,0.000113700966458,Close,1.0,-12.0,2.5,0 days 01:00:19.000000000,60.0
ctwo: 2016-11-30 18:00:24 1 @ESZ6 $-12,@ESZ6,2016-11-30 18:00:24,2199.0,2016-11-30 17:00:00,2198.75,0.000113700966458,0.000113700966458,Open,1.0,-12.0,2.5,0 days 01:00:24.000000000,60.0
ctwo: 2016-11-30 17:00:54 1 @YMZ6 $35,@YMZ6,2016-11-30 17:00:54,19125.0,2016-11-30 17:00:00,19132.0,-0.000365879155342,0.000365879155342,Open,1.0,35.0,2.5,0 days 00:00:54.000000000,0.0
ctwo: 2016-11-30 17:00:49 1.0 QGCG7 $59,QGCG7,2016-11-30 17:00:49,1174.5,2016-11-30 17:00:00,1173.9,0.000511116790186,0.000511116790186,Close,-1.0,59.0,2.5,0 days 00:00:49.000000000,0.0
ctwo: 2016-11-30 17:00:49 1 QGCG7 $59,QGCG7,2016-11-30 17:00:49,1174.5,2016-11-30 17:00:00,1173.9,0.000511116790186,0.000511116790186,Open,-1.0,59.0,2.5,0 days 00:00:49.000000000,0.0
ctwo: 2016-11-30 17:00:51 1 @NKDZ6 $43,@NKDZ6,2016-11-30 17:00:51,18605.0,2016-11-30 17:00:00,18615.0,-0.000537201181843,0.000537201181843,Open,1.0,43.0,2.5,0 days 00:00:51.000000000,0.0
ctwo: 2016-11-30 17:00:50 1.0 QNGF7 $19,QNGF7,2016-11-30 17:00:50,3.35,2016-11-30 17:00:00,3.352,-0.000596658711217,0.000596658711217,Close,1.0,19.0,2.5,0 days 00:00:50.000000000,0.0
ctwo: 2016-11-30 18:00:22 1.0 @NQZ6 $-75,@NQZ6,2016-11-30 18:00:22,4819.75,2016-11-30 17:00:00,4816.0,0.00077865448505,0.00077865448505,Close,1.0,-75.0,2.5,0 days 01:00:22.000000000,60.0
ctwo: 2016-11-30 18:00:38 1 @NQZ6 $-75,@NQZ6,2016-11-30 18:00:38,4819.75,2016-11-30 17:00:00,4816.0,0.00077865448505,0.00077865448505,Open,1.0,-75.0,2.5,0 days 01:00:38.000000000,60.0
