rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2016-12-05 16:53:28 2 CHF20161219 $0,CHF20161219,CHF,SF,2016-12-05 16:53:28,0.9942,2016-12-05 17:00:00,0.9942,0.0,0.0,Open,1.0,0.0,5.0,-7.0
ib: 2016-12-05 16:54:02 8 ZT20170331 $-125,ZT20170331,ZT,TU,2016-12-05 16:54:02,108.390625,2016-12-05 17:00:00,108.3984375,-7.20720720721e-05,7.20720720721e-05,Open,-1.0,-125.0,20.0,-6.0
ib: 2016-12-05 16:53:55 2 CAD20161220 $19,CAD20161220,CAD,CD,2016-12-05 16:53:55,0.7538,2016-12-05 17:00:00,0.7539,-0.000132643586683,0.000132643586683,Open,1.0,19.0,5.0,-7.0
ib: 2016-12-05 16:53:48 2 GBP20161219 $-24,GBP20161219,GBP,BP,2016-12-05 16:53:48,1.2729,2016-12-05 17:00:00,1.2727,0.000157146224562,0.000157146224562,Open,1.0,-24.0,5.0,-7.0
ib: 2016-12-05 16:53:34 4 ZF20170331 $-124,ZF20170331,ZF,FV,2016-12-05 16:53:34,117.7890625,2016-12-05 17:00:00,117.8203125,-0.000265234400902,0.000265234400902,Open,-1.0,-124.0,10.0,-7.0
ib: 2016-12-05 16:53:52 2 YM20161216 $-60,YM20161216,YM,YM,2016-12-05 16:53:52,19216.0,2016-12-05 17:00:00,19210.0,0.00031233732431,0.00031233732431,Open,1.0,-60.0,5.0,-7.0
ib: 2016-12-05 16:54:00 2 EUR20161219 $137,EUR20161219,EUR,CU,2016-12-05 16:54:00,1.0769,2016-12-05 17:00:00,1.07745,-0.000510464522716,0.000510464522716,Open,1.0,137.0,5.0,-6.0
ib: 2016-12-05 16:53:42 2 NQ20161216 $-100,NQ20161216,NQ,NQ,2016-12-05 16:53:42,4783.0,2016-12-05 17:00:00,4780.5,0.000522957849597,0.000522957849597,Open,1.0,-100.0,5.0,-7.0
ib: 2016-12-05 16:53:40 2 ES20161216 $-125,ES20161216,ES,ES,2016-12-05 16:53:40,2205.5,2016-12-05 17:00:00,2204.25,0.000567086310536,0.000567086310536,Open,1.0,-125.0,5.0,-7.0
ib: 2016-12-05 16:53:36 2 ZN20170322 $-156,ZN20170322,ZN,TY,2016-12-05 16:53:36,124.390625,2016-12-05 17:00:00,124.46875,-0.000627667587246,0.000627667587246,Open,-1.0,-156.0,5.0,-7.0
ib: 2016-12-05 14:15:53 2 ZS20170113 $75,ZS20170113,ZS,S,2016-12-05 14:15:53,1042.75,2016-12-05 14:20:00,1043.5,-0.000718735026354,0.000718735026354,Open,1.0,75.0,5.0,-5.0
ib: 2016-12-05 14:15:55 2 ZM20170113 $60,ZM20170113,ZM,SM,2016-12-05 14:15:55,319.2,2016-12-05 14:20:00,319.5,-0.00093896713615,0.00093896713615,Open,1.0,60.0,5.0,-5.0
ib: 2016-12-05 16:53:24 2 EMD20161216 $-340,EMD20161216,EMD,EMD,2016-12-05 16:53:24,1643.2,2016-12-05 17:00:00,1641.5,0.00103563813585,0.00103563813585,Open,1.0,-340.0,5.0,-7.0
ib: 2016-12-05 16:53:46 2 NIY20161208 $-175,NIY20161208,NIY,NIY,2016-12-05 16:53:46,18425.0,2016-12-05 17:00:00,18405.0,0.00108666123336,0.00108666123336,Open,1.0,-175.0,5.0,-7.0
ib: 2016-12-05 16:53:56 2 HG20170329 $150,HG20170329,HG,HG,2016-12-05 16:53:56,269.5,2016-12-05 17:00:00,269.8,-0.00111193476649,0.00111193476649,Open,1.0,150.0,5.0,-7.0
ib: 2016-12-05 16:53:44 2 JPY20161219 $-249,JPY20161219,JPY,JY,2016-12-05 16:53:44,0.8784,2016-12-05 17:00:00,0.8794,-0.00113713895838,0.00113713895838,Open,-1.0,-249.0,5.0,-7.0
ib: 2016-12-05 16:53:32 1 PA20170329 $-85,PA20170329,PA,PA,2016-12-05 16:53:32,746.9,2016-12-05 17:00:00,746.05,0.00113933382481,0.00113933382481,Open,1.0,-85.0,2.5,-7.0
ib: 2016-12-05 14:15:57 5 ZC20170314 $125,ZC20170314,ZC,C,2016-12-05 14:15:57,358.75,2016-12-05 14:20:00,359.25,-0.00139178844816,0.00139178844816,Open,1.0,125.0,12.5,-5.0
ib: 2016-12-05 16:53:38 2 MXP20161219 $70,MXP20161219,MXP,MP,2016-12-05 16:53:38,0.04848,2016-12-05 17:00:00,0.04855,-0.00144181256437,0.00144181256437,Open,1.0,70.0,5.0,-7.0
ib: 2016-12-05 14:15:49 4 ZW20170314 $150,ZW20170314,ZW,W,2016-12-05 14:15:49,407.5,2016-12-05 14:20:00,408.25,-0.00183710961421,0.00183710961421,Open,1.0,150.0,10.0,-5.0
ib: 2016-12-05 16:53:58 2 GC20170224 $-919,GC20170224,GC,GC,2016-12-05 16:53:58,1171.9,2016-12-05 17:00:00,1176.5,-0.00390990225244,0.00390990225244,Open,-1.0,-919.0,5.0,-7.0
ib: 2016-12-05 16:53:26 2 RB20161230 $672,RB20161230,RB,RB,2016-12-05 16:53:26,1.5495,2016-12-05 17:00:00,1.5575,-0.00513643659711,0.00513643659711,Open,1.0,672.0,5.0,-7.0
ib: 2016-12-05 16:53:30 2 CL20161220 $1599,CL20161220,CL,CL,2016-12-05 16:53:30,50.99,2016-12-05 17:00:00,51.79,-0.0154469974899,0.0154469974899,Open,1.0,1599.0,5.0,-7.0
ib: 2016-12-05 16:53:53 2 NG20161228 $1239,NG20161228,NG,NG,2016-12-05 16:53:53,3.592,2016-12-05 17:00:00,3.654,-0.0169677066229,0.0169677066229,Open,1.0,1239.0,5.0,-7.0
