rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2017-01-03 16:52:23 2 ZF20170331 $0,ZF20170331,ZF,FV,2017-01-03 16:52:23,117.546875,2017-01-03 17:00:00,117.53125,0.000132943366126,0.000132943366126,Open,0.0,0.0,5.0,-8.0
ib: 2017-01-03 16:51:53 5 ZT20170331 $0,ZT20170331,ZT,TU,2017-01-03 16:51:53,108.265625,2017-01-03 17:00:00,108.25,0.000144341801386,0.000144341801386,Open,0.0,0.0,12.5,-9.0
ib: 2017-01-03 16:52:17 1 ZN20170322 $0,ZN20170322,ZN,TY,2017-01-03 16:52:17,124.078125,2017-01-03 17:00:00,124.109375,-0.000251794032481,0.000251794032481,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:52:13 1 ZB20170322 $0,ZB20170322,ZB,US,2017-01-03 16:52:13,150.53125,2017-01-03 17:00:00,150.6875,-0.00103691414351,0.00103691414351,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:52:15 1 JPY20170313 $0,JPY20170313,JPY,JY,2017-01-03 16:52:15,0.85165,2017-01-03 17:00:00,0.85265,-0.0011728141676,0.0011728141676,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:51:59 1 YM20170317 $0,YM20170317,YM,YM,2017-01-03 16:51:59,19800.0,2017-01-03 17:00:00,19856.0,-0.00282030620467,0.00282030620467,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:52:03 1 NZD20170313 $0,NZD20170313,NZD,NE,2017-01-03 16:52:03,0.6901,2017-01-03 17:00:00,0.693,-0.0041847041847,0.0041847041847,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:51:57 1 CHF20170313 $0,CHF20170313,CHF,SF,2017-01-03 16:51:57,0.9768,2017-01-03 17:00:00,0.9811,-0.0043828355927,0.0043828355927,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:52:11 1 GC20170224 $0,GC20170224,GC,GC,2017-01-03 16:52:11,1159.8,2017-01-03 17:00:00,1165.3,-0.00471981464001,0.00471981464001,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:51:39 1 ES20170317 $0,ES20170317,ES,ES,2017-01-03 16:51:39,2252.5,2017-01-03 17:00:00,2264.25,-0.005189356299,0.005189356299,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:51:55 1 NQ20170317 $0,NQ20170317,NQ,NQ,2017-01-03 16:51:55,4906.75,2017-01-03 17:00:00,4933.5,-0.00542211411777,0.00542211411777,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:51:33 1 AUD20170313 $0,AUD20170313,AUD,AD,2017-01-03 16:51:33,0.7209,2017-01-03 17:00:00,0.7252,-0.00592939878654,0.00592939878654,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:51:41 1 EUR20170313 $0,EUR20170313,EUR,CU,2017-01-03 16:51:41,1.0436,2017-01-03 17:00:00,1.04985,-0.00595323141401,0.00595323141401,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:52:01 1 GBP20170313 $0,GBP20170313,GBP,BP,2017-01-03 16:52:01,1.2253,2017-01-03 17:00:00,1.2333,-0.00648666180167,0.00648666180167,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:52:05 1 HO20170131 $0,HO20170131,HO,HO,2017-01-03 16:52:05,1.682,2017-01-03 17:00:00,1.693,-0.00649734199646,0.00649734199646,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:52:09 1 PL20170426 $0,PL20170426,PL,PL,2017-01-03 16:52:09,940.4,2017-01-03 17:00:00,947.2,-0.00717905405405,0.00717905405405,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:52:07 2 CAD20170314 $0,CAD20170314,CAD,CD,2017-01-03 16:52:07,0.745,2017-01-03 17:00:00,0.75165,-0.00884720282046,0.00884720282046,Open,0.0,0.0,5.0,-8.0
ib: 2017-01-03 14:02:49 1 GF20170330 $0,GF20170330,GF,FC,2017-01-03 14:02:49,124.9,2017-01-03 14:05:00,123.75,0.00929292929293,0.00929292929293,Open,0.0,0.0,2.5,-3.0
ib: 2017-01-03 16:51:51 1 RB20170131 $0,RB20170131,RB,RB,2017-01-03 16:51:51,1.6292,2017-01-03 17:00:00,1.6459,-0.0101464244486,0.0101464244486,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 14:02:45 1 LE20170228 $0,LE20170228,LE,LC,2017-01-03 14:02:45,114.5,2017-01-03 14:05:00,115.675,-0.0101577696131,0.0101577696131,Open,0.0,0.0,2.5,-3.0
ib: 2017-01-03 14:13:53 2 ZL20170314 $0,ZL20170314,ZL,BO,2017-01-03 14:13:53,34.77,2017-01-03 14:20:00,35.21,-0.0124964498722,0.0124964498722,Open,0.0,0.0,5.0,-7.0
ib: 2017-01-03 16:51:49 1 SI20170329 $0,SI20170329,SI,SI,2017-01-03 16:51:49,1634.5,2017-01-03 17:00:00,1655.2,-0.012506041566,0.012506041566,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 14:13:59 3 ZC20170314 $0,ZC20170314,ZC,C,2017-01-03 14:13:59,355.0,2017-01-03 14:20:00,359.75,-0.0132036136206,0.0132036136206,Open,0.0,0.0,7.5,-7.0
ib: 2017-01-03 16:52:19 1 EMD20170317 $0,EMD20170317,EMD,EMD,2017-01-03 16:52:19,1668.5,2017-01-03 17:00:00,1694.1,-0.0151112685202,0.0151112685202,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:51:35 1 NIY20170309 $0,NIY20170309,NIY,NIY,2017-01-03 16:51:35,19320.0,2017-01-03 17:00:00,19625.0,-0.0155414012739,0.0155414012739,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 16:52:21 1 CL20170120 $0,CL20170120,CL,CL,2017-01-03 16:52:21,52.43,2017-01-03 17:00:00,53.26,-0.0155839279009,0.0155839279009,Open,0.0,0.0,2.5,-8.0
ib: 2017-01-03 16:51:45 1 NG20170224 $0,NG20170224,NG,NG,2017-01-03 16:51:45,3.304,2017-01-03 17:00:00,3.249,0.0169282856263,0.0169282856263,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 14:02:47 1 HE20170214 $0,HE20170214,HE,LH,2017-01-03 14:02:47,63.45,2017-01-03 14:05:00,64.6,-0.0178018575851,0.0178018575851,Open,0.0,0.0,2.5,-3.0
ib: 2017-01-03 14:13:51 1 ZS20170314 $0,ZS20170314,ZS,S,2017-01-03 14:13:51,995.5,2017-01-03 14:20:00,1015.25,-0.0194533366166,0.0194533366166,Open,0.0,0.0,2.5,-7.0
ib: 2017-01-03 14:13:55 1 ZM20170314 $0,ZM20170314,ZM,SM,2017-01-03 14:13:55,312.5,2017-01-03 14:20:00,319.1,-0.0206831714196,0.0206831714196,Open,0.0,0.0,2.5,-7.0
ib: 2017-01-03 16:51:43 4 MXP20170313 $0,MXP20170313,MXP,MP,2017-01-03 16:51:43,0.04694,2017-01-03 17:00:00,0.04598,0.0208786428882,0.0208786428882,Open,0.0,0.0,10.0,-9.0
ib: 2017-01-03 16:51:47 1 HG20170329 $0,HG20170329,HG,HG,2017-01-03 16:51:47,248.75,2017-01-03 17:00:00,255.65,-0.0269900254254,0.0269900254254,Open,0.0,0.0,2.5,-9.0
ib: 2017-01-03 14:13:57 2 ZW20170314 $0,ZW20170314,ZW,W,2017-01-03 14:13:57,406.25,2017-01-03 14:20:00,418.5,-0.0292712066906,0.0292712066906,Open,0.0,0.0,5.0,-7.0
ib: 2017-01-03 16:51:37 1 PA20170329 $0,PA20170329,PA,PA,2017-01-03 16:51:37,712.05,2017-01-03 17:00:00,738.8,-0.0362073632918,0.0362073632918,Open,0.0,0.0,2.5,-9.0
