rowname,contract,c2timestamp,c2price,trigger,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-17 20:00:03 1 @CH7 $0,@CH7,2016-11-17 20:00:03,349.75,2016-11-17 13:50:00,349.75,0.0,0.0,Open,1.0,0.0,2.5,0 days 06:10:03.000000000,370.0
ctwo: 2016-11-18 13:38:32 2.0 @TUZ6 $-249,@TUZ6,2016-11-18 13:38:32,108.695313,2016-11-17 16:30:00,108.7578125,-0.000574666762445,0.000574666762445,Close,-1.0,-249.0,5.0,0 days 21:08:32.000000000,1268.0
ctwo: 2016-11-18 13:38:33 2 @TUZ6 $-250,@TUZ6,2016-11-18 13:38:33,108.69531,2016-11-17 16:30:00,108.7578125,-0.00057469434667,0.00057469434667,Open,-1.0,-250.0,5.0,0 days 21:08:33.000000000,1268.0
ctwo: 2016-11-18 13:38:30 1 @EMDZ6 $-100,@EMDZ6,2016-11-18 13:38:30,1604.8,2016-11-17 16:30:00,1603.8,0.000623519142038,0.000623519142038,Open,1.0,-100.0,2.5,0 days 21:08:30.000000000,1268.0
ctwo: 2016-11-18 13:38:29 1.0 @EMDZ6 $-120,@EMDZ6,2016-11-18 13:38:29,1605.0,2016-11-17 16:30:00,1603.8,0.000748222970445,0.000748222970445,Close,1.0,-120.0,2.5,0 days 21:08:29.000000000,1268.0
ctwo: 2016-11-18 13:38:30 1.0 @ESZ6 $124,@ESZ6,2016-11-18 13:38:30,2181.75,2016-11-17 16:30:00,2184.25,-0.00114455762848,0.00114455762848,Close,1.0,124.0,2.5,0 days 21:08:30.000000000,1268.0
ctwo: 2016-11-18 13:38:30 1 @ESZ6 $137,@ESZ6,2016-11-18 13:38:30,2181.5,2016-11-17 16:30:00,2184.25,-0.00125901339132,0.00125901339132,Open,1.0,137.0,2.5,0 days 21:08:30.000000000,1268.0
ctwo: 2016-11-18 13:38:33 1 @TYZ6 $-531,@TYZ6,2016-11-18 13:38:33,125.54688,2016-11-17 16:30:00,126.078125,-0.00421361754864,0.00421361754864,Open,-1.0,-531.0,2.5,0 days 21:08:33.000000000,1268.0
ctwo: 2016-11-18 13:38:33 1.0 @TYZ6 $-531,@TYZ6,2016-11-18 13:38:33,125.546875,2016-11-17 16:30:00,126.078125,-0.00421365720659,0.00421365720659,Close,-1.0,-531.0,2.5,0 days 21:08:33.000000000,1268.0
ctwo: 2016-11-18 13:38:32 1.0 @SMF7 $150,@SMF7,2016-11-18 13:38:32,312.3,2016-11-17 13:50:00,313.8,-0.00478011472275,0.00478011472275,Close,1.0,150.0,2.5,0 days 23:48:32.000000000,1428.0
ctwo: 2016-11-18 13:38:32 1 @SMF7 $169,@SMF7,2016-11-18 13:38:32,312.1,2016-11-17 13:50:00,313.8,-0.00541746335245,0.00541746335245,Open,1.0,169.0,2.5,0 days 23:48:32.000000000,1428.0
ctwo: 2016-11-18 13:38:31 1 @JYZ6 $-718,@JYZ6,2016-11-18 13:38:31,0.00905,2016-11-17 16:30:00,0.0091075,-0.00631347790283,0.00631347790283,Open,-1.0,-718.0,2.5,0 days 21:08:31.000000000,1268.0
ctwo: 2016-11-18 13:38:31 1.0 @JYZ6 $-781,@JYZ6,2016-11-18 13:38:31,0.009045,2016-11-17 16:30:00,0.0091075,-0.00686247598133,0.00686247598133,Close,-1.0,-781.0,2.5,0 days 21:08:31.000000000,1268.0
ctwo: 2016-11-18 13:38:31 1 QHGH7 $637,QHGH7,2016-11-18 13:38:31,247.65,2016-11-17 16:30:00,250.2,-0.0101918465228,0.0101918465228,Open,1.0,637.0,2.5,0 days 21:08:31.000000000,1268.0
ctwo: 2016-11-18 13:38:34 1 @WH7 $-275,@WH7,2016-11-18 13:38:34,425.5,2016-11-17 13:50:00,420.0,0.0130952380952,0.0130952380952,Open,1.0,-275.0,2.5,0 days 23:48:34.000000000,1428.0
ctwo: 2016-11-18 13:38:34 1.0 @WH7 $-287,@WH7,2016-11-18 13:38:34,425.75,2016-11-17 13:50:00,420.0,0.0136904761905,0.0136904761905,Close,1.0,-287.0,2.5,0 days 23:48:34.000000000,1428.0
