rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta,symbol
2016-10-05 09:31:31 ctwo:123.75 csi:123.75 @GFX6,10/5/2016 9:31,123.75,10/4/2016 20:00,123.75,0,0,Open,0 days 13:31:31.000000000,0.563553241,@GFX6
2016-10-05 02:21:11 ctwo:8769.2 csi:8769.2 IBV6,10/5/2016 2:21,8769.2,10/4/2016 20:00,8769.2,0,0,Open,0 days 06:21:11.000000000,0.264710648,IBV6
2016-10-04 22:21:06 ctwo:181.25 csi:181.25 @OZ6,10/4/2016 22:21,181.25,10/4/2016 20:00,181.25,0,0,Open,0 days 02:21:06.000000000,0.097986111,@OZ6
2016-10-04 22:21:15 ctwo:109.10156 csi:109.1015625 @TUZ6,10/4/2016 22:21,109.10156,10/4/2016 20:00,109.1015625,-2.29E-08,2.29E-08,Open,0 days 02:21:15.000000000,0.098090278,@TUZ6
2016-10-04 22:21:11 ctwo:152.14 csi:152.13 BBZ6,10/4/2016 22:21,152.14,10/4/2016 20:00,152.13,6.57E-05,6.57E-05,Close,0 days 02:21:11.000000000,0.098043981,BBZ6
2016-10-04 22:21:17 ctwo:18090.0 csi:18092.0 @YMZ6,10/4/2016 22:21,18090,10/4/2016 20:00,18092,-0.000110546,0.000110546,Open,0 days 02:21:17.000000000,0.098113426,@YMZ6
2016-10-04 22:20:53 ctwo:121.148438 csi:121.1328125 @FVZ6,10/4/2016 22:20,121.148438,10/4/2016 20:00,121.1328125,0.000128995,0.000128995,Close,0 days 02:20:53.000000000,0.097835648,@FVZ6
2016-10-04 22:20:53 ctwo:121.14844 csi:121.1328125 @FVZ6,10/4/2016 22:20,121.14844,10/4/2016 20:00,121.1328125,0.000129011,0.000129011,Open,0 days 02:20:53.000000000,0.097835648,@FVZ6
2016-10-04 22:21:16 ctwo:166.40625 csi:166.4375 @USZ6,10/4/2016 22:21,166.40625,10/4/2016 20:00,166.4375,-0.000187758,0.000187758,Open,0 days 02:21:16.000000000,0.098101852,@USZ6
2016-10-04 22:21:10 ctwo:466.9 csi:467.0 @RSX6,10/4/2016 22:21,466.9,10/4/2016 20:00,467,-0.000214133,0.000214133,Open,0 days 02:21:10.000000000,0.098032407,@RSX6
2016-10-04 22:21:17 ctwo:98.44 csi:98.48 HTSZ6,10/4/2016 22:21,98.44,10/4/2016 20:00,98.48,-0.000406174,0.000406174,Open,0 days 02:21:17.000000000,0.098113426,HTSZ6
2016-10-04 22:21:00 ctwo:0.00975 csi:0.0097545 @JYZ6,10/4/2016 22:21,0.00975,10/4/2016 20:00,0.0097545,-0.000461326,0.000461326,Open,0 days 02:21:00.000000000,0.097916667,@JYZ6
2016-10-04 22:21:18 ctwo:97.92 csi:97.97 HXSZ6,10/4/2016 22:21,97.92,10/4/2016 20:00,97.97,-0.00051036,0.00051036,Open,0 days 02:21:18.000000000,0.098125,HXSZ6
2016-10-04 22:21:13 ctwo:306.5 csi:306.3 @SMZ6,10/4/2016 22:21,306.5,10/4/2016 20:00,306.3,0.000652955,0.000652955,Open,0 days 02:21:13.000000000,0.09806713,@SMZ6
2016-10-04 22:21:10 ctwo:962.75 csi:963.5 @SX6,10/4/2016 22:21,962.75,10/4/2016 20:00,963.5,-0.000778412,0.000778412,Open,0 days 02:21:10.000000000,0.098032407,@SX6
2016-10-04 22:21:09 ctwo:699.0 csi:699.55 QPAZ6,10/4/2016 22:21,699,10/4/2016 20:00,699.55,-0.00078622,0.00078622,Open,0 days 02:21:09.000000000,0.098020833,QPAZ6
