rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta,symbol
2016-10-05 23:24:07 ctwo:16950.0 csi:16950.0 @NKDZ6,10/5/2016 23:24,16950,10/5/2016 20:00,16950,0,0,Close,0 days 03:24:07.000000000,0.141747685,@NKDZ6
2016-10-05 23:24:12 ctwo:109.07031 csi:109.0546875 @TUZ6,10/5/2016 23:24,109.07031,10/5/2016 20:00,109.0546875,0.000143254,0.000143254,Open,0 days 03:24:12.000000000,0.141805556,@TUZ6
2016-10-05 23:24:10 ctwo:152.03 csi:152.06 BBZ6,10/5/2016 23:24,152.03,10/5/2016 20:00,152.06,-0.000197291,0.000197291,Close,0 days 03:24:10.000000000,0.141782407,BBZ6
2016-10-05 23:24:14 ctwo:98.42 csi:98.44 HTSZ6,10/5/2016 23:24,98.42,10/5/2016 20:00,98.44,-0.000203169,0.000203169,Close,0 days 03:24:14.000000000,0.141828704,HTSZ6
2016-10-05 23:24:12 ctwo:109.078125 csi:109.0546875 @TUZ6,10/5/2016 23:24,109.078125,10/5/2016 20:00,109.0546875,0.000214915,0.000214915,Close,0 days 03:24:12.000000000,0.141805556,@TUZ6
2016-10-06 02:01:54 ctwo:131.83 csi:131.79 BLZ6,10/6/2016 2:01,131.83,10/5/2016 20:00,131.79,0.000303513,0.000303513,Close,0 days 06:01:54.000000000,0.251319444,BLZ6
2016-10-05 23:24:15 ctwo:97.88 csi:97.91 HXSZ6,10/5/2016 23:24,97.88,10/5/2016 20:00,97.91,-0.000306404,0.000306404,Open,0 days 03:24:15.000000000,0.141840278,HXSZ6
2016-10-05 23:24:14 ctwo:97.88 csi:97.91 HXSZ6,10/5/2016 23:24,97.88,10/5/2016 20:00,97.91,-0.000306404,0.000306404,Close,0 days 03:24:14.000000000,0.141828704,HXSZ6
2016-10-05 23:24:07 ctwo:4872.0 csi:4873.5 @NQZ6,10/5/2016 23:24,4872,10/5/2016 20:00,4873.5,-0.000307787,0.000307787,Close,0 days 03:24:07.000000000,0.141747685,@NQZ6
2016-10-05 23:23:56 ctwo:96.15 csi:96.114 @DXZ6,10/5/2016 23:23,96.15,10/5/2016 20:00,96.114,0.000374555,0.000374555,Close,0 days 03:23:56.000000000,0.14162037,@DXZ6
2016-10-05 23:24:00 ctwo:121.015625 csi:120.96875 @FVZ6,10/5/2016 23:24,121.015625,10/5/2016 20:00,120.96875,0.000387497,0.000387497,Close,0 days 03:24:00.000000000,0.141666667,@FVZ6
2016-10-06 03:30:03 ctwo:23.8 csi:23.81 @SBH7,10/6/2016 3:30,23.8,10/5/2016 20:00,23.81,-0.000419992,0.000419992,Close,0 days 07:30:03.000000000,0.312534722,@SBH7
2016-10-05 23:24:10 ctwo:317.4 csi:317.25 SSV6,10/5/2016 23:24,317.4,10/5/2016 20:00,317.25,0.000472813,0.000472813,Close,0 days 03:24:10.000000000,0.141782407,SSV6
