rowname,symbol,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta
2016-11-11 02:21:14 ctwo:8725.2 csi:8725.2 IBX6,IBX6,2016-11-11 02:21:14,8725.2,2016-11-10 20:00:00,8725.2,0.0,0.0,Close,0 days 06:21:14.000000000,0.26474537037
2016-11-10 21:42:45 ctwo:9.835 csi:9.835 @RRF7,@RRF7,2016-11-10 21:42:45,9.835,2016-11-10 20:00:00,9.835,0.0,0.0,Close,0 days 01:42:45.000000000,0.0713541666667
2016-11-11 08:41:49 ctwo:108.992188 csi:109.0 @TUZ6,@TUZ6,2016-11-11 08:41:49,108.992188,2016-11-10 20:00:00,109.0,-7.16697247708e-05,7.16697247708e-05,Close,0 days 12:41:49.000000000,0.529039351852
2016-11-11 02:01:53 ctwo:130.84 csi:130.85 BLZ6,BLZ6,2016-11-11 02:01:53,130.84,2016-11-10 20:00:00,130.85,-7.64233855559e-05,7.64233855559e-05,Close,0 days 06:01:53.000000000,0.25130787037
2016-11-11 08:41:50 ctwo:108.98438 csi:109.0 @TUZ6,@TUZ6,2016-11-11 08:41:50,108.98438,2016-11-10 20:00:00,109.0,-0.000143302752294,0.000143302752294,Open,0 days 12:41:50.000000000,0.529050925926
2016-11-10 21:42:50 ctwo:1254.7 csi:1254.9 @TFSZ6,@TFSZ6,2016-11-10 21:42:50,1254.7,2016-11-10 20:00:00,1254.9,-0.000159375249024,0.000159375249024,Close,0 days 01:42:50.000000000,0.071412037037
2016-11-10 21:42:46 ctwo:513.8 csi:513.9 @RSF7,@RSF7,2016-11-10 21:42:46,513.8,2016-11-10 20:00:00,513.9,-0.000194590387235,0.000194590387235,Close,0 days 01:42:46.000000000,0.0713657407407
2016-11-11 08:41:51 ctwo:156.1875 csi:156.21875 @USZ6,@USZ6,2016-11-11 08:41:51,156.1875,2016-11-10 20:00:00,156.21875,-0.000200040008002,0.000200040008002,Close,0 days 12:41:51.000000000,0.5290625
2016-11-11 08:41:52 ctwo:156.15625 csi:156.21875 @USZ6,@USZ6,2016-11-11 08:41:52,156.15625,2016-11-10 20:00:00,156.21875,-0.000400080016003,0.000400080016003,Open,0 days 12:41:52.000000000,0.529074074074
2016-11-11 10:13:48 ctwo:4746.0 csi:4743.75 @NQZ6,@NQZ6,2016-11-11 10:13:48,4746.0,2016-11-10 20:00:00,4743.75,0.000474308300395,0.000474308300395,Close,0 days 14:13:48.000000000,0.592916666667
2016-11-10 21:42:52 ctwo:98.22 csi:98.27 HTSZ6,HTSZ6,2016-11-10 21:42:52,98.22,2016-11-10 20:00:00,98.27,-0.000508802279434,0.000508802279434,Close,0 days 01:42:52.000000000,0.0714351851852
2016-11-11 09:31:57 ctwo:47.4 csi:47.375 @HEZ6,@HEZ6,2016-11-11 09:31:57,47.4,2016-11-10 20:00:00,47.375,0.000527704485488,0.000527704485488,Open,0 days 13:31:57.000000000,0.563854166667
2016-11-11 09:31:07 ctwo:47.4 csi:47.375 @HEZ6,@HEZ6,2016-11-11 09:31:07,47.4,2016-11-10 20:00:00,47.375,0.000527704485488,0.000527704485488,Close,0 days 13:31:07.000000000,0.563275462963
2016-11-11 02:01:38 ctwo:160.55 csi:160.64 BDZ6,BDZ6,2016-11-11 02:01:38,160.55,2016-11-10 20:00:00,160.64,-0.000560258964143,0.000560258964143,Close,0 days 06:01:38.000000000,0.251134259259
2016-11-11 08:01:26 ctwo:217.0 csi:217.15 @OJF7,@OJF7,2016-11-11 08:01:26,217.0,2016-11-10 20:00:00,217.15,-0.000690766751094,0.000690766751094,Close,0 days 12:01:26.000000000,0.50099537037
2016-11-11 10:13:45 ctwo:0.00938 csi:0.009373 @JYZ6,@JYZ6,2016-11-11 10:13:45,0.00938,2016-11-10 20:00:00,0.009373,0.000746825989544,0.000746825989544,Open,0 days 14:13:45.000000000,0.592881944444
2016-11-10 21:42:53 ctwo:97.45 csi:97.53 HXSZ6,HXSZ6,2016-11-10 21:42:53,97.45,2016-11-10 20:00:00,97.53,-0.000820260432687,0.000820260432687,Close,0 days 01:42:53.000000000,0.0714467592593
2016-11-11 10:13:44 ctwo:0.009381 csi:0.009373 @JYZ6,@JYZ6,2016-11-11 10:13:44,0.009381,2016-11-10 20:00:00,0.009373,0.000853515416622,0.000853515416622,Close,0 days 14:13:44.000000000,0.59287037037
2016-11-10 21:42:48 ctwo:151.344444444 csi:151.52 BBZ6,BBZ6,2016-11-10 21:42:48,151.344444444,2016-11-10 20:00:00,151.52,-0.00115862959052,0.00115862959052,Close,0 days 01:42:48.000000000,0.0713888888889
2016-11-10 21:42:41 ctwo:409.25 csi:408.75 @KWZ6,@KWZ6,2016-11-10 21:42:41,409.25,2016-11-10 20:00:00,408.75,0.00122324159021,0.00122324159021,Close,0 days 01:42:41.000000000,0.0713078703704
2016-11-10 21:42:44 ctwo:514.25 csi:515.0 @MWZ6,@MWZ6,2016-11-10 21:42:44,514.25,2016-11-10 20:00:00,515.0,-0.00145631067961,0.00145631067961,Close,0 days 01:42:44.000000000,0.0713425925926
2016-11-11 03:00:12 ctwo:6836.5 csi:6826.5 LFZ6,LFZ6,2016-11-11 03:00:12,6836.5,2016-11-10 20:00:00,6826.5,0.00146487951366,0.00146487951366,Close,0 days 07:00:12.000000000,0.291805555556
2016-11-10 21:42:38 ctwo:98.615 csi:98.774 @DXZ6,@DXZ6,2016-11-10 21:42:38,98.615,2016-11-10 20:00:00,98.774,-0.00160973535546,0.00160973535546,Close,0 days 01:42:38.000000000,0.0712731481481
2016-11-10 21:42:46 ctwo:1.0167 csi:1.0149 @SFZ6,@SFZ6,2016-11-10 21:42:46,1.0167,2016-11-10 20:00:00,1.0149,0.00177357375111,0.00177357375111,Close,0 days 01:42:46.000000000,0.0713657407407
2016-11-10 21:42:47 ctwo:1.0167 csi:1.0149 @SFZ6,@SFZ6,2016-11-10 21:42:47,1.0167,2016-11-10 20:00:00,1.0149,0.00177357375111,0.00177357375111,Open,0 days 01:42:47.000000000,0.0713773148148
2016-11-11 09:30:11 ctwo:120.55 csi:120.325 @GFF7,@GFF7,2016-11-11 09:30:11,120.55,2016-11-10 20:00:00,120.325,0.00186993559111,0.00186993559111,Close,0 days 13:30:11.000000000,0.562627314815
2016-11-11 09:31:31 ctwo:120.55 csi:120.325 @GFF7,@GFF7,2016-11-11 09:31:31,120.55,2016-11-10 20:00:00,120.325,0.00186993559111,0.00186993559111,Open,0 days 13:31:31.000000000,0.563553240741
2016-11-10 21:42:52 ctwo:5330.0 csi:5340.0 APZ6,APZ6,2016-11-10 21:42:52,5330.0,2016-11-10 20:00:00,5340.0,-0.00187265917603,0.00187265917603,Close,0 days 01:42:52.000000000,0.0714351851852
2016-11-11 03:45:11 ctwo:567.8 csi:568.9 QWH7,QWH7,2016-11-11 03:45:11,567.8,2016-11-10 20:00:00,568.9,-0.00193355598523,0.00193355598523,Close,0 days 07:45:11.000000000,0.323043981481
2016-11-11 10:13:52 ctwo:18749.0 csi:18786.0 @YMZ6,@YMZ6,2016-11-11 10:13:52,18749.0,2016-11-10 20:00:00,18786.0,-0.00196955179389,0.00196955179389,Close,0 days 14:13:52.000000000,0.592962962963
2016-11-11 10:13:47 ctwo:17455.0 csi:17495.0 @NKDZ6,@NKDZ6,2016-11-11 10:13:47,17455.0,2016-11-10 20:00:00,17495.0,-0.00228636753358,0.00228636753358,Close,0 days 14:13:47.000000000,0.592905092593
2016-11-11 13:30:32 ctwo:1.2604 csi:1.2573 @BPZ6,@BPZ6,2016-11-11 13:30:32,1.2604,2016-11-10 20:00:00,1.2573,0.0024656008908,0.0024656008908,Close,0 days 17:30:32.000000000,0.729537037037
2016-11-10 21:42:43 ctwo:853.4 csi:855.6 @MMEZ6,@MMEZ6,2016-11-10 21:42:43,853.4,2016-11-10 20:00:00,855.6,-0.00257129499766,0.00257129499766,Close,0 days 01:42:43.000000000,0.0713310185185
2016-11-11 10:13:47 ctwo:17450.0 csi:17495.0 @NKDZ6,@NKDZ6,2016-11-11 10:13:47,17450.0,2016-11-10 20:00:00,17495.0,-0.00257216347528,0.00257216347528,Open,0 days 14:13:47.000000000,0.592905092593
2016-11-11 03:30:09 ctwo:21.59 csi:21.65 @SBH7,@SBH7,2016-11-11 03:30:09,21.59,2016-11-10 20:00:00,21.65,-0.00277136258661,0.00277136258661,Close,0 days 07:30:09.000000000,0.312604166667
2016-11-11 09:31:34 ctwo:104.8 csi:104.5 @LEZ6,@LEZ6,2016-11-11 09:31:34,104.8,2016-11-10 20:00:00,104.5,0.00287081339713,0.00287081339713,Open,0 days 13:31:34.000000000,0.563587962963
2016-11-11 09:30:51 ctwo:104.8 csi:104.5 @LEZ6,@LEZ6,2016-11-11 09:30:51,104.8,2016-11-10 20:00:00,104.5,0.00287081339713,0.00287081339713,Close,0 days 13:30:51.000000000,0.563090277778
2016-11-11 10:13:41 ctwo:1549.8 csi:1544.6 @EMDZ6,@EMDZ6,2016-11-11 10:13:41,1549.8,2016-11-10 20:00:00,1544.6,0.00336656739609,0.00336656739609,Open,0 days 14:13:41.000000000,0.592835648148
2016-11-11 10:13:40 ctwo:1549.8 csi:1544.6 @EMDZ6,@EMDZ6,2016-11-11 10:13:40,1549.8,2016-11-10 20:00:00,1544.6,0.00336656739609,0.00336656739609,Close,0 days 14:13:40.000000000,0.592824074074
2016-11-10 21:42:45 ctwo:221.5 csi:220.75 @OZ6,@OZ6,2016-11-10 21:42:45,221.5,2016-11-10 20:00:00,220.75,0.00339750849377,0.00339750849377,Close,0 days 01:42:45.000000000,0.0713541666667
2016-11-10 21:42:42 ctwo:418.5 csi:420.0 GASZ6,GASZ6,2016-11-10 21:42:42,418.5,2016-11-10 20:00:00,420.0,-0.00357142857143,0.00357142857143,Close,0 days 01:42:42.000000000,0.0713194444444
2016-11-11 08:41:23 ctwo:2159.5 csi:2167.25 @ESZ6,@ESZ6,2016-11-11 08:41:23,2159.5,2016-11-10 20:00:00,2167.25,-0.00357596031838,0.00357596031838,Close,0 days 12:41:23.000000000,0.528738425926
2016-11-11 08:41:24 ctwo:2159.25 csi:2167.25 @ESZ6,@ESZ6,2016-11-11 08:41:24,2159.25,2016-11-10 20:00:00,2167.25,-0.00369131387703,0.00369131387703,Open,0 days 12:41:24.000000000,0.52875
2016-11-11 02:00:36 ctwo:4548.5 csi:4530.5 MTX6,MTX6,2016-11-11 02:00:36,4548.5,2016-11-10 20:00:00,4530.5,0.00397307140492,0.00397307140492,Close,0 days 06:00:36.000000000,0.250416666667
2016-11-11 08:41:42 ctwo:0.7176 csi:0.7205 @NEZ6,@NEZ6,2016-11-11 08:41:42,0.7176,2016-11-10 20:00:00,0.7205,-0.00402498265094,0.00402498265094,Open,0 days 12:41:42.000000000,0.528958333333
2016-11-11 04:20:44 ctwo:2451.0 csi:2441.0 @CCH7,@CCH7,2016-11-11 04:20:44,2451.0,2016-11-10 20:00:00,2441.0,0.00409668168783,0.00409668168783,Close,0 days 08:20:44.000000000,0.347731481481
2016-11-11 08:41:40 ctwo:0.7175 csi:0.7205 @NEZ6,@NEZ6,2016-11-11 08:41:40,0.7175,2016-11-10 20:00:00,0.7205,-0.00416377515614,0.00416377515614,Close,0 days 12:41:40.000000000,0.528935185185
2016-11-10 21:42:42 ctwo:45.64 csi:45.84 EBF7,EBF7,2016-11-10 21:42:42,45.64,2016-11-10 20:00:00,45.84,-0.0043630017452,0.0043630017452,Close,0 days 01:42:42.000000000,0.0713194444444
2016-11-11 02:00:50 ctwo:10680.0 csi:10629.0 DXMZ6,DXMZ6,2016-11-11 02:00:50,10680.0,2016-11-10 20:00:00,10629.0,0.00479819362122,0.00479819362122,Close,0 days 06:00:50.000000000,0.250578703704
2016-11-11 02:00:36 ctwo:452.2 csi:450.0 AEXX6,AEXX6,2016-11-11 02:00:36,452.2,2016-11-10 20:00:00,450.0,0.00488888888889,0.00488888888889,Close,0 days 06:00:36.000000000,0.250416666667
2016-11-11 10:13:40 ctwo:0.73895 csi:0.74265 @CDZ6,@CDZ6,2016-11-11 10:13:40,0.73895,2016-11-10 20:00:00,0.74265,-0.0049821584865,0.0049821584865,Open,0 days 14:13:40.000000000,0.592824074074
2016-11-11 10:13:39 ctwo:0.73895 csi:0.74265 @CDZ6,@CDZ6,2016-11-11 10:13:39,0.73895,2016-11-10 20:00:00,0.74265,-0.0049821584865,0.0049821584865,Close,0 days 14:13:39.000000000,0.5928125
2016-11-11 08:41:31 ctwo:1260.0 csi:1266.4 QGCZ6,QGCZ6,2016-11-11 08:41:31,1260.0,2016-11-10 20:00:00,1266.4,-0.00505369551485,0.00505369551485,Open,0 days 12:41:31.000000000,0.528831018519
2016-11-11 08:41:30 ctwo:1260.0 csi:1266.4 QGCZ6,QGCZ6,2016-11-11 08:41:30,1260.0,2016-11-10 20:00:00,1266.4,-0.00505369551485,0.00505369551485,Close,0 days 12:41:30.000000000,0.528819444444
2016-11-11 04:00:06 ctwo:2065.66666667 csi:2077.0 LRCF7,LRCF7,2016-11-11 04:00:06,2065.66666667,2016-11-10 20:00:00,2077.0,-0.0054565880276,0.0054565880276,Close,0 days 08:00:06.000000000,0.333402777778
2016-11-10 21:42:37 ctwo:7025.0 csi:6983.0 @CTH7,@CTH7,2016-11-10 21:42:37,7025.0,2016-11-10 20:00:00,6983.0,0.00601460690248,0.00601460690248,Close,0 days 01:42:37.000000000,0.0712615740741
2016-11-11 03:00:02 ctwo:123.63 csi:124.39 LGZ6,LGZ6,2016-11-11 03:00:02,123.63,2016-11-10 20:00:00,124.39,-0.0061098159016,0.0061098159016,Close,0 days 07:00:02.000000000,0.291689814815
2016-11-11 08:41:53 ctwo:407.25 csi:404.75 @WZ6,@WZ6,2016-11-11 08:41:53,407.25,2016-11-10 20:00:00,404.75,0.00617665225448,0.00617665225448,Close,0 days 12:41:53.000000000,0.529085648148
2016-11-11 08:41:54 ctwo:407.25 csi:404.75 @WZ6,@WZ6,2016-11-11 08:41:54,407.25,2016-11-10 20:00:00,404.75,0.00617665225448,0.00617665225448,Open,0 days 12:41:54.000000000,0.529097222222
2016-11-11 02:00:36 ctwo:3063.5 csi:3042.0 EXZ6,EXZ6,2016-11-11 02:00:36,3063.5,2016-11-10 20:00:00,3042.0,0.00706771860618,0.00706771860618,Close,0 days 06:00:36.000000000,0.250416666667
2016-11-11 02:00:36 ctwo:7938.0 csi:7880.0 SWZ6,SWZ6,2016-11-11 02:00:36,7938.0,2016-11-10 20:00:00,7880.0,0.00736040609137,0.00736040609137,Close,0 days 06:00:36.000000000,0.250416666667
2016-11-10 21:42:49 ctwo:310.625 csi:313.1 SSX6,SSX6,2016-11-10 21:42:49,310.625,2016-11-10 20:00:00,313.1,-0.00790482274034,0.00790482274034,Close,0 days 01:42:49.000000000,0.071400462963
2016-11-11 09:57:59 ctwo:0.7541 csi:0.7603 @ADZ6,@ADZ6,2016-11-11 09:57:59,0.7541,2016-11-10 20:00:00,0.7603,-0.00815467578587,0.00815467578587,Close,0 days 13:57:59.000000000,0.58193287037
2016-11-11 09:58:01 ctwo:0.754 csi:0.7603 @ADZ6,@ADZ6,2016-11-11 09:58:01,0.754,2016-11-10 20:00:00,0.7603,-0.00828620281468,0.00828620281468,Open,0 days 13:58:01.000000000,0.581956018519
2016-11-10 21:42:52 ctwo:16.45 csi:16.275 @VXZ6,@VXZ6,2016-11-10 21:42:52,16.45,2016-11-10 20:00:00,16.275,0.010752688172,0.010752688172,Close,0 days 01:42:52.000000000,0.0714351851852
2016-11-11 10:13:38 ctwo:339.75 csi:343.5 @CZ6,@CZ6,2016-11-11 10:13:38,339.75,2016-11-10 20:00:00,343.5,-0.0109170305677,0.0109170305677,Close,0 days 14:13:38.000000000,0.592800925926
2016-11-10 21:42:48 ctwo:314.9 csi:311.4 @SMZ6,@SMZ6,2016-11-10 21:42:48,314.9,2016-11-10 20:00:00,311.4,0.0112395632627,0.0112395632627,Close,0 days 01:42:48.000000000,0.0713888888889
2016-11-11 10:13:39 ctwo:339.5 csi:343.5 @CZ6,@CZ6,2016-11-11 10:13:39,339.5,2016-11-10 20:00:00,343.5,-0.0116448326055,0.0116448326055,Open,0 days 14:13:39.000000000,0.5928125
2016-11-11 09:19:17 ctwo:1.3208 csi:1.3364 QRBF7,QRBF7,2016-11-11 09:19:17,1.3208,2016-11-10 20:00:00,1.3364,-0.011673151751,0.011673151751,Close,0 days 13:19:17.000000000,0.55505787037
2016-11-11 10:13:50 ctwo:1.3168 csi:1.3364 QRBF7,QRBF7,2016-11-11 10:13:50,1.3168,2016-11-10 20:00:00,1.3364,-0.0146662675846,0.0146662675846,Open,0 days 14:13:50.000000000,0.592939814815
2016-11-10 21:42:48 ctwo:8405.5 csi:8544.5 INX6,INX6,2016-11-10 21:42:48,8405.5,2016-11-10 20:00:00,8544.5,-0.0162677745918,0.0162677745918,Close,0 days 01:42:48.000000000,0.0713888888889
2016-11-11 08:41:18 ctwo:35.41 csi:34.77 @BOZ6,@BOZ6,2016-11-11 08:41:18,35.41,2016-11-10 20:00:00,34.77,0.0184066724188,0.0184066724188,Close,0 days 12:41:18.000000000,0.528680555556
2016-11-11 08:41:20 ctwo:35.41 csi:34.77 @BOZ6,@BOZ6,2016-11-11 08:41:20,35.41,2016-11-10 20:00:00,34.77,0.0184066724188,0.0184066724188,Open,0 days 12:41:20.000000000,0.528703703704
2016-11-11 10:13:43 ctwo:1.426 csi:1.4533 QHOF7,QHOF7,2016-11-11 10:13:43,1.426,2016-11-10 20:00:00,1.4533,-0.0187848345146,0.0187848345146,Close,0 days 14:13:43.000000000,0.592858796296
2016-11-11 10:13:44 ctwo:1.4259 csi:1.4533 QHOF7,QHOF7,2016-11-11 10:13:44,1.4259,2016-11-10 20:00:00,1.4533,-0.0188536434322,0.0188536434322,Open,0 days 14:13:44.000000000,0.59287037037
2016-11-10 21:42:40 ctwo:22484.0 csi:22932.0 HSIX6,HSIX6,2016-11-10 21:42:40,22484.0,2016-11-10 20:00:00,22932.0,-0.019536019536,0.019536019536,Close,0 days 01:42:40.000000000,0.0712962962963
2016-11-11 10:13:45 ctwo:0.04713 csi:0.04831 @PXZ6,@PXZ6,2016-11-11 10:13:45,0.04713,2016-11-10 20:00:00,0.04831,-0.0244255847651,0.0244255847651,Close,0 days 14:13:45.000000000,0.592881944444
2016-11-11 10:13:46 ctwo:0.04713 csi:0.04831 @PXZ6,@PXZ6,2016-11-11 10:13:46,0.04713,2016-11-10 20:00:00,0.04831,-0.0244255847651,0.0244255847651,Open,0 days 14:13:46.000000000,0.592893518519
2016-11-10 21:42:40 ctwo:9369.0 csi:9606.0 HHIX6,HHIX6,2016-11-10 21:42:40,9369.0,2016-11-10 20:00:00,9606.0,-0.02467207995,0.02467207995,Close,0 days 01:42:40.000000000,0.0712962962963
2016-11-10 21:42:49 ctwo:335.9 csi:345.9 TWX6,TWX6,2016-11-10 21:42:49,335.9,2016-11-10 20:00:00,345.9,-0.0289100896213,0.0289100896213,Close,0 days 01:42:49.000000000,0.071400462963
2016-11-11 10:13:49 ctwo:952.8 csi:982.2 QPLF7,QPLF7,2016-11-11 10:13:49,952.8,2016-11-10 20:00:00,982.2,-0.0299328039096,0.0299328039096,Close,0 days 14:13:49.000000000,0.592928240741
2016-11-11 10:13:49 ctwo:951.9 csi:982.2 QPLF7,QPLF7,2016-11-11 10:13:49,951.9,2016-11-10 20:00:00,982.2,-0.0308491142334,0.0308491142334,Open,0 days 14:13:49.000000000,0.592928240741
2016-11-11 10:13:51 ctwo:17.795 csi:18.737 QSIZ6,QSIZ6,2016-11-11 10:13:51,17.795,2016-11-10 20:00:00,18.737,-0.0502748572343,0.0502748572343,Close,0 days 14:13:51.000000000,0.592951388889
