rowname,symbol,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta
2016-10-17 21:38:39 ctwo:151.85 csi:151.81 BBZ6,BBZ6,2016-10-17 21:38:39,151.85,2016-10-17 20:00:00,151.81,0.000263487253804,0.000263487253804,Close,0 days 01:38:39.000000000,0.0685069444444
2016-10-17 21:38:36 ctwo:7122.0 csi:7119.0 @CTZ6,@CTZ6,2016-10-17 21:38:36,7122.0,2016-10-17 20:00:00,7119.0,0.000421407501054,0.000421407501054,Close,0 days 01:38:36.000000000,0.0684722222222
2016-10-18 03:30:18 ctwo:23.14 csi:23.16 @SBH7,@SBH7,2016-10-18 03:30:18,23.14,2016-10-17 20:00:00,23.16,-0.000863557858376,0.000863557858376,Open,0 days 07:30:18.000000000,0.312708333333
2016-10-18 03:30:15 ctwo:23.14 csi:23.16 @SBH7,@SBH7,2016-10-18 03:30:15,23.14,2016-10-17 20:00:00,23.16,-0.000863557858376,0.000863557858376,Close,0 days 07:30:15.000000000,0.312673611111
2016-10-18 04:15:17 ctwo:157.25 csi:157.1 @KCZ6,@KCZ6,2016-10-18 04:15:17,157.25,2016-10-17 20:00:00,157.1,0.000954805856143,0.000954805856143,Close,0 days 08:15:17.000000000,0.343946759259
2016-10-18 04:15:27 ctwo:157.25 csi:157.1 @KCZ6,@KCZ6,2016-10-18 04:15:27,157.25,2016-10-17 20:00:00,157.1,0.000954805856143,0.000954805856143,Open,0 days 08:15:27.000000000,0.3440625
2016-10-18 04:20:15 ctwo:2687.0 csi:2690.0 @CCZ6,@CCZ6,2016-10-18 04:20:15,2687.0,2016-10-17 20:00:00,2690.0,-0.00111524163569,0.00111524163569,Close,0 days 08:20:15.000000000,0.347395833333
2016-10-18 04:20:30 ctwo:2687.0 csi:2690.0 @CCZ6,@CCZ6,2016-10-18 04:20:30,2687.0,2016-10-17 20:00:00,2690.0,-0.00111524163569,0.00111524163569,Open,0 days 08:20:30.000000000,0.347569444444
2016-10-17 21:38:40 ctwo:424.5 csi:423.75 @WZ6,@WZ6,2016-10-17 21:38:40,424.5,2016-10-17 20:00:00,423.75,0.00176991150442,0.00176991150442,Close,0 days 01:38:40.000000000,0.0685185185185
2016-10-17 21:38:37 ctwo:211.1 csi:210.7 QHGZ6,QHGZ6,2016-10-17 21:38:37,211.1,2016-10-17 20:00:00,210.7,0.00189843379212,0.00189843379212,Open,0 days 01:38:37.000000000,0.0684837962963
2016-10-17 21:38:36 ctwo:97.685 csi:97.878 @DXZ6,@DXZ6,2016-10-17 21:38:36,97.685,2016-10-17 20:00:00,97.878,-0.0019718424978,0.0019718424978,Close,0 days 01:38:36.000000000,0.0684722222222
2016-10-17 21:38:33 ctwo:354.75 csi:354.0 @CZ6,@CZ6,2016-10-17 21:38:33,354.75,2016-10-17 20:00:00,354.0,0.0021186440678,0.0021186440678,Close,0 days 01:38:33.000000000,0.0684375
2016-10-17 21:38:34 ctwo:354.75 csi:354.0 @CZ6,@CZ6,2016-10-17 21:38:34,354.75,2016-10-17 20:00:00,354.0,0.0021186440678,0.0021186440678,Open,0 days 01:38:34.000000000,0.0684490740741
2016-10-17 21:38:37 ctwo:211.15 csi:210.7 QHGZ6,QHGZ6,2016-10-17 21:38:37,211.15,2016-10-17 20:00:00,210.7,0.00213573801614,0.00213573801614,Close,0 days 01:38:37.000000000,0.0684837962963
2016-10-17 21:38:33 ctwo:35.35 csi:35.44 @BOZ6,@BOZ6,2016-10-17 21:38:33,35.35,2016-10-17 20:00:00,35.44,-0.002539503386,0.002539503386,Open,0 days 01:38:33.000000000,0.0684375
2016-10-17 21:38:32 ctwo:35.35 csi:35.44 @BOZ6,@BOZ6,2016-10-17 21:38:32,35.35,2016-10-17 20:00:00,35.44,-0.002539503386,0.002539503386,Close,0 days 01:38:32.000000000,0.0684259259259
2016-10-17 21:38:38 ctwo:899.7 csi:896.5 @MMEZ6,@MMEZ6,2016-10-17 21:38:38,899.7,2016-10-17 20:00:00,896.5,0.00356943669827,0.00356943669827,Close,0 days 01:38:38.000000000,0.0684953703704
2016-10-17 21:38:34 ctwo:50.58 csi:50.37 QCLZ6,QCLZ6,2016-10-17 21:38:34,50.58,2016-10-17 20:00:00,50.37,0.00416914830256,0.00416914830256,Close,0 days 01:38:34.000000000,0.0684490740741
