system,action,qty
v4_S,1.0,1.0
v4_AD,-1.0,-1.0
v4_W,1.0,1.0
v4_OJ,1.0,1.0
v4_RB,1.0,1.0
v4_GBPAUD,1.0,1.0
v4_LC,1.0,1.0
v4_CHFJPY,-1.0,-1.0
v4_AUDCAD,-1.0,-1.0
v4_MD,-1.0,-1.0
v4_C,1.0,1.0
v4_PA,1.0,1.0
v4_KC,-1.0,-1.0
v4_TY,-1.0,-1.0
v4_USDCAD,-1.0,-1.0
v4_TU,-1.0,-1.0
v4_MP,1.0,1.0
v4_O,-1.0,-1.0
v4_CADCHF,-1.0,-1.0
v4_AX,1.0,1.0
v4_FV,-1.0,-1.0
v4_EURUSD,1.0,1.0
v4_AUDCHF,-1.0,-1.0
v4_GBPCAD,1.0,1.0
v4_DX,1.0,1.0
v4_GBPNZD,-1.0,-1.0
v4_DT,-1.0,-1.0
v4_PL,-1.0,-1.0
v4_BP,-1.0,-1.0
v4_CADJPY,-1.0,-1.0
v4_GBPCHF,1.0,1.0
v4_XX,-1.0,-1.0
v4_EURCAD,-1.0,-1.0
v4_USDJPY,-1.0,-1.0
v4_GBPUSD,-1.0,-1.0
v4_FC,1.0,1.0
v4_NQ,1.0,1.0
v4_BO,-1.0,-1.0
v4_SI,-1.0,-1.0
v4_UB,1.0,1.0
v4_EURAUD,1.0,1.0
v4_SB,1.0,1.0
v4_SM,1.0,1.0
v4_NZDUSD,1.0,1.0
v4_NZDCHF,1.0,1.0
v4_RU,1.0,1.0
v4_NG,1.0,1.0
v4_JY,-1.0,-1.0
v4_NZDJPY,-1.0,-1.0
v4_SF,1.0,1.0
v4_US,1.0,1.0
v4_EURNZD,-1.0,-1.0
v4_NZDCAD,1.0,1.0
v4_EURCHF,-1.0,-1.0
v4_LB,-1.0,-1.0
v4_HO,1.0,1.0
v4_GBPJPY,1.0,1.0
v4_UZ,1.0,1.0
v4_LN,1.0,1.0
v4_NR,-1.0,-1.0
v4_AUDNZD,-1.0,-1.0
v4_HG,-1.0,-1.0
v4_ES,-1.0,-1.0
v4_YM,-1.0,-1.0
v4_CT,-1.0,-1.0
v4_EC,1.0,1.0
v4_AUDJPY,-1.0,-1.0
v4_EURJPY,-1.0,-1.0
v4_CL,1.0,1.0
v4_GC,-1.0,-1.0
v4_ED,-1.0,-1.0
v4_CA,-1.0,-1.0
v4_EURGBP,-1.0,-1.0
v4_CC,-1.0,-1.0
v4_CD,1.0,1.0
v4_AUDUSD,1.0,1.0
v4_USDCHF,1.0,1.0
