rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-10-09 14:13:17 4.0 ZW20171214 $0,ZW20171214,ZW,W,2017-10-09 14:13:17,436.0,2017-10-09 14:20:00,436.0,0.0,0.0,Open,-1.0,0.0,10.0,-7.0
ib: 2017-10-09 16:46:02 1.0 ZT20171229 $15,ZT20171229,ZT,TU,2017-10-09 16:46:02,107.7734375,2017-10-09 17:00:00,107.765625,7.24952878063e-05,7.24952878063e-05,Open,-1.0,15.0,2.5,-14.0
ib: 2017-10-09 16:45:54 3.0 YM20171215 $30,YM20171215,YM,YM,2017-10-09 16:45:54,22709.0,2017-10-09 17:00:00,22711.0,-8.80630531461e-05,8.80630531461e-05,Open,1.0,30.0,7.5,-15.0
ib: 2017-10-09 16:46:06 2.0 CHF20171218 $-24,CHF20171218,CHF,SF,2017-10-09 16:46:06,1.0253,2017-10-09 17:00:00,1.0254,-9.75229178857e-05,9.75229178857e-05,Open,-1.0,-24.0,5.0,-14.0
ib: 2017-10-09 16:45:56 8.0 ZF20171229 $-124,ZF20171229,ZF,FV,2017-10-09 16:45:56,117.34375,2017-10-09 17:00:00,117.328125,0.000133173525103,0.000133173525103,Open,1.0,-124.0,20.0,-15.0
ib: 2017-10-09 16:46:00 2.0 CAD20171219 $-29,CAD20171219,CAD,CD,2017-10-09 16:46:00,0.79715,2017-10-09 17:00:00,0.7973,-0.000188134955475,0.000188134955475,Open,-1.0,-29.0,5.0,-14.0
ib: 2017-10-09 16:45:58 2.0 CL20171020 $60,CL20171020,CL,CL,2017-10-09 16:45:58,49.55,2017-10-09 17:00:00,49.58,-0.000605082694635,0.000605082694635,Open,1.0,60.0,5.0,-15.0
ib: 2017-10-09 16:46:04 2.0 NZD20171218 $99,NZD20171218,NZD,NE,2017-10-09 16:46:04,0.7054,2017-10-09 17:00:00,0.7059,-0.000708315625443,0.000708315625443,Open,1.0,99.0,5.0,-14.0
ib: 2017-10-09 14:13:19 6.0 ZL20171214 $108,ZL20171214,ZL,BO,2017-10-09 14:13:19,33.23,2017-10-09 14:20:00,33.26,-0.000901984365604,0.000901984365604,Open,1.0,108.0,15.0,-7.0
ib: 2017-10-09 16:45:54 2.0 PA20171227 $-359,PA20171227,PA,PA,2017-10-09 16:45:54,929.8,2017-10-09 17:00:00,928.0,0.00193965517241,0.00193965517241,Open,1.0,-359.0,5.0,-15.0
ib: 2017-10-09 16:46:04 2.0 HO20171031 $-302,HO20171031,HO,HO,2017-10-09 16:46:04,1.7316,2017-10-09 17:00:00,1.7352,-0.00207468879668,0.00207468879668,Open,-1.0,-302.0,5.0,-14.0
ib: 2017-10-09 14:13:21 8.0 ZC20171214 $-300,ZC20171214,ZC,C,2017-10-09 14:13:21,348.75,2017-10-09 14:20:00,349.5,-0.00214592274678,0.00214592274678,Open,-1.0,-300.0,20.0,-7.0
