rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2016-12-22 15:49:35 2 JPY20170313 $-12,JPY20170313,JPY,JY,2016-12-22 15:49:35,0.8537,2016-12-22 17:00:00,0.85365,5.85720142914e-05,5.85720142914e-05,Open,1.0,-12.0,5.0,-71.0
ib: 2016-12-22 15:49:55 2 CHF20170313 $-49,CHF20170313,CHF,SF,2016-12-22 15:49:55,0.98,2016-12-22 17:00:00,0.9798,0.000204123290467,0.000204123290467,Open,1.0,-49.0,5.0,-71.0
ib: 2016-12-22 15:49:49 2 NZD20170313 $-39,NZD20170313,NZD,NE,2016-12-22 15:49:49,0.6885,2016-12-22 17:00:00,0.6887,-0.000290402207057,0.000290402207057,Open,-1.0,-39.0,5.0,-71.0
ib: 2016-12-22 13:13:10 2 ZM20170314 $-40,ZM20170314,ZM,SM,2016-12-22 13:13:10,313.4,2016-12-22 14:20:00,313.6,-0.000637755102041,0.000637755102041,Open,-1.0,-40.0,5.0,-67.0
ib: 2016-12-22 15:49:45 2 EUR20170313 $-287,EUR20170313,EUR,CU,2016-12-22 15:49:45,1.0483,2016-12-22 17:00:00,1.04715,0.00109821897531,0.00109821897531,Open,1.0,-287.0,5.0,-71.0
ib: 2016-12-22 15:49:41 2 ES20170317 $-275,ES20170317,ES,ES,2016-12-22 15:49:41,2257.75,2016-12-22 17:00:00,2260.5,-0.00121654501217,0.00121654501217,Open,-1.0,-275.0,5.0,-71.0
ib: 2016-12-22 15:49:29 2 YM20170317 $-260,YM20170317,YM,YM,2016-12-22 15:49:29,19865.0,2016-12-22 17:00:00,19891.0,-0.00130712382485,0.00130712382485,Open,-1.0,-260.0,5.0,-71.0
ib: 2016-12-22 13:13:16 6 ZC20170314 $-149,ZC20170314,ZC,C,2016-12-22 13:13:16,346.75,2016-12-22 14:20:00,347.25,-0.00143988480922,0.00143988480922,Open,-1.0,-149.0,15.0,-67.0
ib: 2016-12-22 15:49:37 2 NIY20170309 $-297,NIY20170309,NIY,NIY,2016-12-22 15:49:37,19375.0,2016-12-22 17:00:00,19410.0,-0.00180319422978,0.00180319422978,Open,-1.0,-297.0,5.0,-71.0
ib: 2016-12-22 13:02:31 2 HE20170214 $-140,HE20170214,HE,LH,2016-12-22 13:02:31,64.725,2016-12-22 14:05:00,64.9,-0.00269645608629,0.00269645608629,Open,-1.0,-140.0,5.0,-63.0
ib: 2016-12-22 15:49:53 2 NQ20170317 $-640,NQ20170317,NQ,NQ,2016-12-22 15:49:53,4933.5,2016-12-22 17:00:00,4949.5,-0.0032326497626,0.0032326497626,Open,-1.0,-640.0,5.0,-71.0
ib: 2016-12-22 15:49:33 2 AUD20170313 $-600,AUD20170313,AUD,AD,2016-12-22 15:49:33,0.7201,2016-12-22 17:00:00,0.7231,-0.00414880376158,0.00414880376158,Open,-1.0,-600.0,5.0,-71.0
ib: 2016-12-22 15:49:59 1 RB20170131 $-294,RB20170131,RB,RB,2016-12-22 15:49:59,1.6132,2016-12-22 17:00:00,1.6202,-0.00432045426491,0.00432045426491,Open,-1.0,-294.0,2.5,-71.0
ib: 2016-12-22 15:49:31 2 GBP20170313 $-787,GBP20170313,GBP,BP,2016-12-22 15:49:31,1.2315,2016-12-22 17:00:00,1.2378,-0.00508967523025,0.00508967523025,Open,-1.0,-787.0,5.0,-71.0
ib: 2016-12-22 15:49:43 2 EMD20170317 $-2000,EMD20170317,EMD,EMD,2016-12-22 15:49:43,1668.9,2016-12-22 17:00:00,1678.9,-0.00595628089821,0.00595628089821,Open,-1.0,-2000.0,5.0,-71.0
ib: 2016-12-22 15:49:51 2 CAD20170314 $-930,CAD20170314,CAD,CD,2016-12-22 15:49:51,0.74205,2016-12-22 17:00:00,0.7467,-0.00622740056247,0.00622740056247,Open,-1.0,-930.0,5.0,-71.0
ib: 2016-12-22 15:49:39 1 PA20170329 $-429,PA20170329,PA,PA,2016-12-22 15:49:39,655.6,2016-12-22 17:00:00,659.9,-0.00651613880891,0.00651613880891,Open,-1.0,-429.0,2.5,-71.0
ib: 2016-12-22 13:13:08 4 ZW20170314 $-600,ZW20170314,ZW,W,2016-12-22 13:13:08,396.5,2016-12-22 14:20:00,399.5,-0.00750938673342,0.00750938673342,Open,-1.0,-600.0,10.0,-67.0
ib: 2016-12-22 15:49:57 2 SI20170329 $-1340,SI20170329,SI,SI,2016-12-22 15:49:57,1584.5,2016-12-22 17:00:00,1597.9,-0.00838600663371,0.00838600663371,Open,-1.0,-1340.0,5.0,-71.0
ib: 2016-12-22 15:49:48 6 MXP20170313 $-1379,MXP20170313,MXP,MP,2016-12-22 15:49:48,0.04769,2016-12-22 17:00:00,0.04815,-0.00955347871236,0.00955347871236,Open,-1.0,-1379.0,15.0,-71.0
ib: 2016-12-22 13:13:12 2 ZS20170314 $-1250,ZS20170314,ZS,S,2016-12-22 13:13:12,1004.5,2016-12-22 14:20:00,1017.0,-0.0122910521141,0.0122910521141,Open,-1.0,-1250.0,5.0,-67.0
ib: 2016-12-22 13:13:14 4 ZL20170314 $-2904,ZL20170314,ZL,BO,2016-12-22 13:13:14,35.13,2016-12-22 14:20:00,36.34,-0.0332966428178,0.0332966428178,Open,-1.0,-2904.0,10.0,-67.0
