rowname,contract,c2timestamp,c2price,trigger,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-16 16:52:32 2.0 @TUZ6 $0,@TUZ6,2016-11-16 16:52:32,108.8125,2016-11-16 16:30:00,108.8125,0.0,0.0,Close,1.0,0.0,2.0,0 days 00:22:32.000000000,22.0
ctwo: 2016-11-16 16:52:31 1 @EMDZ6 $-9,@EMDZ6,2016-11-16 16:52:31,1594.0,2016-11-16 16:30:00,1594.1,-6.27313217489e-05,6.27313217489e-05,Open,-1.0,-9.0,1.0,0 days 00:22:31.000000000,22.0
ctwo: 2016-11-16 16:52:31 1.0 @ESZ6 $-12,@ESZ6,2016-11-16 16:52:31,2172.5,2016-11-16 16:30:00,2172.75,-0.000115061557933,0.000115061557933,Close,-1.0,-12.0,1.0,0 days 00:22:31.000000000,22.0
ctwo: 2016-11-16 16:52:30 1.0 @EMDZ6 $-30,@EMDZ6,2016-11-16 16:52:30,1594.4,2016-11-16 16:30:00,1594.1,0.000188193965247,0.000188193965247,Close,1.0,-30.0,1.0,0 days 00:22:30.000000000,22.0
ctwo: 2016-11-16 16:52:33 1.0 @TYZ6 $-46,@TYZ6,2016-11-16 16:52:33,126.515625,2016-11-16 16:30:00,126.46875,0.000370644922165,0.000370644922165,Close,1.0,-46.0,1.0,0 days 00:22:33.000000000,22.0
ctwo: 2016-11-16 20:00:05 1.0 @CH7 $-25,@CH7,2016-11-16 20:00:05,347.0,2016-11-16 13:50:00,346.5,0.001443001443,0.001443001443,Close,1.0,-25.0,1.0,0 days 06:10:05.000000000,370.0
ctwo: 2016-11-16 20:00:25 1 @WH7 $-37,@WH7,2016-11-16 20:00:25,415.0,2016-11-16 13:50:00,414.25,0.00181050090525,0.00181050090525,Open,1.0,-37.0,1.0,0 days 06:10:25.000000000,370.0
ctwo: 2016-11-16 20:00:15 1.0 @WH7 $-37,@WH7,2016-11-16 20:00:15,415.0,2016-11-16 13:50:00,414.25,0.00181050090525,0.00181050090525,Close,1.0,-37.0,1.0,0 days 06:10:15.000000000,370.0
ctwo: 2016-11-16 16:52:32 1 QHGZ6 $149,QHGZ6,2016-11-16 16:52:32,246.15,2016-11-16 16:30:00,246.75,-0.00243161094225,0.00243161094225,Open,1.0,149.0,1.0,0 days 00:22:32.000000000,22.0
ctwo: 2016-11-16 16:52:31 1.0 QHGZ6 $-149,QHGZ6,2016-11-16 16:52:31,246.15,2016-11-16 16:30:00,246.75,-0.00243161094225,0.00243161094225,Close,-1.0,-149.0,1.0,0 days 00:22:31.000000000,22.0
ctwo: 2016-11-16 16:52:30 1.0 QCLF7 $179,QCLF7,2016-11-16 16:52:30,45.92,2016-11-16 16:30:00,46.1,-0.00390455531453,0.00390455531453,Close,1.0,179.0,1.0,0 days 00:22:30.000000000,22.0
ctwo: 2016-11-16 16:52:30 1 QCLF7 $190,QCLF7,2016-11-16 16:52:30,45.91,2016-11-16 16:30:00,46.1,-0.00412147505423,0.00412147505423,Open,1.0,190.0,1.0,0 days 00:22:30.000000000,22.0
ctwo: 2016-11-16 18:00:07 1.0 @SMF7 $150,@SMF7,2016-11-16 18:00:07,312.2,2016-11-16 13:50:00,310.7,0.00482780817509,0.00482780817509,Close,-1.0,150.0,1.0,0 days 04:10:07.000000000,250.0
