rowname,contract,c2timestamp,c2price,trigger,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-17 16:57:31 1 @BPZ6 $6,@BPZ6,2016-11-17 16:57:31,1.242,2016-11-17 16:30:00,1.2421,-8.05088157153e-05,8.05088157153e-05,Open,1.0,6.0,2.5,0 days 00:27:31.000000000,27.0
ctwo: 2016-11-17 16:57:30 1.0 @BPZ6 $-12,@BPZ6,2016-11-17 16:57:30,1.2423,2016-11-17 16:30:00,1.2421,0.000161017631431,0.000161017631431,Close,1.0,-12.0,2.5,0 days 00:27:30.000000000,27.0
ctwo: 2016-11-17 16:57:28 1 @ADZ6 $20,@ADZ6,2016-11-17 16:57:28,0.7403,2016-11-17 16:30:00,0.7405,-0.000270087778528,0.000270087778528,Open,1.0,20.0,2.5,0 days 00:27:28.000000000,27.0
ctwo: 2016-11-17 20:00:03 2 @BOF7 $11,@BOF7,2016-11-17 20:00:03,33.95,2016-11-17 13:50:00,33.96,-0.000294464075383,0.000294464075383,Open,1.0,11.0,5.0,0 days 06:10:03.000000000,370.0
ctwo: 2016-11-18 13:38:58 1 @LEG7 $-19,@LEG7,2016-11-18 13:38:58,108.85,2016-11-17 13:35:00,108.8,0.000459558823529,0.000459558823529,Open,1.0,-19.0,2.5,1 days 00:03:58.000000000,1443.0
ctwo: 2016-11-18 13:39:07 1.0 @YMZ6 $45,@YMZ6,2016-11-18 13:39:07,18860.0,2016-11-17 16:30:00,18869.0,-0.00047697281255,0.00047697281255,Close,1.0,45.0,2.5,0 days 21:09:07.000000000,1269.0
ctwo: 2016-11-18 13:39:07 1 @YMZ6 $49,@YMZ6,2016-11-18 13:39:07,18859.0,2016-11-17 16:30:00,18869.0,-0.000529969791722,0.000529969791722,Open,1.0,49.0,2.5,0 days 21:09:07.000000000,1269.0
ctwo: 2016-11-18 13:39:05 4.0 @TUZ6 $-499,@TUZ6,2016-11-18 13:39:05,108.695313,2016-11-17 16:30:00,108.7578125,-0.000574666762445,0.000574666762445,Close,-1.0,-499.0,10.0,0 days 21:09:05.000000000,1269.0
ctwo: 2016-11-18 13:39:06 4 @TUZ6 $-500,@TUZ6,2016-11-18 13:39:06,108.69531,2016-11-17 16:30:00,108.7578125,-0.00057469434667,0.00057469434667,Open,-1.0,-500.0,10.0,0 days 21:09:06.000000000,1269.0
ctwo: 2016-11-18 13:38:51 1 @EMDZ6 $-100,@EMDZ6,2016-11-18 13:38:51,1604.8,2016-11-17 16:30:00,1603.8,0.000623519142038,0.000623519142038,Open,1.0,-100.0,2.5,0 days 21:08:51.000000000,1268.0
ctwo: 2016-11-17 16:57:33 1.0 QGCZ6 $80,QGCZ6,2016-11-17 16:57:33,1216.1,2016-11-17 16:30:00,1216.9,-0.000657408168297,0.000657408168297,Close,1.0,80.0,2.5,0 days 00:27:33.000000000,27.0
ctwo: 2016-11-18 13:38:58 1.0 @LEG7 $-30,@LEG7,2016-11-18 13:38:58,108.875,2016-11-17 13:35:00,108.8,0.000689338235294,0.000689338235294,Close,1.0,-30.0,2.5,1 days 00:03:58.000000000,1443.0
ctwo: 2016-11-17 16:57:33 1 QGCZ6 $90,QGCZ6,2016-11-17 16:57:33,1216.0,2016-11-17 16:30:00,1216.9,-0.000739584189334,0.000739584189334,Open,1.0,90.0,2.5,0 days 00:27:33.000000000,27.0
ctwo: 2016-11-18 13:38:51 1.0 @EMDZ6 $-120,@EMDZ6,2016-11-18 13:38:51,1605.0,2016-11-17 16:30:00,1603.8,0.000748222970445,0.000748222970445,Close,1.0,-120.0,2.5,0 days 21:08:51.000000000,1268.0
ctwo: 2016-11-18 13:38:52 1.0 @ESZ6 $124,@ESZ6,2016-11-18 13:38:52,2181.75,2016-11-17 16:30:00,2184.25,-0.00114455762848,0.00114455762848,Close,1.0,124.0,2.5,0 days 21:08:52.000000000,1268.0
ctwo: 2016-11-17 20:00:23 2 @WH7 $-50,@WH7,2016-11-17 20:00:23,419.5,2016-11-17 13:50:00,420.0,-0.00119047619048,0.00119047619048,Open,-1.0,-50.0,5.0,0 days 06:10:23.000000000,370.0
ctwo: 2016-11-17 20:00:13 2.0 @WH7 $-50,@WH7,2016-11-17 20:00:13,419.5,2016-11-17 13:50:00,420.0,-0.00119047619048,0.00119047619048,Close,-1.0,-50.0,5.0,0 days 06:10:13.000000000,370.0
ctwo: 2016-11-18 13:38:52 1 @ESZ6 $137,@ESZ6,2016-11-18 13:38:52,2181.5,2016-11-17 16:30:00,2184.25,-0.00125901339132,0.00125901339132,Open,1.0,137.0,2.5,0 days 21:08:52.000000000,1268.0
ctwo: 2016-11-18 13:39:00 1 @NEZ6 $-149,@NEZ6,2016-11-18 13:39:00,0.7013,2016-11-17 16:30:00,0.7028,-0.0021343198634,0.0021343198634,Open,-1.0,-149.0,2.5,0 days 21:09:00.000000000,1269.0
ctwo: 2016-11-18 13:39:00 1.0 @NEZ6 $-149,@NEZ6,2016-11-18 13:39:00,0.7013,2016-11-17 16:30:00,0.7028,-0.0021343198634,0.0021343198634,Close,-1.0,-149.0,2.5,0 days 21:09:00.000000000,1269.0
ctwo: 2016-11-18 13:38:53 2 @FVZ6 $-515,@FVZ6,2016-11-18 13:38:53,118.58594,2016-11-17 16:30:00,118.84375,-0.00216931895872,0.00216931895872,Open,-1.0,-515.0,5.0,0 days 21:08:53.000000000,1268.0
ctwo: 2016-11-18 13:38:53 2.0 @FVZ6 $-515,@FVZ6,2016-11-18 13:38:53,118.585938,2016-11-17 16:30:00,118.84375,-0.00216933578754,0.00216933578754,Close,-1.0,-515.0,5.0,0 days 21:08:53.000000000,1268.0
ctwo: 2016-11-18 13:38:49 1.0 QCLF7 $-99,QCLF7,2016-11-18 13:38:49,45.88,2016-11-17 16:30:00,45.98,-0.00217485863419,0.00217485863419,Close,-1.0,-99.0,2.5,0 days 21:08:49.000000000,1268.0
ctwo: 2016-11-18 13:38:49 1 QCLF7 $-99,QCLF7,2016-11-18 13:38:49,45.88,2016-11-17 16:30:00,45.98,-0.00217485863419,0.00217485863419,Open,-1.0,-99.0,2.5,0 days 21:08:49.000000000,1268.0
ctwo: 2016-11-18 13:38:50 1.0 @EUZ6 $-337,@EUZ6,2016-11-18 13:38:50,1.06115,2016-11-17 16:30:00,1.06385,-0.00253795177892,0.00253795177892,Close,-1.0,-337.0,2.5,0 days 21:08:50.000000000,1268.0
ctwo: 2016-11-18 13:38:50 1 @EUZ6 $-337,@EUZ6,2016-11-18 13:38:50,1.06115,2016-11-17 16:30:00,1.06385,-0.00253795177892,0.00253795177892,Open,-1.0,-337.0,2.5,0 days 21:08:50.000000000,1268.0
ctwo: 2016-11-18 09:31:41 1 @GFF7 $-162,@GFF7,2016-11-18 09:31:41,124.6,2016-11-17 13:35:00,124.925,-0.00260156093656,0.00260156093656,Open,-1.0,-162.0,2.5,0 days 19:56:41.000000000,1196.0
ctwo: 2016-11-18 09:31:33 1.0 @GFF7 $-162,@GFF7,2016-11-18 09:31:33,124.6,2016-11-17 13:35:00,124.925,-0.00260156093656,0.00260156093656,Close,-1.0,-162.0,2.5,0 days 19:56:33.000000000,1196.0
ctwo: 2016-11-18 13:38:59 1 @HEG7 $59,@HEG7,2016-11-18 13:38:59,54.075,2016-11-17 13:35:00,54.225,-0.00276625172891,0.00276625172891,Open,1.0,59.0,2.5,1 days 00:03:59.000000000,1443.0
ctwo: 2016-11-18 13:39:02 1.0 @NQZ6 $270,@NQZ6,2016-11-18 13:39:02,4815.0,2016-11-17 16:30:00,4828.5,-0.00279589934762,0.00279589934762,Close,1.0,270.0,2.5,0 days 21:09:02.000000000,1269.0
ctwo: 2016-11-18 13:38:54 1.0 QHOF7 $172,QHOF7,2016-11-18 13:38:54,1.4623,2016-11-17 16:30:00,1.4582,0.00281168563983,0.00281168563983,Close,-1.0,172.0,2.5,0 days 21:08:54.000000000,1268.0
ctwo: 2016-11-18 13:38:55 1 QHOF7 $172,QHOF7,2016-11-18 13:38:55,1.4623,2016-11-17 16:30:00,1.4582,0.00281168563983,0.00281168563983,Open,-1.0,172.0,2.5,0 days 21:08:55.000000000,1268.0
ctwo: 2016-11-18 13:39:03 1 @NQZ6 $275,@NQZ6,2016-11-18 13:39:03,4814.75,2016-11-17 16:30:00,4828.5,-0.00284767526147,0.00284767526147,Open,1.0,275.0,2.5,0 days 21:09:03.000000000,1269.0
ctwo: 2016-11-18 13:39:03 1.0 QPAZ6 $279,QPAZ6,2016-11-18 13:39:03,726.85,2016-11-17 16:30:00,729.65,-0.00383745631467,0.00383745631467,Close,1.0,279.0,2.5,0 days 21:09:03.000000000,1269.0
ctwo: 2016-11-17 16:57:42 1 @USZ6 $593,@USZ6,2016-11-17 16:57:42,153.1875,2016-11-17 16:30:00,153.78125,-0.003861003861,0.003861003861,Open,1.0,593.0,2.5,0 days 00:27:42.000000000,27.0
ctwo: 2016-11-18 13:39:06 1.0 @TYZ6 $-515,@TYZ6,2016-11-18 13:39:06,125.5625,2016-11-17 16:30:00,126.078125,-0.00408972611228,0.00408972611228,Close,-1.0,-515.0,2.5,0 days 21:09:06.000000000,1269.0
ctwo: 2016-11-18 13:39:06 1 @TYZ6 $-515,@TYZ6,2016-11-18 13:39:06,125.5625,2016-11-17 16:30:00,126.078125,-0.00408972611228,0.00408972611228,Open,-1.0,-515.0,2.5,0 days 21:09:06.000000000,1269.0
ctwo: 2016-11-18 13:39:05 1.0 @SMF7 $140,@SMF7,2016-11-18 13:39:05,312.4,2016-11-17 13:50:00,313.8,-0.0044614404079,0.0044614404079,Close,1.0,140.0,2.5,0 days 23:49:05.000000000,1429.0
