rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-02-15 16:49:04 1.0 RB20170331 $4,RB20170331,RB,RB,2017-02-15 16:49:04,1.7664,2017-02-15 17:00:00,1.7663,5.66155239767e-05,5.66155239767e-05,Open,-1.0,4.0,2.5,-11.0
ib: 2017-02-15 16:49:50 2.0 HO20170228 $8,HO20170228,HO,HO,2017-02-15 16:49:50,1.6304,2017-02-15 17:00:00,1.6305,-6.13308800981e-05,6.13308800981e-05,Open,1.0,8.0,5.0,-11.0
ib: 2017-02-15 16:48:58 1.0 ZF20170331 $-31,ZF20170331,ZF,FV,2017-02-15 16:48:58,117.484375,2017-02-15 17:00:00,117.453125,0.000266063589198,0.000266063589198,Open,1.0,-31.0,2.5,-12.0
ib: 2017-02-15 16:48:50 2.0 HG20170329 $49,HG20170329,HG,HG,2017-02-15 16:48:50,274.15,2017-02-15 17:00:00,274.05,0.000364896916621,0.000364896916621,Open,-1.0,49.0,5.0,-12.0
ib: 2017-02-15 14:17:43 1.0 ZS20170512 $-25,ZS20170512,ZS,S,2017-02-15 14:17:43,1071.25,2017-02-15 14:20:00,1071.75,-0.000466526708654,0.000466526708654,Open,-1.0,-25.0,2.5,-3.0
ib: 2017-02-15 16:49:08 2.0 NZD20170313 $99,NZD20170313,NZD,NE,2017-02-15 16:49:08,0.7218,2017-02-15 17:00:00,0.7213,0.00069319284625,0.00069319284625,Open,-1.0,99.0,5.0,-11.0
ib: 2017-02-15 16:49:02 2.0 CAD20170314 $110,CAD20170314,CAD,CD,2017-02-15 16:49:02,0.7649,2017-02-15 17:00:00,0.76435,0.000719565644011,0.000719565644011,Open,-1.0,110.0,5.0,-11.0
ib: 2017-02-15 16:49:07 2.0 JPY20170313 $225,JPY20170313,JPY,JY,2017-02-15 16:49:07,0.87665,2017-02-15 17:00:00,0.87575,0.00102769055096,0.00102769055096,Open,-1.0,225.0,5.0,-11.0
ib: 2017-02-15 14:02:29 2.0 HE20170417 $-59,HE20170417,HE,LH,2017-02-15 14:02:29,70.85,2017-02-15 14:05:00,70.775,0.00105969622042,0.00105969622042,Open,1.0,-59.0,5.0,-3.0
ib: 2017-02-15 14:17:45 2.0 ZM20170512 $-80,ZM20170512,ZM,SM,2017-02-15 14:17:45,350.7,2017-02-15 14:20:00,351.1,-0.00113927655938,0.00113927655938,Open,-1.0,-80.0,5.0,-3.0
ib: 2017-02-15 16:48:48 2.0 EUR20170313 $312,EUR20170313,EUR,CU,2017-02-15 16:48:48,1.06125,2017-02-15 17:00:00,1.06,0.00117924528302,0.00117924528302,Open,-1.0,312.0,5.0,-12.0
ib: 2017-02-15 16:48:56 2.0 CHF20170313 $374,CHF20170313,CHF,SF,2017-02-15 16:48:56,0.9961,2017-02-15 17:00:00,0.9946,0.00150814397748,0.00150814397748,Open,-1.0,374.0,5.0,-12.0
ib: 2017-02-15 14:02:31 2.0 LE20170428 $200,LE20170428,LE,LC,2017-02-15 14:02:31,113.1,2017-02-15 14:05:00,113.35,-0.00220555800618,0.00220555800618,Open,1.0,200.0,5.0,-3.0
ib: 2017-02-15 16:49:12 1.0 CL20170321 $120,CL20170321,CL,CL,2017-02-15 16:49:12,53.48,2017-02-15 17:00:00,53.6,-0.00223880597015,0.00223880597015,Open,1.0,120.0,2.5,-11.0
