rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-10-23 16:45:34 2.0 GBP20171218 $0,GBP20171218,GBP,BP,2017-10-23 16:45:34,1.3221,2017-10-23 17:00:00,1.3221,0.0,0.0,Open,1.0,0.0,5.0,-15.0
ib: 2017-10-23 16:45:30 2.0 HO20171130 $-8,HO20171130,HO,HO,2017-10-23 16:45:30,1.7895,2017-10-23 17:00:00,1.7896,-5.58784085829e-05,5.58784085829e-05,Open,-1.0,-8.0,5.0,-15.0
ib: 2017-10-23 16:45:51 2.0 AUD20171218 $-19,AUD20171218,AUD,AD,2017-10-23 16:45:51,0.78,2017-10-23 17:00:00,0.7801,-0.000128188693757,0.000128188693757,Open,-1.0,-19.0,5.0,-15.0
ib: 2017-10-23 16:45:49 2.0 NQ20171215 $40,NQ20171215,NQ,NQ,2017-10-23 16:45:49,6063.75,2017-10-23 17:00:00,6064.75,-0.000164887258337,0.000164887258337,Open,1.0,40.0,5.0,-15.0
ib: 2017-10-23 16:45:38 6.0 MXP20171218 $30,MXP20171218,MXP,MP,2017-10-23 16:45:38,0.05186,2017-10-23 17:00:00,0.05185,0.000192864030858,0.000192864030858,Open,-1.0,30.0,15.0,-15.0
ib: 2017-10-23 16:45:32 1.0 YM20171215 $35,YM20171215,YM,YM,2017-10-23 16:45:32,23221.0,2017-10-23 17:00:00,23228.0,-0.000301360427071,0.000301360427071,Open,1.0,35.0,2.5,-15.0
ib: 2017-10-23 16:45:36 3.0 CAD20171219 $-134,CAD20171219,CAD,CD,2017-10-23 16:45:36,0.79085,2017-10-23 17:00:00,0.7913,-0.000568684443321,0.000568684443321,Open,-1.0,-134.0,7.5,-15.0
ib: 2017-10-23 16:45:42 2.0 HG20171227 $125,HG20171227,HG,HG,2017-10-23 16:45:42,318.55,2017-10-23 17:00:00,318.8,-0.000784190715182,0.000784190715182,Open,1.0,125.0,5.0,-15.0
ib: 2017-10-23 16:45:53 2.0 EUR20171218 $275,EUR20171218,EUR,CU,2017-10-23 16:45:53,1.17835,2017-10-23 17:00:00,1.17725,0.000934380972606,0.000934380972606,Open,-1.0,275.0,5.0,-15.0
ib: 2017-10-23 16:45:47 2.0 PL20180129 $-100,PL20180129,PL,PL,2017-10-23 16:45:47,928.2,2017-10-23 17:00:00,927.2,0.00107851596204,0.00107851596204,Open,1.0,-100.0,5.0,-15.0
ib: 2017-10-23 16:45:45 2.0 CHF20171218 $425,CHF20171218,CHF,SF,2017-10-23 16:45:45,1.0188,2017-10-23 17:00:00,1.0171,0.00167141873955,0.00167141873955,Open,-1.0,425.0,5.0,-15.0
ib: 2017-10-23 16:45:40 2.0 RB20171130 $-344,RB20171130,RB,RB,2017-10-23 16:45:40,1.6349,2017-10-23 17:00:00,1.639,-0.00250152532032,0.00250152532032,Open,-1.0,-344.0,5.0,-15.0
