rowname,contract,c2timestamp,c2price,trigger,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-16 16:52:21 1.0 @ESZ6 $-12,@ESZ6,2016-11-16 16:52:21,2172.5,2016-11-16 16:30:00,2172.75,-0.000115061557933,0.000115061557933,Close,-1.0,-12.0,1.0,0 days 00:22:21.000000000,22.0
ctwo: 2016-11-16 16:52:22 1.0 @TYZ6 $-46,@TYZ6,2016-11-16 16:52:22,126.515625,2016-11-16 16:30:00,126.46875,0.000370644922165,0.000370644922165,Close,1.0,-46.0,1.0,0 days 00:22:22.000000000,22.0
ctwo: 2016-11-16 16:52:21 1 QHGZ6 $149,QHGZ6,2016-11-16 16:52:21,246.15,2016-11-16 16:30:00,246.75,-0.00243161094225,0.00243161094225,Open,1.0,149.0,1.0,0 days 00:22:21.000000000,22.0
ctwo: 2016-11-16 16:52:21 1.0 QHGZ6 $-149,QHGZ6,2016-11-16 16:52:21,246.15,2016-11-16 16:30:00,246.75,-0.00243161094225,0.00243161094225,Close,-1.0,-149.0,1.0,0 days 00:22:21.000000000,22.0
