symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,currency,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
@ESU7,25,1501879587,,,2472.25000,USD,,future,short,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:21,2472.00000,50,,0,1,,,113000632,
@SMZ7,-220,1501783934,,,311.80000,USD,,future,long,2017-08-03 14:12:14,1501783934,open,2017-08-03 14:12:12,311.80000,100,,0,1,,,112973742,
QHGU7,-38,1501879587,,,288.65000,USD,,future,short,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:22,288.65000,250,,0,1,,,113000640,
@JYU7,63,1501879587,,,0.00905,USD,,future,long,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:23,0.00905,12500000,,0,1,,,113000643,
@CZ7,-188,1501783934,,,378.00000,USD,,future,short,2017-08-03 14:12:14,1501783934,open,2017-08-03 14:12:11,377.75000,50,,0,1,,,112973740,
@EMDU7,-20,1501879587,,,1750.00000,USD,,future,short,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:20,1749.70000,100,,0,1,,,113000629,
@TYU7,0,1501879587,,,126.10938,USD,,future,long,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:25,126.10938,1000,,0,1,,,113000659,
@EUU7,1038,1501706769,,,1.18835,USD,,future,short,2017-08-02 16:46:09,1501706769,open,2017-08-02 16:46:04,1.18835,125000,,0,1,,,112954286,
QNGU7,-150,1501793217,,,2.79200,USD,,future,long,2017-08-03 16:46:57,1501793217,open,2017-08-03 16:46:54,2.79100,10000,,0,1,,,112977629,
@TUU7,0,1501879587,,,108.17188,USD,,future,long,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:24,108.16406,2000,,0,2,,,113000652,
@WU7,0,1501870346,,,455.75000,USD,,future,short,2017-08-04 14:12:26,1501870346,open,2017-08-04 14:12:24,455.50000,50,,0,1,,,112997398,
QCLU7,10,1501879587,,,49.54000,USD,,future,short,2017-08-04 16:46:27,1501879587,open,2017-08-04 16:46:18,49.53000,1000,,0,1,,,113000618,
