symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
EURCHF,-16,1461199109,,,1.09759,,forex,long,2016-04-20 20:38:29,1461199109,open,2016-04-20 20:37:57,1.09760,10000,,0,2,,,101940022,
EURUSD,14,1461208266,,,1.12986,,forex,short,2016-04-20 23:11:06,1461208266,open,2016-04-20 23:10:13,1.12992,10000,,0,2,,,101941453,
USDCAD,-11,1461211867,,,1.26396,,forex,short,2016-04-21 00:11:07,1461211867,open,2016-04-21 00:10:32,1.26391,10000,,0,2,,,101942054,
NZDUSD,-1,1461210047,,,0.69740,,forex,long,2016-04-20 23:40:47,1461210047,open,2016-04-20 23:40:17,0.69731,10000,,0,2,,,101941747,
NZDJPY,45,1461202872,,,76.27500,,forex,long,2016-04-20 21:41:12,1461202872,open,2016-04-20 21:40:34,76.23800,10000,,0,2,,,101940559,
USDCHF,0,1461211867,,,0.97143,,forex,short,2016-04-21 00:11:07,1461211867,open,2016-04-21 00:10:22,0.97142,10000,,0,2,,,101942051,
GBPJPY,19,1461213441,,,157.34100,,forex,short,2016-04-21 00:37:21,1461213441,open,2016-04-21 00:36:36,157.34100,10000,,0,2,,,101942267,
GBPUSD,18,1461211867,,,1.43425,,forex,short,2016-04-21 00:11:07,1461211867,open,2016-04-21 00:10:15,1.43418,10000,,0,2,,,101942048,
EURJPY,-23,1461204653,,,123.99800,,forex,long,2016-04-20 22:10:53,1461204653,open,2016-04-20 22:10:14,123.99800,10000,,0,2,,,101940771,
CADJPY,247,1461039666,,,85.38800,,forex,long,2016-04-19 00:21:06,1461039666,open,2016-04-19 00:20:34,85.39300,10000,,0,2,,,101890056,
EURGBP,17,1461199109,,,0.78853,,forex,short,2016-04-20 20:38:29,1461199109,open,2016-04-20 20:37:50,0.78850,10000,,0,2,,,101940019,
AUDJPY,101,1461139862,,,85.02600,,forex,long,2016-04-20 04:11:02,1461139862,open,2016-04-20 04:10:22,85.05000,10000,,0,2,,,101917779,
CHFJPY,-22,1461193859,,,113.05300,,forex,long,2016-04-20 19:10:59,1461193859,open,2016-04-20 19:10:22,113.05000,10000,,0,2,,,101939189,
AUDUSD,-27,1461166622,,,0.78159,,forex,long,2016-04-20 11:37:02,1461166622,open,2016-04-20 11:36:24,0.78168,10000,,0,2,,,101927964,
USDJPY,10,1461172268,,,109.64800,,forex,long,2016-04-20 13:11:08,1461172268,open,2016-04-20 13:10:30,109.64700,10000,,0,2,,,101931763,
