rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2016-12-23 15:50:39 2 ES20170317 $0,ES20170317,ES,ES,2016-12-23 15:50:39,2258.75,2016-12-23 17:00:00,2258.75,0.0,0.0,Open,1.0,0.0,5.0,-70.0
ib: 2016-12-23 15:50:43 2 NIY20170309 $-42,NIY20170309,NIY,NIY,2016-12-23 15:50:43,19385.0,2016-12-23 17:00:00,19380.0,0.000257997936017,0.000257997936017,Open,1.0,-42.0,5.0,-70.0
ib: 2016-12-23 15:50:29 2 GBP20170313 $-74,GBP20170313,GBP,BP,2016-12-23 15:50:29,1.2318,2016-12-23 17:00:00,1.2312,0.000487329434698,0.000487329434698,Open,1.0,-74.0,5.0,-70.0
ib: 2016-12-23 15:50:26 2 YM20170317 $110,YM20170317,YM,YM,2016-12-23 15:50:26,19862.0,2016-12-23 17:00:00,19873.0,-0.000553514819101,0.000553514819101,Open,1.0,110.0,5.0,-70.0
ib: 2016-12-23 15:50:51 2 NQ20170317 $-140,NQ20170317,NQ,NQ,2016-12-23 15:50:51,4940.0,2016-12-23 17:00:00,4936.5,0.000709004355312,0.000709004355312,Open,1.0,-140.0,5.0,-70.0
ib: 2016-12-23 15:50:41 1 EMD20170317 $-190,EMD20170317,EMD,EMD,2016-12-23 15:50:41,1670.9,2016-12-23 17:00:00,1669.0,0.00113840623128,0.00113840623128,Open,1.0,-190.0,2.5,-70.0
ib: 2016-12-23 15:50:33 2 JPY20170313 $524,JPY20170313,JPY,JY,2016-12-23 15:50:33,0.8556,2016-12-23 17:00:00,0.8535,0.002460456942,0.002460456942,Open,-1.0,524.0,5.0,-70.0
ib: 2016-12-23 15:50:42 2 PA20170329 $-389,PA20170329,PA,PA,2016-12-23 15:50:42,658.55,2016-12-23 17:00:00,656.6,0.00296984465428,0.00296984465428,Open,1.0,-389.0,5.0,-70.0
ib: 2016-12-23 15:50:47 2 NZD20170313 $459,NZD20170313,NZD,NE,2016-12-23 15:50:47,0.6864,2016-12-23 17:00:00,0.6887,-0.00333962538115,0.00333962538115,Open,1.0,459.0,5.0,-70.0
ib: 2016-12-23 15:50:49 2 CAD20170314 $520,CAD20170314,CAD,CD,2016-12-23 15:50:49,0.7394,2016-12-23 17:00:00,0.742,-0.00350404312668,0.00350404312668,Open,1.0,520.0,5.0,-70.0
ib: 2016-12-23 15:50:31 2 AUD20170313 $619,AUD20170313,AUD,AD,2016-12-23 15:50:31,0.7164,2016-12-23 17:00:00,0.7195,-0.0043085476025,0.0043085476025,Open,1.0,619.0,5.0,-70.0
ib: 2016-12-23 15:50:43 6 MXP20170313 $-1289,MXP20170313,MXP,MP,2016-12-23 15:50:43,0.04809,2016-12-23 17:00:00,0.04766,0.00902224087285,0.00902224087285,Open,1.0,-1289.0,15.0,-70.0
ib: 2016-12-23 15:50:53 1 RB20170131 $-630,RB20170131,RB,RB,2016-12-23 15:50:53,1.6348,2016-12-23 17:00:00,1.6198,0.00926040251883,0.00926040251883,Open,1.0,-630.0,2.5,-70.0
ib: 2016-12-23 15:50:45 1 NG20170224 $-1110,NG20170224,NG,NG,2016-12-23 15:50:45,3.644,2016-12-23 17:00:00,3.533,0.0314180583074,0.0314180583074,Open,1.0,-1110.0,2.5,-70.0
