rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2016-12-02 16:50:28 2 CHF20161219 $0,CHF20161219,CHF,SF,2016-12-02 16:50:28,0.9899,2016-12-02 17:00:00,0.9899,0.0,0.0,Open,-1.0,0.0,5.0,-10.0
ib: 2016-12-02 16:50:32 2 MXP20161219 $0,MXP20161219,MXP,MP,2016-12-02 16:50:32,0.04836,2016-12-02 17:00:00,0.04836,0.0,0.0,Open,-1.0,0.0,5.0,-10.0
ib: 2016-12-02 16:50:16 4 ZF20170331 $31,ZF20170331,ZF,FV,2016-12-02 16:50:16,117.90625,2016-12-02 17:00:00,117.9140625,-6.62558802094e-05,6.62558802094e-05,Open,1.0,31.0,10.0,-10.0
ib: 2016-12-02 16:50:08 8 ZT20170331 $-125,ZT20170331,ZT,TU,2016-12-02 16:50:08,108.4453125,2016-12-02 17:00:00,108.4375,7.20461095101e-05,7.20461095101e-05,Open,1.0,-125.0,20.0,-10.0
ib: 2016-12-02 16:50:30 2 ZN20170322 $-62,ZN20170322,ZN,TY,2016-12-02 16:50:30,124.5,2016-12-02 17:00:00,124.46875,0.000251067034898,0.000251067034898,Open,1.0,-62.0,5.0,-10.0
ib: 2016-12-02 16:50:34 2 YM20161216 $-50,YM20161216,YM,YM,2016-12-02 16:50:34,19153.0,2016-12-02 17:00:00,19158.0,-0.000260987576991,0.000260987576991,Open,-1.0,-50.0,5.0,-10.0
ib: 2016-12-02 16:49:54 2 NIY20161208 $-44,NIY20161208,NIY,NIY,2016-12-02 16:49:54,18360.0,2016-12-02 17:00:00,18365.0,-0.000272257010618,0.000272257010618,Open,-1.0,-44.0,5.0,-11.0
ib: 2016-12-02 16:50:02 2 EMD20161216 $100,EMD20161216,EMD,EMD,2016-12-02 16:50:02,1624.3,2016-12-02 17:00:00,1623.8,0.000307919694544,0.000307919694544,Open,-1.0,100.0,5.0,-10.0
ib: 2016-12-02 16:50:31 2 NZD20161219 $60,NZD20161219,NZD,NE,2016-12-02 16:50:31,0.7135,2016-12-02 17:00:00,0.7132,0.000420639371845,0.000420639371845,Open,-1.0,60.0,5.0,-10.0
ib: 2016-12-02 16:50:20 2 ES20161216 $-100,ES20161216,ES,ES,2016-12-02 16:50:20,2191.0,2016-12-02 17:00:00,2192.0,-0.000456204379562,0.000456204379562,Open,-1.0,-100.0,5.0,-10.0
ib: 2016-12-02 13:56:00 2 ZL20170113 $24,ZL20170113,ZL,BO,2016-12-02 13:56:00,37.74,2016-12-02 14:20:00,37.72,0.000530222693531,0.000530222693531,Open,-1.0,24.0,5.0,-24.0
ib: 2016-12-02 16:50:26 2 CAD20161220 $79,CAD20161220,CAD,CD,2016-12-02 16:50:26,0.75245,2016-12-02 17:00:00,0.75205,0.000531879529287,0.000531879529287,Open,-1.0,79.0,5.0,-10.0
ib: 2016-12-02 16:50:36 2 EUR20161219 $162,EUR20161219,EUR,CU,2016-12-02 16:50:36,1.0671,2016-12-02 17:00:00,1.06645,0.000609498804445,0.000609498804445,Open,-1.0,162.0,5.0,-10.0
ib: 2016-12-02 16:50:14 2 ZB20170322 $187,ZB20170322,ZB,US,2016-12-02 16:50:14,150.40625,2016-12-02 17:00:00,150.5,-0.00062292358804,0.00062292358804,Open,1.0,187.0,5.0,-10.0
ib: 2016-12-02 16:50:06 2 NQ20161216 $-140,NQ20161216,NQ,NQ,2016-12-02 16:50:06,4735.0,2016-12-02 17:00:00,4738.5,-0.00073863036826,0.00073863036826,Open,-1.0,-140.0,5.0,-10.0
ib: 2016-12-02 16:50:24 2 GC20170224 $-220,GC20170224,GC,GC,2016-12-02 16:50:24,1178.9,2016-12-02 17:00:00,1177.8,0.000933944642554,0.000933944642554,Open,1.0,-220.0,5.0,-10.0
