PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
-8,1457952733,2016-03-14 07:47:17,1457956037,1.3239,,forex,long,2016-03-14 06:52:13,1457952733,closed,2016-03-14 06:49:13,1.32497,10000,,1,1,,USDCAD,,101204508,
129,1457961091,2016-03-14 10:35:03,1457966103,1.32838,,forex,long,2016-03-14 09:11:31,1457961091,closed,2016-03-14 09:07:31,1.32496,10000,,5,5,,USDCAD,,101206023,
7,1457619312,2016-03-10 09:15:14,1457619314,1.32647,,forex,short,2016-03-10 09:15:12,1457613850,closed,2016-03-10 02:46:01,1.32687,10000,,3,3,,USDCAD,,101139247,
30135,1457658963,2016-03-10 20:16:05,1457658965,1.33542,,forex,long,2016-03-10 20:16:03,1457658963,closed,2016-03-10 10:46:01,1.33413,10000,,17,14,,USDCAD,,101149824,
-28,1457666091,2016-03-10 22:14:54,1457666094,1.33109,,forex,long,2016-03-10 22:14:51,1457664301,closed,2016-03-10 21:16:10,1.33202,10000,,4,4,,USDCAD,,101163699,
-106,1457705527,2016-03-11 09:36:23,1457706983,1.32669,,forex,long,2016-03-11 09:12:07,1457705527,closed,2016-03-11 09:08:33,1.32700,10000,,5,5,,USDCAD,,101176833,
-16,1457959388,2016-03-14 09:07:27,1457960847,1.32491,,forex,short,2016-03-14 08:43:08,1457959388,closed,2016-03-14 08:39:44,1.32273,10000,,1,1,,USDCAD,,101205701,
-1,1457906690,2016-03-13 20:47:33,1457916453,1.32269,,forex,long,2016-03-13 18:04:50,1457906690,closed,2016-03-13 18:02:38,1.32286,10000,,1,1,,USDCAD,,101196874,
-27,1457936323,2016-03-14 02:18:45,1457936325,1.322224,,forex,short,2016-03-14 02:18:43,1457932515,closed,2016-03-13 20:47:38,1.32151,10000,,5,5,,USDCAD,,101198552,
41,1457619321,2016-03-10 10:14:34,1457622874,1.32506,,forex,long,2016-03-10 09:15:21,1457619321,closed,2016-03-10 09:15:18,1.32513,10000,,5,5,,USDCAD,,101144558,
-13,1457622882,2016-03-10 10:45:57,1457624757,1.32632,,forex,short,2016-03-10 10:14:42,1457622882,closed,2016-03-10 10:14:38,1.32632,10000,,1,1,,USDCAD,,101147807,
7,1457707202,2016-03-13 18:02:33,1457906553,1.32324,,forex,short,2016-03-11 09:40:02,1457707202,closed,2016-03-11 09:36:28,1.32422,10000,,1,1,,USDCAD,,101177702,
-8,1457949134,2016-03-14 06:49:08,1457952548,1.32506,,forex,short,2016-03-14 05:52:14,1457949134,closed,2016-03-14 05:49:05,1.32397,10000,,1,1,,USDCAD,,101203859,
-9,1457958144,2016-03-14 08:39:40,1457959180,1.32262,,forex,long,2016-03-14 08:22:24,1457958144,closed,2016-03-14 08:18:40,1.32385,10000,,1,1,,USDCAD,,101205369,
-8,1457968283,2016-03-14 12:38:24,1457973504,1.32859,,forex,long,2016-03-14 11:11:23,1457968283,closed,2016-03-14 11:07:59,1.32961,10000,,1,1,,USDCAD,,101210316,
0,1457956210,2016-03-14 08:18:36,1457957916,1.32394,,forex,short,2016-03-14 07:50:10,1457956210,closed,2016-03-14 07:47:22,1.32390,10000,,1,1,,USDCAD,,101205050,
17,1457662565,2016-03-10 21:16:08,1457662568,1.33213,,forex,short,2016-03-10 21:16:05,1457660727,closed,2016-03-10 20:16:10,1.33274,10000,,4,4,,USDCAD,,101163133,
3,1457936530,2016-03-14 05:49:00,1457948940,1.32397,,forex,long,2016-03-14 02:22:10,1457936530,closed,2016-03-14 02:18:49,1.32351,10000,,1,1,,USDCAD,,101201648,
149,1457705305,2016-03-11 09:08:28,1457705308,1.32638,,forex,short,2016-03-11 09:08:25,1457699281,closed,2016-03-10 22:14:58,1.32720,10000,,24,24,,USDCAD,,101164360,
