dates,signals,safef
2016-03-20 00:27:00,-1,1
2016-03-20 00:28:00,-1,1
2016-03-20 00:29:00,-1,1
2016-03-20 00:30:00,-1,1
2016-03-20 00:31:00,1,1
2016-03-20 00:33:00,-1,1
2016-03-20 00:34:00,-1,1
2016-03-20 00:35:00,-1,1
2016-03-20 00:36:00,1,1
2016-03-20 00:37:00,-1,1
2016-03-20 00:38:00,1,1
2016-03-20 00:39:00,1,1
2016-03-20 00:40:00,1,1
2016-03-20 00:41:00,1,1
2016-03-20 00:43:00,-1,1
2016-03-20 00:44:00,1,1
2016-03-20 00:46:00,-1,1
2016-03-20 00:47:00,1,1
2016-03-20 00:49:00,-1,1
2016-03-20 00:50:00,1,1
2016-03-20 00:51:00,1,1
2016-03-20 00:51:00,1,1
2016-03-20 00:52:00,1,1
2016-03-20 00:53:00,1,1
2016-03-20 00:54:00,1,1
2016-03-20 00:55:00,1,1
2016-03-20 00:56:00,1,1
2016-03-20 00:57:00,1,1
2016-03-20 00:57:00,1,1
2016-03-20 00:59:00,-1,1
2016-03-20 01:00:00,1,1
2016-03-20 01:01:00,1,1
2016-03-20 01:02:00,-1,1
2016-03-20 01:04:00,-1,1
2016-03-20 01:05:00,1,1
2016-03-20 01:07:00,1,1
2016-03-20 01:08:00,1,1
2016-03-20 01:09:00,1,1
2016-03-20 01:10:00,1,1
2016-03-20 01:10:00,-1,1
2016-03-20 01:11:00,1,1
2016-03-20 01:12:00,1,1
2016-03-20 01:13:00,1,1
2016-03-20 01:14:00,-1,1
2016-03-20 01:15:00,-1,1
2016-03-20 01:15:00,-1,1
2016-03-20 01:16:00,-1,1
2016-03-20 01:17:00,-1,1
2016-03-20 01:18:00,1,1
2016-03-20 01:19:00,1,1
2016-03-20 01:20:00,1,1
2016-03-20 01:20:00,1,1
2016-03-20 01:21:00,1,1
2016-03-20 01:22:00,-1,1
2016-03-20 01:23:00,-1,1
2016-03-20 01:24:00,-1,1
2016-03-20 01:25:00,-1,1
2016-03-20 01:25:00,-1,1
2016-03-20 01:26:00,1,1
2016-03-20 01:27:00,1,1
2016-03-20 01:28:00,1,1
2016-03-20 01:29:00,1,1
2016-03-20 01:30:00,1,1
2016-03-20 01:30:00,1,1
2016-03-20 01:31:00,1,1
2016-03-20 01:32:00,1,1
2016-03-20 01:33:00,1,1
2016-03-20 01:34:00,1,1
2016-03-20 01:35:00,-1,1
2016-03-20 01:36:00,-1,1
2016-03-20 01:36:00,1,1
2016-03-20 01:37:00,1,1
2016-03-20 01:38:00,1,1
2016-03-20 01:39:00,1,1
2016-03-20 01:40:00,1,1
2016-03-20 01:40:00,-1,1
2016-03-20 01:41:00,-1,1
2016-03-20 01:42:00,1,1
2016-03-20 01:43:00,1,1
2016-03-20 01:44:00,1,1
2016-03-20 01:45:00,-1,1
2016-03-20 01:45:00,1,1
2016-03-20 01:46:00,1,1
2016-03-20 01:47:00,1,1
2016-03-20 01:48:00,1,1
