symbol,trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,commission
GBPUSD,3,-4.33188,,,,0.0,,GBPUSD,long,20160318 06:23:58 EST,20160318 06:23:58 EST,open,20160318 06:23:58 EST,1.44396,10000.0,,0.0,15.0,,strat104v1v2,4.33188
USDCAD,116,-2.90712441,,,,0.0,,USDCAD,long,20160318 09:09:37 EST,20160318 09:09:37 EST,open,20160318 09:09:37 EST,1.29655,10000.0,,0.0,15.0,,strat104v1v2,2.90712441
AUDUSD,114,-24.07137,20160318 09:13:16 EST,20160318 09:13:16 EST,20160318 09:13:16 EST,0.76183,,AUDUSD,long,20160318 09:09:24 EST,20160318 09:13:16 EST,open,20160318 09:09:24 EST,0.76196,10000.0,,15.0,0.0,,strat104v1v2,4.57137
EURJPY,126,-3.3221232,,,,0.0,,EURJPY,long,20160318 09:24:49 EST,20160318 09:24:49 EST,open,20160318 09:24:49 EST,125.838,10000.0,,0.0,15.0,,strat104v1v2,3.3221232
USDJPY,128,-2.9446032,,,,0.0,,USDJPY,long,20160318 09:28:55 EST,20160318 09:28:55 EST,open,20160318 09:28:55 EST,111.538,10000.0,,0.0,15.0,,strat104v1v2,2.9446032
USDCHF,129,-2.937394278,,,,0.0,,USDCHF,long,20160318 09:29:52 EST,20160318 09:29:52 EST,open,20160318 09:29:52 EST,0.96733,10000.0,,0.0,15.0,,strat104v1v2,2.937394278
EURUSD,130,-3.38535,,,,0.0,,EURUSD,long,20160318 09:30:58 EST,20160318 09:30:58 EST,open,20160318 09:30:58 EST,1.12845,10000.0,,0.0,15.0,,strat104v1v2,3.38535
