symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
EURGBP,open,short,2.0,0.0,0.79833,0.0,-2.0,0.0,2.0,151.0,,,,,EURGBP,,20160412 18:42:57 EST,20160412 18:42:57 EST,-2.0,GBP,-56.1632,-54.1632,99918.73624,1707252.6871,100492.73624
USDCHF,open,long,2.0,0.0,0.96319,0.0,-2.0,0.0,2.0,153.0,,,,,USDCHF,,20160413 07:41:54 EST,20160413 07:41:54 EST,2.0,CHF,71.8906,73.8906,99740.07932,1707252.6871,100322.07932
NZDJPY,open,short,2.0,0.0,75.178,0.0,-2.0,0.0,2.0,155.0,,,,,NZDJPY,,20160415 08:34:37 EST,20160415 08:34:37 EST,-2.0,JPY,-88.064,-86.064,99918.85368,1707252.6871,100508.85368
CADJPY,open,short,2.0,0.0,84.505,0.0,-2.0,0.0,2.0,156.0,,,,,CADJPY,,20160415 08:34:41 EST,20160415 08:34:41 EST,-2.0,JPY,-145.616,-143.616,100112.67768,1707252.6871,100706.67768
CHFJPY,open,short,2.0,0.0,112.633,0.0,-2.0,0.0,2.0,157.0,,,,,CHFJPY,,20160415 08:34:49 EST,20160415 08:34:49 EST,-2.0,JPY,-100.736,-98.736,99948.86968,1707252.6871,100546.86968
GBPJPY,open,short,2.0,0.0,154.425,0.0,-2.0,0.0,2.0,158.0,,,,,GBPJPY,,20160415 08:34:52 EST,20160415 08:34:52 EST,-2.0,JPY,-129.952,-127.952,100207.81368,1707252.6871,100809.81368
EURUSD,open,long,2.0,0.0,1.12821,0.0,-2.0,0.0,2.0,159.0,,,,,EURUSD,,20160415 08:37:33 EST,20160415 08:37:33 EST,2.0,USD,24.0,26.0,100408.41368,1707252.6871,101014.41368
EURJPY,open,short,2.0,0.0,122.894,0.0,-2.0,0.0,2.0,160.0,,,,,EURJPY,,20160415 08:37:53 EST,20160415 08:37:53 EST,-2.0,JPY,-91.584,-89.584,100303.91768,1707252.6871,100913.91768
GBPUSD,open,long,2.0,0.0,1.41774,0.0,-2.0,0.0,2.0,161.0,,,,,GBPUSD,,20160415 08:38:10 EST,20160415 08:38:10 EST,2.0,USD,11.2,13.2,100475.11768,1707252.6871,101089.11768
USDJPY,open,short,2.0,0.0,108.947,0.0,-2.0,0.0,2.0,162.0,,,,,USDJPY,,20160415 08:38:50 EST,20160415 08:38:50 EST,-2.0,JPY,-107.6,-105.6,100595.72568,1707252.6871,101213.72568
AUDUSD,open,long,2.0,0.0,0.769,0.0,-2.0,0.0,2.0,163.0,,,,,AUDUSD,,20160415 08:39:55 EST,20160415 08:39:55 EST,2.0,USD,-45.2,-43.2,100575.72568,1707252.6871,101197.72568
AUDJPY,open,short,2.0,0.0,83.773,0.0,-2.0,0.0,2.0,164.0,,,,,AUDJPY,,20160415 08:40:14 EST,20160415 08:40:14 EST,-2.0,JPY,-121.328,-119.328,100906.12568,1707252.6871,101532.12568
NZDUSD,open,long,2.0,0.0,0.6897,0.0,-2.0,0.0,2.0,165.0,,,,,NZDUSD,,20160415 08:40:18 EST,20160415 08:40:18 EST,2.0,USD,-13.0,-11.0,100950.92568,1707252.6871,101580.92568
USDCAD,open,short,2.0,0.0,1.29521,0.0,-2.0,0.0,2.0,166.0,,,,,USDCAD,,20160417 18:30:52 EST,20160417 18:30:52 EST,-2.0,CAD,-9.62348,-7.62348,101158.73884,1707252.6871,101792.73884
EURCHF,open,long,2.0,0.0,1.09225,0.0,-2.0,0.0,2.0,167.0,,,,,EURCHF,,20160417 18:36:22 EST,20160417 18:36:22 EST,2.0,CHF,-7.66832,-5.66832,101062.62864,1707252.6871,101700.62864
