trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,unr_pnl
2.0,-4.088,20160406 08:19:59 EST,20160406 08:19:59 EST,20160406 08:19:59 EST,110.383,,USDJPY,short,,20160406 02:58:53 EST,closed,20160406 02:58:53 EST,110.382,,,1.0,1.0,,USDJPY,,-0.0879999999992,1.0,19993.912,4.0,389866.8,19999.912,,,,,
1.0,-13.504,20160406 08:20:03 EST,20160406 08:20:03 EST,20160406 08:20:03 EST,115.043,,CHFJPY,long,,20160406 02:58:23 EST,closed,20160406 02:58:23 EST,115.151,,,1.0,1.0,,CHFJPY,,-9.504,-1.0,19982.408,4.0,399990.584,19990.408,,,,,
3.0,15.36,20160407 04:56:39 EST,20160407 04:56:39 EST,20160407 04:56:39 EST,108.453,,USDJPY,short,,20160407 04:42:26 EST,closed,20160407 04:42:26 EST,108.673,,,1.0,1.0,,USDJPY,,19.36,1.0,19995.768,4.0,389975.304,20009.768,JPY,20063.288,20079.288,60.104,58.104
4.0,-19.928,20160407 04:56:39 EST,20160407 04:56:39 EST,20160407 04:56:39 EST,113.409,,CHFJPY,long,,20160407 04:42:57 EST,closed,20160407 04:42:57 EST,113.59,,,1.0,1.0,,CHFJPY,,-15.928,-1.0,19977.84,4.0,399955.296,19993.84,JPY,19977.84,19993.84,69.52,67.52
6.0,-10.072,20160407 05:24:35 EST,20160407 05:24:35 EST,20160407 05:24:35 EST,113.258,,CHFJPY,long,,20160407 05:05:47 EST,closed,20160407 05:05:47 EST,113.327,,,1.0,1.0,,CHFJPY,,-6.072,-1.0,19965.768,4.0,390409.584,19987.768,JPY,20047.456,20071.456,92.664,90.664
5.0,2.424,20160407 05:25:10 EST,20160407 05:25:10 EST,20160407 05:25:10 EST,108.332,,USDJPY,short,,20160407 05:05:46 EST,closed,20160407 05:05:46 EST,108.405,,,1.0,1.0,,USDJPY,,6.424,1.0,19970.192,4.0,399942.8,19994.192,JPY,19970.192,19994.192,83.688,81.688
7.0,-6.552,20160407 06:47:47 EST,20160407 06:47:47 EST,20160407 06:47:47 EST,108.453,,USDJPY,short,,20160407 06:42:38 EST,closed,20160407 06:42:38 EST,108.424,,,1.0,1.0,,USDJPY,,-2.552,1.0,19961.64,4.0,389971.08,19991.64,JPY,20050.808,20082.808,82.016,80.016
8.0,-0.0399999999998,20160407 06:47:48 EST,20160407 06:47:48 EST,20160407 06:47:48 EST,113.389,,CHFJPY,long,,20160407 06:43:09 EST,closed,20160407 06:43:09 EST,113.344,,,1.0,1.0,,CHFJPY,,3.96,-1.0,19963.6,4.0,399949.312,19995.6,JPY,19963.6,19995.6,91.168,89.168
9.0,-5.144,20160407 06:53:25 EST,20160407 06:53:25 EST,20160407 06:53:25 EST,113.356,,CHFJPY,long,,20160407 06:52:20 EST,closed,20160407 06:52:20 EST,113.369,,,1.0,1.0,,CHFJPY,,-1.144,-1.0,19956.456,4.0,390407.648,19994.456,JPY,20037.264,20077.264,88.968,86.968
10.0,-4.44,20160407 06:54:00 EST,20160407 06:54:00 EST,20160407 06:54:00 EST,108.42,,USDJPY,short,,20160407 06:52:51 EST,closed,20160407 06:52:51 EST,108.415,,,1.0,1.0,,USDJPY,,-0.44,1.0,19954.016,4.0,399948.608,19994.016,JPY,19954.016,19994.016,82.808,80.808
12.0,-5.672,20160407 07:04:39 EST,20160407 07:04:39 EST,20160407 07:04:39 EST,113.262,,CHFJPY,long,,20160407 06:57:03 EST,closed,20160407 06:57:03 EST,113.281,,,1.0,1.0,,CHFJPY,,-1.672,-1.0,19946.344,4.0,390412.4,19992.344,JPY,20033.136,20081.136,96.712,94.712
11.0,0.576000000001,20160407 07:05:39 EST,20160407 07:05:39 EST,20160407 07:05:39 EST,108.295,,USDJPY,short,,20160407 06:57:02 EST,closed,20160407 06:57:02 EST,108.347,,,1.0,1.0,,USDJPY,,4.576,1.0,19948.92,4.0,399942.36,19996.92,JPY,19948.92,19996.92,88.792,86.792
13.0,-4.0,20160407 07:08:14 EST,20160407 07:08:14 EST,20160407 07:08:14 EST,108.342,,USDJPY,short,,20160407 07:07:11 EST,closed,20160407 07:07:11 EST,108.342,,,1.0,1.0,,USDJPY,,1.25055521494e-12,1.0,19942.92,4.0,389974.072,19996.92,JPY,20038.072,20094.072,89.232,87.232
14.0,-4.264,20160407 07:08:16 EST,20160407 07:08:16 EST,20160407 07:08:16 EST,113.273,,CHFJPY,long,,20160407 07:07:13 EST,closed,20160407 07:07:13 EST,113.276,,,1.0,1.0,,CHFJPY,,-0.264000000001,-1.0,19940.656,4.0,399942.096,19996.656,JPY,19940.656,19996.656,97.152,95.152
16.0,7.704,20160407 07:14:34 EST,20160407 07:14:34 EST,20160407 07:14:34 EST,113.35,,CHFJPY,long,,20160407 07:11:56 EST,closed,20160407 07:11:56 EST,113.217,,,1.0,1.0,,CHFJPY,,11.704,-1.0,19946.36,4.0,390423.4,20008.36,JPY,20037.288,20101.288,102.344,100.344
15.0,-8.84,20160407 07:15:07 EST,20160407 07:15:07 EST,20160407 07:15:07 EST,108.355,,USDJPY,short,,20160407 07:11:21 EST,closed,20160407 07:11:21 EST,108.3,,,1.0,1.0,,USDJPY,,-4.84,1.0,19939.52,4.0,399958.64,20003.52,JPY,19939.52,20003.52,92.928,90.928
17.0,2.776,20160407 08:42:09 EST,20160407 08:42:09 EST,20160407 08:42:09 EST,108.386,,USDJPY,short,,20160407 08:24:56 EST,closed,20160407 08:24:56 EST,108.463,,,1.0,1.0,,USDJPY,,6.776,1.0,19940.296,4.0,389983.488,20010.296,JPY,20035.36,20107.36,78.584,76.584
