symbol,trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,commission
GBPUSD,3,-2.0,,,,0.0,,GBPUSD,long,20160318 06:23:55 EST,20160318 06:23:55 EST,open,20160318 06:23:55 EST,1.44396,10000.0,,0.0,1.0,,stratv1IB,2.0
USDCAD,7,-2.0,,,,0.0,,USDCAD,short,20160318 06:23:57 EST,20160318 06:23:57 EST,open,20160318 06:23:57 EST,1.30086,10000.0,,0.0,1.0,,stratv1IB,2.0
USDJPY,47,-5.848,20160318 07:36:35 EST,20160318 07:36:35 EST,20160318 07:36:35 EST,111.43,,USDJPY,long,20160318 07:34:42 EST,20160318 07:36:35 EST,open,20160318 07:34:42 EST,111.451,10000.0,,1.0,0.0,,stratv1IB,4.0
USDCHF,52,-8.75734,20160318 07:43:35 EST,20160318 07:43:35 EST,20160318 07:43:35 EST,0.96765,,USDCHF,long,20160318 07:39:43 EST,20160318 07:43:35 EST,open,20160318 07:39:43 EST,0.96812,10000.0,,1.0,0.0,,stratv1IB,4.0
EURJPY,55,-5.672,20160318 07:43:48 EST,20160318 07:43:48 EST,20160318 07:43:48 EST,125.713,,EURJPY,long,20160318 07:42:02 EST,20160318 07:43:48 EST,open,20160318 07:42:02 EST,125.732,10000.0,,1.0,0.0,,stratv1IB,4.0
AUDUSD,56,-4.5,20160318 07:44:12 EST,20160318 07:44:12 EST,20160318 07:44:12 EST,0.76352,,AUDUSD,long,20160318 07:43:24 EST,20160318 07:44:12 EST,open,20160318 07:43:24 EST,0.76357,10000.0,,1.0,0.0,,stratv1IB,4.0
