permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.25346,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160502 10:01:09 EST,,0.0,99998.0,1980237.94964,99990.79722,1.25346,99994.79722,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,1.25409,40000.0,20000.0,-11.93258,BOT,USD,CAD,20160502 10:16:00 EST,,-9.93258,99986.06742,1980237.94964,99989.11254,1.25409,99995.11254,99990.06742,-11.93258
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.25545,20000.0,0.0,19.44176,SLD,USD,CAD,20160502 10:31:43 EST,,21.44176,100005.50918,2000031.37434,100005.50918,1.25409,100011.50918,100011.50918,19.44176
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,1.25414,20000.0,20000.0,-2.0,BOT,USD,CAD,20160502 12:09:15 EST,,0.0,100003.50918,1980258.6031,100001.50918,1.25414,100011.50918,100011.50918,-2.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,1.25449,20000.0,0.0,3.5181,SLD,USD,CAD,20160502 12:25:34 EST,,5.5181,100007.02728,2000036.89244,100007.02728,1.25414,100017.02728,100017.02728,3.5181
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,1.29058,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160511 10:06:38 EST,,0.0,100005.02728,1979689.60816,99999.55876,1.29058,100013.55876,100017.02728,-2.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.28788,20000.0,0.0,40.5682,BOT,USD,CAD,20160511 10:39:47 EST,,42.5682,100045.59548,1999994.32424,100045.59548,1.29058,100059.59548,100059.59548,40.5682
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.28381,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160511 12:08:03 EST,,0.0,100043.59548,1979753.77578,100038.12696,1.28381,100056.12696,100059.59548,-2.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,1.2841,20000.0,0.0,-6.57214,BOT,USD,CAD,20160511 14:35:39 EST,,-4.57214,100037.02334,1999998.89638,100037.02334,1.28381,100055.02334,100055.02334,-6.57214
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,1.28447,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160511 16:28:43 EST,,0.0,100035.02334,1979747.94236,100029.71248,1.28447,100051.71248,100055.02334,-2.0
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.28568,20000.0,0.0,-21.07686,BOT,USD,CAD,20160511 22:04:34 EST,,-19.07686,100013.94648,2000017.97324,100013.94648,1.28447,100035.94648,100035.94648,-21.07686
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,1.28557,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160511 22:56:02 EST,,0.0,100011.94648,1979749.67662,100003.00944,1.28557,100029.00944,100035.94648,-2.0
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,1.28648,20000.0,0.0,-16.34706,BOT,USD,CAD,20160512 03:40:53 EST,,-14.34706,99995.59942,2000032.3203,99995.59942,1.28557,100021.59942,100021.59942,-16.34706
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,1.28281,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160512 05:14:12 EST,,0.0,99993.59942,1979807.53784,99988.28856,1.28281,100018.28856,100021.59942,-2.0
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,1.28437,20000.0,0.0,-26.59496,BOT,USD,CAD,20160512 05:32:52 EST,,-24.59496,99967.00446,2000056.91526,99967.00446,1.28281,99997.00446,99997.00446,-26.59496
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,1.28274,20000.0,0.0,15.65792,BOT,USD,CAD,20160512 14:33:02 EST,,17.65792,99982.66238,2020280.5941,99982.66238,1.28386,100014.66238,100014.66238,15.65792
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,1.28165,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160512 14:51:08 EST,,0.0,99980.66238,2000074.1002,99975.50918,1.28165,100011.50918,100014.66238,-2.0
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,1.2839,20000.0,0.0,-37.4735,BOT,USD,CAD,20160512 15:37:57 EST,,-35.4735,99943.18888,2020316.0676,99943.18888,1.28165,99979.18888,99979.18888,-37.4735
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.28334,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160512 15:55:27 EST,,0.0,99941.18888,2000082.92916,99935.24738,1.28334,99975.24738,99979.18888,-2.0
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,1.28476,20000.0,0.0,-24.38772,BOT,USD,CAD,20160512 17:00:36 EST,,-22.38772,99916.80116,2020338.45532,99916.80116,1.28334,99956.80116,99956.80116,-24.38772
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.28502,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160512 23:44:55 EST,,0.0,99914.80116,2000078.83,99909.4903,1.28502,99953.4903,99956.80116,-2.0
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,1.28501,20000.0,0.0,-1.84234,BOT,USD,CAD,20160513 00:41:32 EST,,0.157660000001,99912.95882,2020338.29766,99912.95882,1.28502,99956.95882,99956.95882,-1.84234
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.28802,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160513 03:06:45 EST,,0.0,99910.95882,2000031.37434,99906.75158,1.28802,99954.75158,99956.95882,-2.0
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,1.288,20000.0,0.0,-1.68468,BOT,USD,CAD,20160513 03:08:51 EST,,0.315320000002,99909.27414,2020337.98234,99909.27414,1.28802,99957.27414,99957.27414,-1.68468
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,1.28745,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160513 03:20:41 EST,,0.0,99907.27414,2000040.04564,99901.64796,1.28745,99953.64796,99957.27414,-2.0
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,1.286,20000.0,0.0,20.8607,BOT,USD,CAD,20160513 05:14:09 EST,,22.8607,99928.13484,2020315.12164,99928.13484,1.28745,99980.13484,99980.13484,20.8607
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,1.2861,20000.0,-20000.0,-2.0,SLD,USD,CAD,20160513 07:24:33 EST,,0.0,99926.13484,2000038.46904,99920.50866,1.2861,99976.50866,99980.13484,-2.0
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,1.28916,20000.0,0.0,-50.24396,BOT,USD,CAD,20160513 09:15:19 EST,,-48.24396,99875.89088,2020363.3656,99875.89088,1.2861,99931.89088,99931.89088,-50.24396
