symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURJPY,EUR,,20000.0,20000.0,125.079,125.079,-22514.22,2.0,-523.1,-2.0,0.0,Paper,JPY,-521.1
NZDJPY,NZD,,20000.0,20000.0,76.351,76.351,-13743.18,2.0,-439.58,-2.0,0.0,Paper,JPY,-437.58
AUDJPY,AUD,,20000.0,20000.0,85.762,85.762,-15437.16,2.0,-1018.82,-2.0,0.0,Paper,JPY,-1016.82
USDCHF,USD,,-20000.0,-20000.0,0.97428,0.97428,0.0,2.0,398.92172,-6.66734,-2.66734,Paper,CHF,400.92172
EURUSD,EUR,,20000.0,20000.0,1.14857,1.14857,0.0,2.0,91.0,-456.2,-452.2,Paper,USD,93.0
EURCHF,EUR,,20000.0,20000.0,1.09996,1.09996,0.0,2.0,18.31282,-58.93644,-52.93644,Paper,CHF,20.31282
NZDUSD,NZD,,20000.0,20000.0,0.7004,0.7004,0.0,2.0,-51.8,-269.4,-265.4,Paper,USD,-49.8
GBPUSD,GBP,,20000.0,20000.0,1.46673,1.46673,0.0,2.0,5.2,373.8,379.8,Paper,USD,7.2
AUDUSD,AUD,,20000.0,20000.0,0.76699,0.76699,0.0,2.0,-215.4,88.2,92.2,Paper,USD,-213.4
USDJPY,USD,,-20000.0,-20000.0,105.955,105.955,0.0,2.0,0.16,-932.62,-928.62,Paper,JPY,2.16
USDCAD,USD,,20000.0,20000.0,1.25282,1.25282,0.0,2.0,-10.51364,231.59362,237.59362,Paper,CAD,-8.51364
CADJPY,CAD,,-20000.0,-20000.0,84.593,84.593,0.0,2.0,-2.72,-557.14,-553.14,Paper,JPY,-0.720000000003
CHFJPY,CHF,,-20000.0,-20000.0,110.998,110.998,0.0,2.0,1.96,-550.84,-546.84,Paper,JPY,3.96
EURGBP,EUR,,20000.0,20000.0,0.78605,0.78605,0.0,2.0,-4.3128,-103.9812,-95.9812,Paper,GBP,-2.3128
GBPJPY,GBP,,-20000.0,-20000.0,155.396,155.396,0.0,2.0,-9.74,-899.72,-891.72,Paper,JPY,-7.74
