trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,mark_to_mkt,pure_mark_to_mkt,currency,pure_unr_pnl,unr_pnl
1.0,-23.36,20160323 23:56:21 EST,20160323 23:56:21 EST,20160323 23:56:21 EST,125.933,,EURJPY,long,,20160323 05:41:09 EST,closed,20160323 05:41:09 EST,126.153,,,1.0,1.0,,EURJPY,,-19.36,-1.0,19976.64,4.0,399980.64,19980.64,,,,,
2.0,-3.384,20160324 00:29:17 EST,20160324 00:29:17 EST,20160324 00:29:17 EST,125.926,,EURJPY,short,,20160323 23:56:21 EST,closed,20160323 23:56:21 EST,125.933,,,1.0,1.0,,EURJPY,,0.615999999999,1.0,19973.256,4.0,399980.024,19981.256,,,,,
3.0,3.304,20160324 02:27:53 EST,20160324 02:27:53 EST,20160324 02:27:53 EST,126.009,,EURJPY,long,,20160324 00:29:17 EST,closed,20160324 00:29:17 EST,125.926,,,1.0,1.0,,EURJPY,,7.304,-1.0,19976.56,4.0,399987.328,19988.56,,,,,
4.0,5.768,20160324 06:24:26 EST,20160324 06:24:26 EST,20160324 06:24:26 EST,125.898,,EURJPY,short,,20160324 02:27:53 EST,closed,20160324 02:27:53 EST,126.009,,,1.0,1.0,,EURJPY,,9.768,1.0,19982.328,4.0,399977.56,19998.328,,,,,
5.0,-23.888,20160324 07:47:15 EST,20160324 07:47:15 EST,20160324 07:47:15 EST,125.672,,EURJPY,long,,20160324 06:24:26 EST,closed,20160324 06:24:26 EST,125.898,,,1.0,1.0,,EURJPY,,-19.888,-1.0,19958.44,4.0,399957.672,19978.44,,,,,
6.0,-3.384,20160324 08:38:06 EST,20160324 08:38:06 EST,20160324 08:38:06 EST,125.665,,EURJPY,short,,20160324 07:47:15 EST,closed,20160324 07:47:15 EST,125.672,,,1.0,1.0,,EURJPY,,0.616,1.0,19955.056,4.0,399957.056,19979.056,,,,,
7.0,-17.904,20160324 10:01:02 EST,20160324 10:01:02 EST,20160324 10:01:02 EST,125.507,,EURJPY,long,,20160324 08:38:06 EST,closed,20160324 08:38:06 EST,125.665,,,1.0,1.0,,EURJPY,,-13.904,-1.0,19937.152,4.0,399943.152,19965.152,,,,,
8.0,-3.472,20160324 10:31:36 EST,20160324 10:31:36 EST,20160324 10:31:36 EST,125.501,,EURJPY,short,,20160324 10:01:02 EST,closed,20160324 10:01:02 EST,125.507,,,1.0,1.0,,EURJPY,,0.528,1.0,19933.68,4.0,399942.624,19965.68,,,,,
9.0,-0.392,20160324 10:48:33 EST,20160324 10:48:33 EST,20160324 10:48:33 EST,125.542,,EURJPY,long,,20160324 10:31:36 EST,closed,20160324 10:31:36 EST,125.501,,,1.0,1.0,,EURJPY,,3.608,-1.0,19933.288,4.0,399946.232,19969.288,,,,,
10.0,-13.592,20160324 11:15:01 EST,20160324 11:15:01 EST,20160324 11:15:01 EST,125.651,,EURJPY,short,,20160324 10:48:33 EST,closed,20160324 10:48:33 EST,125.542,,,1.0,1.0,,EURJPY,,-9.592,1.0,19919.696,4.0,399955.824,19959.696,,,,,
11.0,32.784,20160324 14:19:35 EST,20160324 14:19:35 EST,20160324 14:19:35 EST,126.069,,EURJPY,long,,20160324 11:15:01 EST,closed,20160324 11:15:01 EST,125.651,,,1.0,1.0,,EURJPY,,36.784,-1.0,19952.48,4.0,399992.608,19996.48,,,,,
12.0,-7.784,20160324 14:43:44 EST,20160324 14:43:44 EST,20160324 14:43:44 EST,126.112,,EURJPY,short,,20160324 14:19:35 EST,closed,20160324 14:19:35 EST,126.069,,,1.0,1.0,,EURJPY,,-3.784,1.0,19944.696,4.0,399996.392,19992.696,,,,,
13.0,-2.768,20160324 17:27:01 EST,20160324 17:27:01 EST,20160324 17:27:01 EST,126.126,,EURJPY,long,,20160324 14:43:44 EST,closed,20160324 14:43:44 EST,126.112,,,1.0,1.0,,EURJPY,,1.232,-1.0,19941.928,4.0,399997.624,19993.928,,,,,
14.0,5.944,20160324 20:00:46 EST,20160324 20:00:46 EST,20160324 20:00:46 EST,126.013,,EURJPY,short,,20160324 17:27:01 EST,closed,20160324 17:27:01 EST,126.126,,,1.0,1.0,,EURJPY,,9.944,1.0,19947.872,4.0,399987.68,20003.872,,,,,
15.0,23.896,20160324 21:29:05 EST,20160324 21:29:05 EST,20160324 21:29:05 EST,126.33,,EURJPY,long,,20160324 20:00:46 EST,closed,20160324 20:00:46 EST,126.013,,,1.0,1.0,,EURJPY,,27.896,-1.0,19971.768,4.0,400015.576,20031.768,,,,,
16.0,3.392,20160325 00:18:29 EST,20160325 00:18:29 EST,20160325 00:18:29 EST,126.246,,EURJPY,short,,20160324 21:29:05 EST,closed,20160324 21:29:05 EST,126.33,,,1.0,1.0,,EURJPY,,7.392,1.0,19975.16,4.0,400008.184,20039.16,,,,,
17.0,-3.032,20160325 01:03:53 EST,20160325 01:03:53 EST,20160325 01:03:53 EST,126.257,,EURJPY,long,,20160325 00:18:29 EST,closed,20160325 00:18:29 EST,126.246,,,1.0,1.0,,EURJPY,,0.968,-1.0,19972.128,4.0,400009.152,20040.128,,,,,
18.0,1.544,20160325 03:58:23 EST,20160325 03:58:23 EST,20160325 03:58:23 EST,126.194,,EURJPY,short,,20160325 01:03:53 EST,closed,20160325 01:03:53 EST,126.257,,,1.0,1.0,,EURJPY,,5.544,1.0,19973.672,4.0,400003.608,20045.672,,,,,
19.0,-9.896,20160325 04:21:02 EST,20160325 04:21:02 EST,20160325 04:21:02 EST,126.127,,EURJPY,long,,20160325 03:58:23 EST,closed,20160325 03:58:23 EST,126.194,,,1.0,1.0,,EURJPY,,-5.896,-1.0,19963.776,4.0,399997.712,20039.776,,,,,
20.0,-4.088,20160325 04:29:08 EST,20160325 04:29:08 EST,20160325 04:29:08 EST,126.128,,EURJPY,short,,20160325 04:21:02 EST,closed,20160325 04:21:02 EST,126.127,,,1.0,1.0,,EURJPY,,-0.0879999999992,1.0,19959.688,4.0,399997.8,20039.688,,,,,
21.0,-2.504,20160325 04:43:12 EST,20160325 04:43:12 EST,20160325 04:43:12 EST,126.145,,EURJPY,long,,20160325 04:29:08 EST,closed,20160325 04:29:08 EST,126.128,,,1.0,1.0,,EURJPY,,1.496,-1.0,19957.184,4.0,399999.296,20041.184,,,,,
22.0,-5.32,20160325 05:00:20 EST,20160325 05:00:20 EST,20160325 05:00:20 EST,126.16,,EURJPY,short,,20160325 04:43:12 EST,closed,20160325 04:43:12 EST,126.145,,,1.0,1.0,,EURJPY,,-1.32,1.0,19951.864,4.0,400000.616,20039.864,,,,,
23.0,-4.704,20160325 05:07:57 EST,20160325 05:07:57 EST,20160325 05:07:57 EST,126.152,,EURJPY,long,,20160325 05:00:20 EST,closed,20160325 05:00:20 EST,126.16,,,1.0,1.0,,EURJPY,,-0.704,-1.0,19947.16,4.0,399999.912,20039.16,,,,,
24.0,-9.544,20160325 05:16:09 EST,20160325 05:16:09 EST,20160325 05:16:09 EST,126.215,,EURJPY,short,,20160325 05:07:57 EST,closed,20160325 05:07:57 EST,126.152,,,1.0,1.0,,EURJPY,,-5.544,1.0,19937.616,4.0,400005.456,20033.616,,,,,
25.0,-11.48,20160325 05:40:20 EST,20160325 05:40:20 EST,20160325 05:40:20 EST,126.13,,EURJPY,long,,20160325 05:16:09 EST,closed,20160325 05:16:09 EST,126.215,,,1.0,1.0,,EURJPY,,-7.48,-1.0,19926.136,4.0,399997.976,20026.136,,,,,
26.0,-9.72,20160325 05:54:25 EST,20160325 05:54:25 EST,20160325 05:54:25 EST,126.195,,EURJPY,short,,20160325 05:40:20 EST,closed,20160325 05:40:20 EST,126.13,,,1.0,1.0,,EURJPY,,-5.72,1.0,19916.416,4.0,400003.696,20020.416,,,,,
27.0,-2.152,20160325 07:03:24 EST,20160325 07:03:24 EST,20160325 07:03:24 EST,126.216,,EURJPY,long,,20160325 05:54:25 EST,closed,20160325 05:54:25 EST,126.195,,,1.0,1.0,,EURJPY,,1.848,-1.0,19914.264,4.0,400005.544,20022.264,,,,,
28.0,-4.264,20160325 08:09:46 EST,20160325 08:09:46 EST,20160325 08:09:46 EST,126.219,,EURJPY,short,,20160325 07:03:24 EST,closed,20160325 07:03:24 EST,126.216,,,1.0,1.0,,EURJPY,,-0.263999999999,1.0,19910.0,4.0,400005.808,20022.0,,,,,
29.0,-6.112,20160325 08:22:51 EST,20160325 08:22:51 EST,20160325 08:22:51 EST,126.195,,EURJPY,long,,20160325 08:09:46 EST,closed,20160325 08:09:46 EST,126.219,,,1.0,1.0,,EURJPY,,-2.112,-1.0,19903.888,4.0,400003.696,20019.888,,,,,
30.0,-10.6,20160325 08:54:02 EST,20160325 08:54:02 EST,20160325 08:54:02 EST,126.27,,EURJPY,short,,20160325 08:22:51 EST,closed,20160325 08:22:51 EST,126.195,,,1.0,1.0,,EURJPY,,-6.6,1.0,19893.288,4.0,400010.296,20013.288,,,,,
31.0,-5.672,20160325 09:08:37 EST,20160325 09:08:37 EST,20160325 09:08:37 EST,126.251,,EURJPY,long,,20160325 08:54:02 EST,closed,20160325 08:54:02 EST,126.27,,,1.0,1.0,,EURJPY,,-1.672,-1.0,19887.616,4.0,400008.624,20011.616,,,,,
32.0,-5.848,20160325 09:23:06 EST,20160325 09:23:06 EST,20160325 09:23:06 EST,126.272,,EURJPY,short,,20160325 09:08:37 EST,closed,20160325 09:08:37 EST,126.251,,,1.0,1.0,,EURJPY,,-1.848,1.0,19881.768,4.0,400010.472,20009.768,,,,,
33.0,-5.32,20160325 09:38:47 EST,20160325 09:38:47 EST,20160325 09:38:47 EST,126.257,,EURJPY,long,,20160325 09:23:06 EST,closed,20160325 09:23:06 EST,126.272,,,1.0,1.0,,EURJPY,,-1.32,-1.0,19876.448,4.0,400009.152,20008.448,,,,,
34.0,-7.696,20160325 09:53:25 EST,20160325 09:53:25 EST,20160325 09:53:25 EST,126.299,,EURJPY,short,,20160325 09:38:47 EST,closed,20160325 09:38:47 EST,126.257,,,1.0,1.0,,EURJPY,,-3.696,1.0,19868.752,4.0,400012.848,20004.752,,,,,
35.0,-5.936,20160325 10:35:46 EST,20160325 10:35:46 EST,20160325 10:35:46 EST,126.277,,EURJPY,long,,20160325 09:53:25 EST,closed,20160325 09:53:25 EST,126.299,,,1.0,1.0,,EURJPY,,-1.936,-1.0,19862.816,4.0,400010.912,20002.816,,,,,
36.0,-4.968,20160325 10:53:51 EST,20160325 10:53:51 EST,20160325 10:53:51 EST,126.288,,EURJPY,short,,20160325 10:35:46 EST,closed,20160325 10:35:46 EST,126.277,,,1.0,1.0,,EURJPY,,-0.968,1.0,19857.848,4.0,400011.88,20001.848,,,,,
37.0,-7.696,20160325 11:38:06 EST,20160325 11:38:06 EST,20160325 11:38:06 EST,126.246,,EURJPY,long,,20160325 10:53:51 EST,closed,20160325 10:53:51 EST,126.288,,,1.0,1.0,,EURJPY,,-3.696,-1.0,19850.152,4.0,400008.184,19998.152,,,,,
38.0,-9.632,20160325 12:57:41 EST,20160325 12:57:41 EST,20160325 12:57:41 EST,126.31,,EURJPY,short,,20160325 11:38:06 EST,closed,20160325 11:38:06 EST,126.246,,,1.0,1.0,,EURJPY,,-5.632,1.0,19840.52,4.0,400013.816,19992.52,,,,,
39.0,-4.616,20160325 13:24:23 EST,20160325 13:24:23 EST,20160325 13:24:23 EST,126.303,,EURJPY,long,,20160325 12:57:41 EST,closed,20160325 12:57:41 EST,126.31,,,1.0,1.0,,EURJPY,,-0.616,-1.0,19835.904,4.0,400013.2,19991.904,,,,,
40.0,-5.408,20160325 13:38:01 EST,20160325 13:38:01 EST,20160325 13:38:01 EST,126.319,,EURJPY,short,,20160325 13:24:23 EST,closed,20160325 13:24:23 EST,126.303,,,1.0,1.0,,EURJPY,,-1.408,1.0,19830.496,4.0,400014.608,19990.496,,,,,
41.0,-3.736,20160325 14:07:46 EST,20160325 14:07:46 EST,20160325 14:07:46 EST,126.322,,EURJPY,long,,20160325 13:38:01 EST,closed,20160325 13:38:01 EST,126.319,,,1.0,1.0,,EURJPY,,0.264,-1.0,19826.76,4.0,400014.872,19990.76,,,,,
42.0,-5.232,20160325 14:54:04 EST,20160325 14:54:04 EST,20160325 14:54:04 EST,126.336,,EURJPY,short,,20160325 14:07:46 EST,closed,20160325 14:07:46 EST,126.322,,,1.0,1.0,,EURJPY,,-1.232,1.0,19821.528,4.0,400016.104,19989.528,,,,,
