sym,currency,exp,qty,openqty,price,value,avg_cost,unr_pnl,real_pnl,accountid,symbol
USD,CAD,,25000.0,25000.0,1.33611,33402.75,2.0,0.0,-1318.97751238,Paper,USDCAD
GBP,USD,,-25000.0,-25000.0,1.40935,35233.75,2.0,0.0,-1932.9492115,Paper,GBPUSD
AUD,USD,,-25000.0,-25000.0,0.74324,18581.0,2.0,0.0,-1084.3619089,Paper,AUDUSD
USD,CHF,,25000.0,25000.0,0.98959,24739.75,2.0,0.0,-1151.66360829,Paper,USDCHF
EUR,USD,,-25000.0,-25000.0,1.10668,27667.0,2.0,0.0,-1253.1428955,Paper,EURUSD
EUR,JPY,,-25000.0,-25000.0,125.802,3145050.0,2.0,0.0,-174.94194984,Paper,EURJPY
USD,JPY,,-25000.0,-25000.0,113.681,2842025.0,2.0,0.0,971.28826012,Paper,USDJPY
