permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available,openprice
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.12729,10000.0,10000.0,-2.0,BOT,EUR,USD,20160318 06:23:57 EST,,9998.0,18727.1,1.12729
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,125.539,10000.0,-10000.0,-2.0,SLD,EUR,JPY,20160318 06:23:58 EST,,9996.0,7679.668,125.539
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.44396,10000.0,10000.0,-2.0,BOT,GBP,USD,20160318 06:23:58 EST,,9994.0,-6759.932,1.44396
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.96998,10000.0,-10000.0,-2.0,SLD,USD,CHF,20160318 06:23:58 EST,,9992.0,-16578.06956,0.96998
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,111.365,10000.0,10000.0,-2.0,BOT,USD,JPY,20160318 06:23:58 EST,,9990.0,-26378.18956,111.365
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.7625,10000.0,-10000.0,-2.0,SLD,AUD,USD,20160318 06:23:58 EST,,9988.0,-34003.18956,0.7625
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.30076,10000.0,-10000.0,-2.0,SLD,USD,CAD,20160318 06:23:59 EST,,9986.0,-43725.0698,1.30076
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.1273,20000.0,-10000.0,-1.9,SLD,EUR,USD,20160318 06:24:21 EST,,9984.1,-32452.0698,1.12729
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,0.96955,20000.0,10000.0,2.35246,BOT,USD,CHF,20160318 06:24:32 EST,,9986.45246,-22638.2847,0.96998
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,125.542,20000.0,10000.0,-2.264,BOT,EUR,JPY,20160318 06:25:39 EST,,9984.18846,-11590.5887,125.539
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.12733,20000.0,10000.0,-2.4,BOT,EUR,USD,20160318 06:26:12 EST,,9981.78846,-317.2887,1.12729
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,111.355,20000.0,-10000.0,-2.88,SLD,USD,JPY,20160318 06:26:35 EST,,9978.90846,9481.9513,111.365
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,0.9694,20000.0,-10000.0,-7.87076,SLD,USD,CHF,20160318 06:27:30 EST,,9971.0377,19294.2181,0.96998
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.76267,20000.0,10000.0,-3.7,BOT,AUD,USD,20160318 06:28:16 EST,,9967.3377,26920.9181,0.7625
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,1.12732,20000.0,-10000.0,-1.7,SLD,EUR,USD,20160318 06:29:12 EST,,9965.6377,38194.1181,1.12729
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,0.96961,20000.0,10000.0,1.74514,BOT,USD,CHF,20160318 06:29:35 EST,,9967.38284,48008.51052,0.96998
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,0.76228,20000.0,-10000.0,-4.2,SLD,AUD,USD,20160318 06:33:34 EST,,9963.18284,55631.31052,0.7625
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,0.96931,20000.0,-10000.0,-8.78174,SLD,USD,CHF,20160318 06:33:45 EST,,9954.4011,65442.66634,0.96998
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,111.37,20000.0,10000.0,-2.44,BOT,USD,JPY,20160318 06:33:57 EST,,9951.9611,75243.22634,111.365
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,111.377,20000.0,-10000.0,-0.944,SLD,USD,JPY,20160318 06:35:23 EST,,9951.0171,85044.40234,111.365
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,125.513,20000.0,-10000.0,-4.288,SLD,EUR,JPY,20160318 06:35:45 EST,,9946.7291,96089.54634,125.539
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,0.76228,20000.0,10000.0,0.2,BOT,AUD,USD,20160318 06:36:39 EST,,9946.9291,103712.34634,0.7625
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.12672,20000.0,10000.0,3.7,BOT,EUR,USD,20160318 06:36:51 EST,,9950.6291,114979.54634,1.12729
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,125.54,20000.0,10000.0,-2.088,BOT,EUR,JPY,20160318 06:38:38 EST,,9948.5411,126027.06634,125.539
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,1.1269,20000.0,-10000.0,-5.9,SLD,EUR,USD,20160318 06:40:04 EST,,9942.6411,137296.06634,1.12729
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,125.583,20000.0,-10000.0,1.872,SLD,EUR,JPY,20160318 06:42:54 EST,,9944.5131,148347.37034,125.539
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,0.96978,20000.0,10000.0,0.0243999999998,BOT,USD,CHF,20160318 06:43:38 EST,,9944.5375,158163.4835,0.96998
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,111.434,20000.0,10000.0,-8.072,BOT,USD,JPY,20160318 06:43:38 EST,,9936.4655,167969.6755,111.365
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,0.96969,20000.0,-10000.0,-4.93538,SLD,USD,CHF,20160318 06:46:19 EST,,9931.53012,177784.87768,0.96998
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,125.595,20000.0,10000.0,-6.928,BOT,EUR,JPY,20160318 06:47:02 EST,,9924.60212,188837.23768,125.539
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,125.584,20000.0,-10000.0,1.96,SLD,EUR,JPY,20160318 06:50:36 EST,,9926.56212,199888.62968,125.539
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,1.12685,20000.0,10000.0,2.4,BOT,EUR,USD,20160318 06:52:24 EST,,9928.96212,211157.12968,1.12729
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,125.543,20000.0,10000.0,-2.352,BOT,EUR,JPY,20160318 06:53:18 EST,,9926.61012,222204.91368,125.539
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,111.439,20000.0,-10000.0,4.512,SLD,USD,JPY,20160318 06:53:18 EST,,9931.12212,232011.54568,111.365
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,1.12658,20000.0,-10000.0,-9.1,SLD,EUR,USD,20160318 06:54:33 EST,,9922.02212,243277.34568,1.12729
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,0.9699,20000.0,10000.0,-1.19024,BOT,USD,CHF,20160318 06:54:44 EST,,9920.83188,253094.67348,0.96998
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,0.96945,20000.0,-10000.0,-7.36466,SLD,USD,CHF,20160318 06:59:10 EST,,9913.46722,262907.44638,0.96998
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,125.564,20000.0,-10000.0,0.199999999999,SLD,EUR,JPY,20160318 06:59:22 EST,,9913.66722,273957.07838,125.539
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,1.12688,20000.0,10000.0,2.1,BOT,EUR,USD,20160318 07:00:37 EST,,9915.76722,285225.87838,1.12729
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,0.96913,20000.0,10000.0,6.6037,BOT,USD,CHF,20160318 07:02:15 EST,,9922.37092,295035.41224,0.96998
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,125.6,20000.0,10000.0,-7.368,BOT,EUR,JPY,20160318 07:03:09 EST,,9915.00292,306088.21224,125.539
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,0.76297,20000.0,-10000.0,2.7,SLD,AUD,USD,20160318 07:04:25 EST,,9917.70292,313717.91224,0.7625
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,1.12714,20000.0,-10000.0,-3.5,SLD,EUR,USD,20160318 07:04:46 EST,,9914.20292,324989.31224,1.12729
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,111.432,20000.0,10000.0,-7.896,BOT,USD,JPY,20160318 07:05:40 EST,,9906.30692,334795.32824,111.365
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,1.12689,20000.0,10000.0,2.0,BOT,EUR,USD,20160318 07:06:23 EST,,9908.30692,346064.22824,1.12729
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,1.12679,20000.0,-10000.0,-7.0,SLD,EUR,USD,20160318 07:07:50 EST,,9901.30692,357332.12824,1.12729
47,Paper,Paper,2.0,USD,IDEALPRO,47.0,,,1.0,0.96888,20000.0,-10000.0,-13.1342,SLD,USD,CHF,20160318 07:08:12 EST,,9888.17272,367139.1316,0.96998
48,Paper,Paper,2.0,USD,IDEALPRO,48.0,,,1.0,0.96873,20000.0,10000.0,10.6525,BOT,USD,CHF,20160318 07:10:09 EST,,9898.82522,376944.61666,0.96998
