Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160329 20:43:53 EST,paperUSD,19900.48326,20020.48326,314325.45384,0,-99.51674,20.48326,USD
20160329 20:44:27 EST,paperUSD,19898.48326,20020.48326,306767.92584,0,-101.51674,20.48326,USD
20160329 20:45:30 EST,paperUSD,19895.51526,20019.51526,314324.48584,0,-104.48474,19.51526,USD
20160329 20:46:01 EST,paperUSD,19893.51526,20019.51526,306766.51784,0,-106.48474,19.51526,USD
20160329 20:48:09 EST,paperUSD,19887.71526,20015.71526,313631.91784,0,-112.28474,15.71526,USD
20160329 20:48:09 EST,paperUSD,19885.71526,20015.71526,306766.51784,0,-114.28474,15.71526,USD
20160329 20:53:24 EST,paperUSD,19883.71526,20015.71526,292512.98184,0,-116.28474,15.71526,USD
20160329 20:53:55 EST,paperUSD,19882.85926,20016.85926,306765.37384,0,-117.14074,16.85926,USD
20160329 20:57:01 EST,paperUSD,19880.85926,20016.85926,295688.15314,0,-119.14074,16.85926,USD
20160329 20:57:32 EST,paperUSD,19876.05926,20014.05926,306985.35314,0,-123.94074,14.05926,USD
20160329 21:02:19 EST,paperUSD,19874.05926,20014.05926,295687.25314,0,-125.94074,14.05926,USD
20160329 21:04:27 EST,paperUSD,19871.49506,20013.49506,306763.90964,0,-128.50494,13.49506,USD
20160329 21:04:27 EST,paperUSD,19869.49506,20013.49506,295687.25314,0,-130.50494,13.49506,USD
20160329 21:06:04 EST,paperUSD,19868.02306,20014.02306,303245.74914,0,-131.97694,14.02306,USD
20160329 21:11:18 EST,paperUSD,19866.02306,20014.02306,295688.30914,0,-133.97694,14.02306,USD
20160329 21:12:19 EST,paperUSD,19860.12306,20010.12306,306982.50914,0,-139.87694,10.12306,USD
20160329 21:12:19 EST,paperUSD,19859.09106,20011.09106,314540.91714,0,-140.90894,11.09106,USD
20160329 21:14:22 EST,paperUSD,19857.09106,20011.09106,303247.91714,0,-142.90894,11.09106,USD
20160329 21:15:24 EST,paperUSD,19856.39106,20012.39106,314542.21714,0,-143.60894,12.39106,USD
20160329 21:28:05 EST,paperUSD,19854.39106,20012.39106,304759.50658,0,-145.60894,12.39106,USD
20160329 21:38:53 EST,paperUSD,19852.39106,20012.39106,293468.60658,0,-147.60894,12.39106,USD
20160329 21:40:26 EST,paperUSD,19850.39106,20012.39106,282273.95058,0,-149.60894,12.39106,USD
20160329 21:47:04 EST,paperUSD,19848.39106,20012.39106,268030.27058,0,-151.60894,12.39106,USD
20160329 21:48:07 EST,paperUSD,19842.58271,20008.58271,279110.73543,0,-157.41729,8.58271,USD
20160329 21:50:13 EST,paperUSD,19828.87871,19996.87871,289363.17543,0,-171.12129,-3.12129,USD
20160329 21:53:17 EST,paperUSD,19824.44943,19994.44943,299148.31527,0,-175.55057,-5.55057,USD
