trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,unr_pnl,currency
1.0,-22.5,20160323 11:37:19 EST,20160323 11:37:19 EST,20160323 11:37:19 EST,0.67009,,NZDUSD,long,,20160323 06:48:21 EST,closed,20160323 05:41:04 EST,0.67042,,,5.0,5.0,,NZDUSD,,-16.5,-5.0,19977.5,6.0,399983.5,19983.5,,,,,
2.0,0.6,20160323 12:06:11 EST,20160323 12:06:11 EST,20160323 12:06:11 EST,0.66963,,NZDUSD,short,,20160323 11:37:19 EST,closed,20160323 11:37:19 EST,0.67009,,,1.0,1.0,,NZDUSD,,4.6,1.0,19978.1,4.0,399978.9,19988.1,,,,,
3.0,1.5,20160323 13:20:52 EST,20160323 13:20:52 EST,20160323 13:20:52 EST,0.67054,,NZDUSD,long,,20160323 12:51:13 EST,closed,20160323 12:51:13 EST,0.66999,,,1.0,1.0,,NZDUSD,,5.5,-1.0,19979.6,4.0,399984.4,19993.6,,,,,
4.0,-8.2,20160323 13:44:53 EST,20160323 13:44:53 EST,20160323 13:44:53 EST,0.67096,,NZDUSD,short,,20160323 13:20:52 EST,closed,20160323 13:20:52 EST,0.67054,,,1.0,1.0,,NZDUSD,,-4.2,1.0,19971.4,4.0,399988.6,19989.4,,,,,
5.0,-6.6,20160323 14:54:09 EST,20160323 14:54:09 EST,20160323 14:54:09 EST,0.6707,,NZDUSD,long,,20160323 13:44:53 EST,closed,20160323 13:44:53 EST,0.67096,,,1.0,1.0,,NZDUSD,,-2.6,-1.0,19964.8,4.0,399986.0,19986.8,,,,,
6.0,-2.5,20160323 15:08:46 EST,20160323 15:08:46 EST,20160323 15:08:46 EST,0.67055,,NZDUSD,short,,20160323 14:54:09 EST,closed,20160323 14:54:09 EST,0.6707,,,1.0,1.0,,NZDUSD,,1.5,1.0,19962.3,4.0,399984.5,19988.3,,,,,
7.0,-5.2,20160323 15:38:10 EST,20160323 15:38:10 EST,20160323 15:38:10 EST,0.67073,,NZDUSD,short,,20160323 15:22:27 EST,closed,20160323 15:22:27 EST,0.67061,,,1.0,1.0,,NZDUSD,,-1.2,1.0,19957.1,4.0,399985.7,19987.1,,,,,
8.0,-7.7,20160323 16:06:43 EST,20160323 16:06:43 EST,20160323 16:06:43 EST,0.67036,,NZDUSD,long,,20160323 15:38:10 EST,closed,20160323 15:38:10 EST,0.67073,,,1.0,1.0,,NZDUSD,,-3.7,-1.0,19949.4,4.0,399982.0,19983.4,,,,,
9.0,-2.3,20160323 17:19:51 EST,20160323 17:19:51 EST,20160323 17:19:51 EST,0.67012,,NZDUSD,short,,20160323 17:08:13 EST,closed,20160323 16:06:43 EST,0.67042,,,2.0,2.0,,NZDUSD,,5.7,2.0,19947.1,8.0,399976.3,19989.1,,,,,
10.0,-21.0,20160323 18:34:21 EST,20160323 18:34:21 EST,20160323 18:34:21 EST,0.672,,NZDUSD,short,,20160323 17:38:05 EST,closed,20160323 17:38:05 EST,0.6703,,,1.0,1.0,,NZDUSD,,-17.0,1.0,19926.1,4.0,399993.3,19972.1,,,,,
11.0,-11.7,20160323 19:03:10 EST,20160323 19:03:10 EST,20160323 19:03:10 EST,0.67123,,NZDUSD,long,,20160323 18:34:21 EST,closed,20160323 18:34:21 EST,0.672,,,1.0,1.0,,NZDUSD,,-7.7,-1.0,19914.4,4.0,399985.6,19964.4,,,,,
12.0,-7.0,20160323 19:36:47 EST,20160323 19:36:47 EST,20160323 19:36:47 EST,0.67128,,NZDUSD,short,,20160323 19:03:10 EST,closed,20160323 19:03:10 EST,0.67123,,,2.0,2.0,,NZDUSD,,-1.0,1.0,19907.4,6.0,399986.6,19963.4,,,,,
13.0,0.500000000001,20160323 19:54:00 EST,20160323 19:54:00 EST,20160323 19:54:00 EST,0.67189,,NZDUSD,long,,20160323 19:36:47 EST,closed,20160323 19:36:47 EST,0.67144,,,1.0,1.0,,NZDUSD,,4.5,-1.0,19907.9,4.0,399991.1,19967.9,,,,,
14.0,5.6,20160323 22:13:05 EST,20160323 22:13:05 EST,20160323 22:13:05 EST,0.67093,,NZDUSD,short,,20160323 19:54:00 EST,closed,20160323 19:54:00 EST,0.67189,,,1.0,1.0,,NZDUSD,,9.6,1.0,19913.5,4.0,399981.5,19977.5,,,,,
15.0,-5.8,20160323 22:49:30 EST,20160323 22:49:30 EST,20160323 22:49:30 EST,0.67075,,NZDUSD,long,,20160323 22:13:05 EST,closed,20160323 22:13:05 EST,0.67093,,,1.0,1.0,,NZDUSD,,-1.8,-1.0,19907.7,4.0,399979.7,19975.7,,,,,
16.0,7.8,20160324 00:49:40 EST,20160324 00:49:40 EST,20160324 00:49:40 EST,0.66957,,NZDUSD,short,,20160323 22:49:30 EST,closed,20160323 22:49:30 EST,0.67075,,,1.0,1.0,,NZDUSD,,11.8,1.0,19915.5,4.0,399967.9,19987.5,,,,,
17.0,-3.3,20160324 01:07:46 EST,20160324 01:07:46 EST,20160324 01:07:46 EST,0.66964,,NZDUSD,long,,20160324 00:49:40 EST,closed,20160324 00:49:40 EST,0.66957,,,1.0,1.0,,NZDUSD,,0.7,-1.0,19912.2,4.0,399968.6,19988.2,,,,,
18.0,1.5,20160324 02:11:18 EST,20160324 02:11:18 EST,20160324 02:11:18 EST,0.66898,,NZDUSD,short,,20160324 01:23:01 EST,closed,20160324 01:23:01 EST,0.66953,,,1.0,1.0,,NZDUSD,,5.5,1.0,19913.7,4.0,399963.1,19993.7,,,,,
19.0,0.2,20160324 02:27:17 EST,20160324 02:27:17 EST,20160324 02:27:17 EST,0.6694,,NZDUSD,long,,20160324 02:11:18 EST,closed,20160324 02:11:18 EST,0.66898,,,1.0,1.0,,NZDUSD,,4.2,-1.0,19913.9,4.0,399967.3,19997.9,,,,,
20.0,-15.3,20160324 03:00:33 EST,20160324 03:00:33 EST,20160324 03:00:33 EST,0.66821,,NZDUSD,long,,20160324 02:44:44 EST,closed,20160324 02:44:44 EST,0.66934,,,1.0,1.0,,NZDUSD,,-11.3,-1.0,19898.6,4.0,399956.0,19986.6,,,,,
21.0,-2.5,20160324 03:34:29 EST,20160324 03:34:29 EST,20160324 03:34:29 EST,0.66774,,NZDUSD,long,,20160324 03:17:11 EST,closed,20160324 03:17:11 EST,0.66759,,,1.0,1.0,,NZDUSD,,1.5,-1.0,19896.1,4.0,399957.5,19988.1,,,,,
22.0,-15.6,20160324 04:19:11 EST,20160324 04:19:11 EST,20160324 04:19:11 EST,0.6689,,NZDUSD,short,,20160324 03:34:29 EST,closed,20160324 03:34:29 EST,0.66774,,,1.0,1.0,,NZDUSD,,-11.6,1.0,19880.5,4.0,399969.1,19976.5,,,,,
23.0,-16.0,20160324 06:21:21 EST,20160324 06:21:21 EST,20160324 06:21:21 EST,0.668705,,NZDUSD,short,,20160324 05:28:55 EST,closed,20160324 04:50:41 EST,0.668305,,,2.0,2.0,,NZDUSD,,-8.0,1.0,19864.5,8.0,399977.1,19968.5,,,,,
24.0,-7.4,20160324 08:37:42 EST,20160324 08:37:42 EST,20160324 08:37:42 EST,0.66965,,NZDUSD,short,,20160324 06:36:02 EST,closed,20160324 06:36:02 EST,0.66931,,,1.0,1.0,,NZDUSD,,-3.4,1.0,19857.1,4.0,399980.5,19965.1,,,,,
25.0,3.8,20160324 08:55:57 EST,20160324 08:55:57 EST,20160324 08:55:57 EST,0.67043,,NZDUSD,long,,20160324 08:37:42 EST,closed,20160324 08:37:42 EST,0.66965,,,1.0,1.0,,NZDUSD,,7.8,-1.0,19860.9,4.0,399988.3,19972.9,,,,,
26.0,3.0,20160324 10:17:38 EST,20160324 10:17:38 EST,20160324 10:17:38 EST,0.66973,,NZDUSD,short,,20160324 08:55:57 EST,closed,20160324 08:55:57 EST,0.67043,,,1.0,1.0,,NZDUSD,,7.0,1.0,19863.9,4.0,399981.3,19979.9,,,,,
27.0,-1.2,20160324 10:33:42 EST,20160324 10:33:42 EST,20160324 10:33:42 EST,0.66987,,NZDUSD,long,,20160324 10:17:38 EST,closed,20160324 10:17:38 EST,0.66973,,,2.0,2.0,,NZDUSD,,2.8,-2.0,19862.7,4.0,399984.1,19982.7,,,,,
28.0,-1.9,20160324 10:51:46 EST,20160324 10:51:46 EST,20160324 10:51:46 EST,0.66966,,NZDUSD,short,,20160324 10:33:42 EST,closed,20160324 10:33:42 EST,0.66987,,,1.0,1.0,,NZDUSD,,2.1,1.0,19860.8,4.0,399982.0,19984.8,,,,,
29.0,-8.7,20160324 11:08:52 EST,20160324 11:08:52 EST,20160324 11:08:52 EST,0.66919,,NZDUSD,long,,20160324 10:51:46 EST,closed,20160324 10:51:46 EST,0.66966,,,1.0,1.0,,NZDUSD,,-4.7,-1.0,19852.1,4.0,399977.3,19980.1,,,,,
30.0,-3.8,20160324 11:25:21 EST,20160324 11:25:21 EST,20160324 11:25:21 EST,0.66917,,NZDUSD,short,,20160324 11:08:52 EST,closed,20160324 11:08:52 EST,0.66919,,,1.0,1.0,,NZDUSD,,0.199999999999,1.0,19848.3,4.0,399977.1,19980.3,,,,,
31.0,-1.8,20160324 12:24:27 EST,20160324 12:24:27 EST,20160324 12:24:27 EST,0.6698,,NZDUSD,long,,20160324 12:14:02 EST,closed,20160324 11:25:21 EST,0.66959,,,2.0,2.0,,NZDUSD,,4.2,-2.0,19846.5,6.0,399981.3,19984.5,,,,,
