trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance
1.0,-2.0,,,,0.0,,EURJPY,long,,20160425 07:07:05 EST,open,20160425 07:07:05 EST,125.041,,,0.0,2.0,,EURJPY,,0.0,2.0,JPY,99998.0,2.0,1977492.62,99996.9,100000.9,100000.0
2.0,-2.0,,,,0.0,,EURUSD,short,,20160425 07:10:18 EST,open,20160425 07:10:18 EST,1.1258,,,0.0,2.0,,EURUSD,,0.0,-2.0,USD,99996.0,2.0,1954976.62,99996.94,100004.94,100000.0
3.0,-2.0,,,,0.0,,GBPUSD,long,,20160425 07:11:13 EST,open,20160425 07:11:13 EST,1.44615,,,0.0,2.0,,GBPUSD,,0.0,2.0,USD,99994.0,2.0,1926053.62,99993.82,100005.82,100000.0
4.0,-2.0,,,,0.0,,USDCHF,long,,20160425 07:11:30 EST,open,20160425 07:11:30 EST,0.97437,,,0.0,2.0,,USDCHF,,0.0,2.0,CHF,99992.0,2.0,1906061.49634,99989.43928,100005.43928,100000.0
5.0,-2.0,,,,0.0,,USDJPY,long,,20160425 07:11:57 EST,open,20160425 07:11:57 EST,111.123,,,0.0,2.0,,USDJPY,,0.0,2.0,JPY,99990.0,2.0,1886059.35634,99979.8177,99999.8177,100000.0
6.0,-2.0,,,,0.0,,AUDUSD,short,,20160425 07:12:13 EST,open,20160425 07:12:13 EST,0.7716,,,0.0,2.0,,AUDUSD,,0.0,-2.0,USD,99988.0,2.0,1870627.35634,99981.25698,100005.25698,100000.0
7.0,-2.0,,,,0.0,,USDCAD,long,,20160425 07:12:42 EST,open,20160425 07:12:42 EST,1.26778,,,0.0,2.0,,USDCAD,,0.0,2.0,CAD,99986.0,2.0,1850639.53686,99977.40016,100005.40016,100000.0
8.0,-2.0,,,,0.0,,NZDJPY,long,,20160425 07:13:01 EST,open,20160425 07:13:01 EST,76.357,,,0.0,2.0,,NZDJPY,,0.0,2.0,JPY,99984.0,2.0,1836895.27686,99979.72038,100011.72038,100000.0
9.0,-2.0,,,,0.0,,CADJPY,long,,20160425 07:13:21 EST,open,20160425 07:13:21 EST,87.672,,,0.0,2.0,,CADJPY,,0.0,2.0,JPY,99982.0,2.0,1821114.31686,99982.52272,100018.52272,100000.0
10.0,-2.0,,,,0.0,,CHFJPY,long,,20160425 07:13:33 EST,open,20160425 07:13:33 EST,114.041,,,0.0,2.0,,CHFJPY,,0.0,2.0,JPY,99980.0,2.0,1800586.93686,99978.55314,100018.55314,100000.0
11.0,-2.0,,,,0.0,,EURGBP,short,,20160425 07:13:37 EST,open,20160425 07:13:37 EST,0.77775,,,0.0,2.0,,EURGBP,,0.0,-2.0,GBP,99978.0,2.0,1778102.18436,99971.88034,100015.88034,100000.0
12.0,-2.0,,,,0.0,,GBPJPY,long,,20160425 07:13:57 EST,open,20160425 07:13:57 EST,160.854,,,0.0,2.0,,GBPJPY,,0.0,2.0,JPY,99976.0,2.0,1749148.46436,99977.78668,100025.78668,100000.0
13.0,-2.0,,,,0.0,,EURCHF,long,,20160425 07:14:08 EST,open,20160425 07:14:08 EST,1.09694,,,0.0,2.0,,EURCHF,,0.0,2.0,CHF,99974.0,2.0,1726641.44944,99980.68626,100032.68626,100000.0
14.0,-2.0,,,,0.0,,AUDJPY,long,,20160425 07:14:20 EST,open,20160425 07:14:20 EST,85.762,,,0.0,2.0,,AUDJPY,,0.0,2.0,JPY,99972.0,2.0,1711204.28944,99979.60258,100035.60258,100000.0
15.0,-2.0,,,,0.0,,NZDUSD,short,,20160425 07:14:29 EST,open,20160425 07:14:29 EST,0.68713,,,0.0,2.0,,NZDUSD,,0.0,-2.0,USD,99970.0,2.0,1697461.68944,99973.73758,100033.73758,100000.0
