Date,accountid,balance,buy_power,unr_pnl,real_pnl,currency
20160318 06:23:55 EST,paperUSD,10000.0,30000.0,0,0.0,USD
20160318 06:23:55 EST,paperUSD,9998.0,1818.0,0,-2.0,USD
20160318 06:23:55 EST,paperUSD,9996.0,-25800.58,0,-4.0,USD
20160318 06:23:55 EST,paperUSD,9994.0,-61899.58,0,-6.0,USD
20160318 06:23:56 EST,paperUSD,9992.0,-86450.23795,0,-8.0,USD
20160318 06:23:56 EST,paperUSD,9990.0,-110950.53795,0,-10.0,USD
20160318 06:23:57 EST,paperUSD,9988.0,-130010.78795,0,-12.0,USD
20160318 06:23:57 EST,paperUSD,9986.0,-154317.35705,0,-14.0,USD
20160318 06:24:20 EST,paperUSD,9984.25,-126135.10705,0,-15.75,USD
20160318 06:24:32 EST,paperUSD,9998.4452,-101600.6443,0,-1.5548,USD
20160318 06:25:38 EST,paperUSD,9995.7852,-73981.4043,0,-4.2148,USD
20160318 06:26:12 EST,paperUSD,9992.5352,-45798.1543,0,-7.4648,USD
20160318 06:26:35 EST,paperUSD,9988.1152,-21300.2743,0,-11.8848,USD
20160318 06:27:30 EST,paperUSD,9966.12425,3230.3927,0,-33.87575,USD
20160318 06:28:15 EST,paperUSD,9957.62425,22297.1427,0,-42.37575,USD
20160318 06:29:11 EST,paperUSD,9956.62425,50480.1427,0,-43.37575,USD
20160318 06:29:35 EST,paperUSD,9969.5542,75015.8707,0,-30.4458,USD
20160318 06:33:34 EST,paperUSD,9964.3042,94072.8707,0,-35.6958,USD
20160318 06:33:45 EST,paperUSD,9940.0358,118601.26025,0,-59.9642,USD
20160318 06:33:56 EST,paperUSD,9936.9358,143102.66025,0,-63.0642,USD
20160318 06:35:23 EST,paperUSD,9937.5758,167605.60025,0,-62.4242,USD
20160318 06:35:45 EST,paperUSD,9929.8558,195218.46025,0,-70.1442,USD
20160318 06:36:39 EST,paperUSD,9931.1058,214275.46025,0,-68.8942,USD
20160318 06:36:50 EST,paperUSD,9943.1058,242443.46025,0,-56.8942,USD
20160318 06:38:38 EST,paperUSD,9940.8858,270062.26025,0,-59.1142,USD
20160318 06:40:04 EST,paperUSD,9929.3858,298234.76025,0,-70.6142,USD
20160318 06:42:54 EST,paperUSD,9937.0658,325863.02025,0,-62.9342,USD
20160318 06:43:38 EST,paperUSD,9945.44085,350403.30315,0,-54.55915,USD
20160318 06:43:38 EST,paperUSD,9928.26085,374918.78315,0,-71.73915,USD
20160318 06:46:19 EST,paperUSD,9913.10225,399456.2825,0,-86.89775,USD
20160318 06:47:02 EST,paperUSD,9898.78225,427087.1825,0,-101.21775,USD
20160318 06:50:36 EST,paperUSD,9906.68225,454715.6625,0,-93.31775,USD
20160318 06:52:23 EST,paperUSD,9915.43225,482886.9125,0,-84.56775,USD
20160318 06:53:18 EST,paperUSD,9911.89225,510507.0325,0,-88.10775,USD
20160318 06:53:18 EST,paperUSD,9926.17225,535023.6125,0,-73.82775,USD
20160318 06:54:33 EST,paperUSD,9906.67225,563188.1125,0,-93.32775,USD
20160318 06:54:44 EST,paperUSD,9912.0107,587731.432,0,-87.9893,USD
20160318 06:59:10 EST,paperUSD,9891.285,612263.36425,0,-108.715,USD
20160318 06:59:21 EST,paperUSD,9894.785,639887.44425,0,-105.215,USD
20160318 07:00:37 EST,paperUSD,9902.785,668059.44425,0,-97.215,USD
20160318 07:02:15 EST,paperUSD,9927.6083,692583.2789,0,-72.3917,USD
20160318 07:03:09 EST,paperUSD,9912.1883,720215.2789,0,-87.8117,USD
20160318 07:04:24 EST,paperUSD,9924.1883,739289.5289,0,-75.8117,USD
20160318 07:04:46 EST,paperUSD,9918.6883,767468.0289,0,-81.3117,USD
20160318 07:05:40 EST,paperUSD,9901.9483,791983.0689,0,-98.0517,USD
20160318 07:06:23 EST,paperUSD,9909.6983,820155.3189,0,-90.3017,USD
20160318 07:07:49 EST,paperUSD,9895.4483,848325.0689,0,-104.5517,USD
20160318 07:08:11 EST,paperUSD,9860.29875,872842.5773,0,-139.70125,USD
20160318 07:10:09 EST,paperUSD,9895.24405,897356.28995,0,-104.75595,USD
20160318 07:10:21 EST,paperUSD,9903.58405,921866.92995,0,-96.41595,USD
