trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance
77.0,-49.1,20160322 13:31:45 EST,20160322 13:31:45 EST,20160322 13:31:45 EST,1.12189,,EURUSD,short,,20160322 13:11:15 EST,closed,20160322 12:58:50 EST,1.121028,,,5.0,5.0,,EURUSD,,-43.1,5.0,19391.0377798,6.0,117520.20116,19817.0377798
12.0,-88.4699,20160322 13:40:55 EST,20160322 13:40:55 EST,20160322 13:40:55 EST,1.09033,,EURCHF,short,,20160322 12:13:32 EST,closed,20160322 07:04:41 EST,1.08892,,,5.0,5.0,,EURCHF,,-80.4699,5.0,19311.6776798,8.0,59972.40246,19745.6776798
85.0,-12.888,20160322 13:44:04 EST,20160322 13:44:04 EST,20160322 13:44:04 EST,115.604,,CHFJPY,short,,20160322 13:30:56 EST,closed,20160322 13:30:56 EST,115.503,,,1.0,1.0,,CHFJPY,,-8.888,1.0,19298.7896798,4.0,14963.95316,19736.7896798
82.0,25.48,20160322 13:44:31 EST,20160322 13:44:31 EST,20160322 13:44:31 EST,75.75,,NZDJPY,long,,20160322 13:27:46 EST,closed,20160322 13:27:46 EST,75.683,,,5.0,5.0,,NZDJPY,,29.48,-5.0,19324.2696798,4.0,38120.80116,19766.2696798
83.0,21.08,20160322 13:45:21 EST,20160322 13:45:21 EST,20160322 13:45:21 EST,85.546,,AUDJPY,long,,20160322 13:29:40 EST,closed,20160322 13:29:40 EST,85.489,,,5.0,5.0,,AUDJPY,,25.08,-5.0,19347.3496798,4.0,75761.04116,19791.3496798
84.0,-13.152,20160322 13:46:59 EST,20160322 13:46:59 EST,20160322 13:46:59 EST,86.071,,CADJPY,short,,20160322 13:30:06 EST,closed,20160322 13:30:06 EST,85.967,,,1.0,1.0,,CADJPY,,-9.152,1.0,19336.1976798,4.0,83335.28916,19782.1976798
86.0,-11.2,20160322 13:54:09 EST,20160322 13:54:09 EST,20160322 13:54:09 EST,1.12117,,EURUSD,long,,20160322 13:31:45 EST,closed,20160322 13:31:45 EST,1.12189,,,1.0,1.0,,EURUSD,,-7.2,-1.0,19339.1576798,4.0,125005.38916,19789.1576798
72.0,215.56,20160322 13:54:23 EST,20160322 13:54:23 EST,20160322 13:54:23 EST,112.4,,USDJPY,long,,20160322 12:27:40 EST,closed,20160322 12:27:40 EST,111.901,,,5.0,5.0,,USDJPY,,219.56,-5.0,19554.7176798,4.0,163249.68916,20008.7176798
89.0,-5.584,20160322 13:56:15 EST,20160322 13:56:15 EST,20160322 13:56:15 EST,115.586,,CHFJPY,long,,20160322 13:44:04 EST,closed,20160322 13:44:04 EST,115.604,,,1.0,1.0,,CHFJPY,,-1.584,-1.0,19551.1336798,4.0,173421.25716,20007.1336798
87.0,-20.5,20160322 14:04:40 EST,20160322 14:04:40 EST,20160322 14:04:40 EST,1.42098,,GBPUSD,short,,20160322 13:32:51 EST,closed,20160322 13:32:51 EST,1.42065,,,5.0,5.0,,GBPUSD,,-16.5,5.0,19528.6336798,4.0,203834.22516,19990.6336798
90.0,-4.5,20160322 14:11:47 EST,20160322 14:11:47 EST,20160322 14:11:47 EST,1.12122,,EURUSD,short,,20160322 13:54:09 EST,closed,20160322 13:54:09 EST,1.12117,,,1.0,1.0,,EURUSD,,-0.500000000001,1.0,19522.1336798,4.0,177204.13716,19990.1336798
94.0,29.2,20160322 14:23:24 EST,20160322 14:23:24 EST,20160322 14:23:24 EST,1.41967,,GBPUSD,short,,20160322 14:12:12 EST,closed,20160322 14:12:12 EST,1.4205,,,4.0,4.0,,GBPUSD,,33.2,4.0,19567.5896798,4.0,101559.29992,20051.5896798
74.0,45.41976,20160322 14:34:09 EST,20160322 14:34:09 EST,20160322 14:34:09 EST,0.97351,,USDCHF,long,,20160322 14:22:08 EST,closed,20160322 12:52:33 EST,0.972494,,,5.0,5.0,,USDCHF,,51.41976,-5.0,19615.0094398,6.0,79823.64102,20103.0094398
88.0,46.61,20160322 14:55:59 EST,20160322 14:55:59 EST,20160322 14:55:59 EST,1.09133,,EURCHF,long,,20160322 13:40:55 EST,closed,20160322 13:40:55 EST,1.09033,,,5.0,5.0,,EURCHF,,50.61,-5.0,19658.2885398,4.0,98331.49674,20158.2885398
71.0,3.474,20160322 15:01:41 EST,20160322 15:01:41 EST,20160322 15:01:41 EST,1.3044,,USDCAD,short,,20160322 12:27:14 EST,closed,20160322 12:27:14 EST,1.3054,,,1.0,1.0,,USDCAD,,7.474,1.0,19659.7625398,4.0,22527.09104,20165.7625398
97.0,14.7745,20160322 15:14:20 EST,20160322 15:14:20 EST,20160322 15:14:20 EST,0.97306,,USDCHF,short,,20160322 15:03:20 EST,closed,20160322 14:34:09 EST,0.97344,,,5.0,5.0,,USDCHF,,22.7745,5.0,19662.5175398,8.0,75824.86252,20178.5175398
78.0,3.4,20160322 15:20:21 EST,20160322 15:20:21 EST,20160322 15:20:21 EST,0.761474,,AUDUSD,short,,20160322 14:21:16 EST,closed,20160322 12:59:39 EST,0.76149816,,,5.0,5.0,,AUDUSD,,21.4,1.0,19656.5991398,18.0,19044.17192,20178.5991398
96.0,-28.0,20160322 15:25:09 EST,20160322 15:25:09 EST,20160322 15:25:09 EST,1.42058,,GBPUSD,short,,20160322 14:29:33 EST,closed,20160322 14:29:33 EST,1.4201,,,5.0,5.0,,GBPUSD,,-24.0,5.0,19616.0807398,4.0,80101.36792,20146.0807398
101.0,-21.79032,20160322 15:36:49 EST,20160322 15:36:49 EST,20160322 15:36:49 EST,0.972748,,USDCHF,long,,20160322 15:14:20 EST,closed,20160322 15:14:20 EST,0.97306,,,5.0,5.0,,USDCHF,,-15.79032,-1.0,19588.8733398,6.0,102322.41154,20128.8733398
102.0,5.1,20160322 15:48:42 EST,20160322 15:48:42 EST,20160322 15:48:42 EST,0.76212,,AUDUSD,long,,20160322 15:34:28 EST,closed,20160322 15:20:21 EST,0.761898,,,5.0,5.0,,AUDUSD,,11.1,-5.0,19601.1974198,6.0,82283.19102,20151.1974198
92.0,-14.576,20160322 15:51:21 EST,20160322 15:51:21 EST,20160322 15:51:21 EST,85.6034,,AUDJPY,long,,20160322 14:48:27 EST,closed,20160322 14:07:17 EST,85.6138,,,5.0,5.0,,AUDJPY,,-4.576,-4.0,19574.7398198,10.0,157303.19102,20128.7398198
93.0,14.448,20160322 15:59:50 EST,20160322 15:59:50 EST,20160322 15:59:50 EST,86.15275,,CADJPY,long,,20160322 15:29:23 EST,closed,20160322 14:09:43 EST,86.09735,,,4.0,4.0,,CADJPY,,30.448,-1.0,19577.3970198,16.0,126775.41502,20135.3970198
99.0,-3.02838,20160322 16:27:25 EST,20160322 16:27:25 EST,20160322 16:27:25 EST,1.30453,,USDCAD,long,,20160322 15:01:41 EST,closed,20160322 15:01:41 EST,1.3044,,,1.0,1.0,,USDCAD,,0.97162,-1.0,19566.3686398,4.0,278.25536,20136.3686398
51.0,-117.648,20160322 16:29:44 EST,20160322 16:29:44 EST,20160322 16:29:44 EST,159.067333333,,GBPJPY,short,,20160322 10:09:49 EST,closed,20160322 09:44:45 EST,158.652,,,3.0,3.0,,GBPJPY,,-109.648,1.0,19477.5366398,8.0,-34425.82274,20051.5366398
104.0,-20.6525,20160322 16:39:01 EST,20160322 16:39:01 EST,20160322 16:39:01 EST,0.97279,,USDCHF,short,,20160322 16:02:24 EST,closed,20160322 15:36:49 EST,0.972572,,,5.0,5.0,,USDCHF,,-12.6525,5.0,19460.5036598,8.0,-14382.52084,20040.5036598
95.0,-30.8,20160322 16:40:19 EST,20160322 16:40:19 EST,20160322 16:40:19 EST,1.12178,,EURUSD,short,,20160322 16:15:10 EST,closed,20160322 14:21:03 EST,1.121852,,,5.0,5.0,,EURUSD,,-22.8,5.0,19460.1036598,8.0,-7526.42274,20044.1036598
111.0,-8.0488,20160322 16:49:17 EST,20160322 16:49:17 EST,20160322 16:49:17 EST,0.97271,,USDCHF,long,,20160322 16:39:01 EST,closed,20160322 16:39:01 EST,0.97279,,,5.0,5.0,,USDCHF,,-4.0488,-5.0,19450.0548598,4.0,-70603.12164,20040.0548598
110.0,-47.36,20160322 17:15:08 EST,20160322 17:15:08 EST,20160322 17:15:08 EST,159.61,,GBPJPY,long,,20160322 16:44:57 EST,closed,20160322 16:29:44 EST,159.704,,,5.0,5.0,,GBPJPY,,-41.36,-5.0,19420.3348331,6.0,34690.0275,20020.3348331
98.0,-5.39268,20160322 17:15:08 EST,20160322 17:15:08 EST,20160322 17:15:08 EST,1.091318,,EURCHF,short,,20160322 14:55:59 EST,closed,20160322 14:55:59 EST,1.09133,,,5.0,5.0,,EURCHF,,0.607319999995,4.0,19420.3592331,6.0,78873.77214,20022.3592331
106.0,-10.0,20160322 17:17:00 EST,20160322 17:17:00 EST,20160322 17:17:00 EST,0.7621,,AUDUSD,long,,20160322 15:57:17 EST,closed,20160322 15:57:17 EST,0.76222,,,5.0,5.0,,AUDUSD,,-6.0,-5.0,19412.3592331,4.0,116978.77214,20016.3592331
105.0,-16.0,20160322 17:19:28 EST,20160322 17:19:28 EST,20160322 17:19:28 EST,1.42109,,GBPUSD,short,,20160322 15:40:26 EST,closed,20160322 15:40:26 EST,1.42085,,,5.0,5.0,,GBPUSD,,-12.0,5.0,19396.3592331,4.0,117782.43214,20004.3592331
108.0,-0.0799999911993,20160322 17:23:02 EST,20160322 17:23:02 EST,20160322 17:23:02 EST,86.0943333333,,CADJPY,long,,20160322 16:31:25 EST,closed,20160322 16:13:29 EST,86.0643333333,,,3.0,3.0,,CADJPY,,7.9200000088,-1.0,19393.5378998,8.0,125355.27214,20003.5378998
91.0,-12.272,20160322 17:57:09 EST,20160322 17:57:09 EST,20160322 17:57:09 EST,115.47,,CHFJPY,long,,20160322 14:03:00 EST,closed,20160322 14:03:00 EST,115.564,,,1.0,1.0,,CHFJPY,,-8.272,-1.0,19341.3578998,4.0,33136.00814,19969.3578998
114.0,-51.472,20160322 17:59:40 EST,20160322 17:59:40 EST,20160322 17:59:40 EST,159.683,,GBPJPY,long,,20160322 17:42:44 EST,closed,20160322 17:18:51 EST,159.7266,,,5.0,5.0,,GBPJPY,,-43.472,-5.0,19298.3858998,8.0,123652.52814,19930.3858998
112.0,-2.5,20160322 18:06:14 EST,20160322 18:06:14 EST,20160322 18:06:14 EST,1.12161,,EURUSD,short,,20160322 16:48:51 EST,closed,20160322 16:48:51 EST,1.12164,,,5.0,5.0,,EURUSD,,1.5,5.0,19297.8858998,4.0,179733.02814,19931.8858998
115.0,6.848,20160322 18:07:04 EST,20160322 18:07:04 EST,20160322 18:07:04 EST,86.1446666667,,CADJPY,long,,20160322 17:32:04 EST,closed,20160322 17:32:04 EST,86.096,,,3.0,3.0,,CADJPY,,12.848,-1.0,19297.7578998,6.0,131232.84814,19935.7578998
117.0,-14.0,20160322 18:10:02 EST,20160322 18:10:02 EST,20160322 18:10:02 EST,0.7619,,AUDUSD,short,,20160322 17:55:55 EST,closed,20160322 17:55:55 EST,0.76165,,,4.0,4.0,,AUDUSD,,-10.0,4.0,19285.7578998,4.0,161708.84814,19925.7578998
36.0,-119.5,20160322 18:15:27 EST,20160322 18:15:27 EST,20160322 18:15:27 EST,0.67518,,NZDUSD,short,,20160322 16:02:37 EST,closed,20160322 08:30:49 EST,0.6745404,,,5.0,5.0,,NZDUSD,,-101.5,1.0,19278.1618998,18.0,79534.68814,19924.1618998
119.0,-9.5,20160322 18:23:28 EST,20160322 18:23:28 EST,20160322 18:23:28 EST,0.76179,,AUDUSD,long,,20160322 18:10:02 EST,closed,20160322 18:10:02 EST,0.7619,,,5.0,5.0,,AUDUSD,,-5.5,-5.0,19266.6618998,4.0,27112.10814,19918.6618998
107.0,3.592,20160322 18:28:52 EST,20160322 18:28:52 EST,20160322 18:28:52 EST,85.6178,,AUDJPY,long,,20160322 16:11:51 EST,closed,20160322 16:11:51 EST,85.596,,,5.0,5.0,,AUDJPY,,9.592,-1.0,19260.0458998,6.0,-10006.03986,19918.0458998
103.0,1.104,20160322 18:32:24 EST,20160322 18:32:24 EST,20160322 18:32:24 EST,112.358,,USDJPY,long,,20160322 15:21:10 EST,closed,20160322 15:21:10 EST,112.3,,,1.0,1.0,,USDJPY,,5.104,-1.0,19259.1498998,4.0,-62868.91446,19923.1498998
121.0,-9.3,20160322 18:34:31 EST,20160322 18:34:31 EST,20160322 18:34:31 EST,0.67463,,NZDUSD,long,,20160322 18:23:41 EST,closed,20160322 18:15:27 EST,0.6747125,,,4.0,4.0,,NZDUSD,,-3.3,-4.0,19253.8498998,6.0,-35883.71446,19919.8498998
113.0,-4.5061,20160322 18:40:44 EST,20160322 18:40:44 EST,20160322 18:40:44 EST,0.97272,,USDCHF,short,,20160322 16:49:17 EST,closed,20160322 16:49:17 EST,0.97271,,,5.0,5.0,,USDCHF,,-0.506099999998,5.0,19247.3437998,4.0,-50860.25526,19919.3437998
118.0,1.99999999999,20160322 18:48:36 EST,20160322 18:48:36 EST,20160322 18:48:36 EST,1.12173,,EURUSD,long,,20160322 18:06:14 EST,closed,20160322 18:06:14 EST,1.12161,,,5.0,5.0,,EURUSD,,5.99999999999,-5.0,19244.3317998,4.0,19547.42874,19922.3317998
127.0,-17.2,20160322 18:48:49 EST,20160322 18:48:49 EST,20160322 18:48:49 EST,0.76153,,AUDUSD,long,,20160322 18:36:26 EST,closed,20160322 18:36:26 EST,0.76186,,,4.0,4.0,,AUDUSD,,-13.2,-4.0,19227.1317998,4.0,-6077.87126,19909.1317998
116.0,-39.5,20160322 18:49:03 EST,20160322 18:49:03 EST,20160322 18:49:03 EST,1.42167,,GBPUSD,short,,20160322 17:49:32 EST,closed,20160322 17:32:43 EST,1.421,,,5.0,5.0,,GBPUSD,,-33.5,5.0,19189.6317998,6.0,26929.12874,19875.6317998
126.0,0.1,20160322 18:54:52 EST,20160322 18:54:52 EST,20160322 18:54:52 EST,0.674508,,NZDUSD,short,,20160322 18:34:31 EST,closed,20160322 18:34:31 EST,0.67463,,,5.0,5.0,,NZDUSD,,6.1,4.0,19190.4317998,6.0,-17173.97126,19880.4317998
131.0,4.0,20160322 19:03:52 EST,20160322 19:03:52 EST,20160322 19:03:52 EST,0.67467,,NZDUSD,long,,20160322 18:54:52 EST,closed,20160322 18:54:52 EST,0.67451,,,5.0,5.0,,NZDUSD,,8.0,-5.0,19173.4237998,4.0,5556.50874,19869.4237998
130.0,-8.5,20160322 19:04:04 EST,20160322 19:04:04 EST,20160322 19:04:04 EST,1.42158,,GBPUSD,long,,20160322 18:49:03 EST,closed,20160322 18:49:03 EST,1.42167,,,5.0,5.0,,GBPUSD,,-4.5,-5.0,19164.9237998,4.0,42902.00874,19864.9237998
122.0,-49.32,20160322 19:06:13 EST,20160322 19:06:13 EST,20160322 19:06:13 EST,159.604,,GBPJPY,long,,20160322 18:17:08 EST,closed,20160322 18:17:08 EST,159.707,,,5.0,5.0,,GBPJPY,,-45.32,-5.0,19115.6037998,4.0,42048.76874,19819.6037998
