symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
GBPUSD,open,long,1.0,0.0,1.42349,0.0,-2.0,0.0,2.0,6081.0,,,,,GBPUSD,,20160329 01:14:17 EST,20160329 01:14:17 EST,1.0,-19312.2419606,287820.31993,7233.75803928
NZDUSD,open,long,1.0,0.0,0.6859,0.0,-2.0,0.0,2.0,6171.0,,,,,NZDUSD,,20160329 14:44:54 EST,20160329 14:44:54 EST,1.0,-19581.2721606,290881.29724,7328.72783928
AUDUSD,open,long,1.0,0.0,0.76367,0.0,-2.0,0.0,2.0,6177.0,,,,,AUDUSD,,20160329 15:03:19 EST,20160329 15:03:19 EST,1.0,-19586.2681606,300741.03724,7349.73183928
NZDJPY,open,long,1.0,0.0,77.211,0.0,-2.0,0.0,2.0,6191.0,,,,,NZDJPY,,20160329 16:47:16 EST,20160329 16:47:16 EST,1.0,-19703.1686106,304040.32737,7288.83138928
CADJPY,open,long,1.0,0.0,86.273,0.0,-2.0,0.0,2.0,6194.0,,,,,CADJPY,,20160329 16:53:35 EST,20160329 16:53:35 EST,1.0,-19694.3366106,294844.83877,7307.66338928
EURUSD,open,long,1.0,0.0,1.12859,0.0,-2.0,0.0,2.0,6204.0,,,,,EURUSD,,20160329 17:35:47 EST,20160329 17:35:47 EST,1.0,-19761.7800306,262252.60149,7274.21996928
CHFJPY,open,long,1.0,0.0,116.622,0.0,-2.0,0.0,2.0,6206.0,,,,,CHFJPY,,20160329 17:46:25 EST,20160329 17:46:25 EST,1.0,-19770.1757206,272931.5061,7275.82427928
USDCHF,open,long,1.0,0.0,0.96693,0.0,-2.0,0.0,2.0,6211.0,,,,,USDCHF,,20160329 18:04:30 EST,20160329 18:04:30 EST,1.0,-19795.9014606,271320.6572,7270.09853928
EURJPY,open,long,1.0,0.0,127.309,0.0,-2.0,0.0,2.0,6217.0,,,,,EURJPY,,20160329 18:27:48 EST,20160329 18:27:48 EST,1.0,-19785.9965206,251122.69936,7300.00347928
GBPJPY,open,long,1.0,0.0,162.26,0.0,-2.0,0.0,2.0,6221.0,,,,,GBPJPY,,20160329 18:38:36 EST,20160329 18:38:36 EST,1.0,-19806.7088306,259113.97153,7297.29116928
AUDJPY,open,short,1.0,0.0,86.055,0.0,-2.0,0.0,2.0,6222.0,,,,,AUDJPY,,20160329 18:39:26 EST,20160329 18:39:26 EST,-1.0,-19814.7022506,276867.36477,7295.29774928
EURCHF,open,long,1.0,0.0,1.09137,0.0,-2.0,0.0,2.0,6223.0,,,,,EURCHF,,20160329 18:40:36 EST,20160329 18:40:36 EST,1.0,-19816.7022506,262346.51049,7295.29774928
