symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURCAD,EUR,,-20000.0,-20000.0,1.42707,1.42707,-22499.18562,2.0,-272.3869,-2.0,0.0,Paper,CAD,-270.3869
GBPAUD,GBP,,-20000.0,-20000.0,1.92226,1.92226,0.0,2.0,-232.0613,716.8896,720.8896,Paper,AUD,-230.0613
NZDCHF,NZD,,20000.0,20000.0,0.67089,0.67089,0.0,2.0,-86.73934,-28.21124,-24.21124,Paper,CHF,-84.73934
NZDCAD,NZD,,20000.0,20000.0,0.87787,0.87787,0.0,2.0,-49.92864,-107.89794,-103.89794,Paper,CAD,-47.92864
EURNZD,EUR,,-20000.0,-20000.0,1.63996,1.63996,0.0,2.0,-150.96328,22.93432,26.93432,Paper,NZD,-148.96328
AUDCAD,AUD,,20000.0,20000.0,0.96061,0.96061,0.0,2.0,-199.23266,-446.6597,-440.6597,Paper,CAD,-197.23266
AUDCHF,AUD,,20000.0,20000.0,0.73241,0.73241,0.0,2.0,-202.25568,399.99942,403.99942,Paper,CHF,-200.25568
GBPCAD,GBP,,20000.0,20000.0,1.83735,1.83735,0.0,2.0,-15.4011,28.05456,34.05456,Paper,CAD,-13.4011
EURAUD,EUR,,-20000.0,-20000.0,1.50369,1.50369,0.0,2.0,-303.1936,691.1215,695.1215,Paper,AUD,-301.1936
AUDNZD,AUD,,-20000.0,-20000.0,1.08319,1.08319,0.0,2.0,-11.6194,-581.59108,-573.59108,Paper,NZD,-9.6194
GBPNZD,GBP,,-20000.0,-20000.0,2.09871,2.09871,0.0,2.0,-14.3678,90.66756,98.66756,Paper,NZD,-12.3678
CADCHF,CAD,,-20000.0,-20000.0,0.7622,0.7622,0.0,2.0,-3.64144,-138.3929,-134.3929,Paper,CHF,-1.64144
