symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
GBPUSD,open,short,15000.0,0.0,1.42461076142,,176.3385783,292.3385783,116.0,728.0,,,,,GBPUSD,,20160328  21:50:08,20160321  17:15:01,-10000.0,USD,127.8885787,129.8885787,10208.9662426,-339444.55847,16718.9128956
NZDJPY,open,short,30000.0,0.0,76.5383333333,,-4.0,0.0,4.0,892.0,,,,,NZDJPY,,20160328  22:21:44,20160328  21:50:43,-20000.0,JPY,256.764000009,258.764000009,10108.0010825,-305623.09332,16649.9477355
USDJPY,open,short,90000.0,10000.0,113.189892171,112.415,-1095.48408706,-989.484087072,106.0,708.0,20160330  02:29:25,20160330  02:29:25,20160330  02:29:25,,USDJPY,,20160330  02:00:27,20160321  12:44:27,10000.0,JPY,-642.212088384,-640.212088384,10334.2719565,-312108.85532,16936.2186095
AUDUSD,open,long,20000.0,0.0,0.764634722222,,170.89444445,188.89444445,18.0,887.0,,,,,AUDUSD,,20160330  04:09:07,20160328  17:55:00,10000.0,USD,14.30555556,16.30555556,10407.7859021,-357026.78897,17055.7325551
USDCAD,open,long,105204.0,10000.0,1.3176283455,1.30375,-475.909158837,-121.909158827,354.0,263.0,20160330  04:48:51,20160330  04:48:51,20160330  04:48:51,,USDCAD,,20160330  04:09:13,20160315  21:47:41,-10000.0,CAD,-1034.34813717,-1032.34813717,10391.9228585,-385422.75067,17057.8695115
EURCHF,open,short,70000.0,20000.0,1.09115563361,1.09138,-291.234836293,-195.234836293,96.0,725.0,20160330  05:10:14,20160330  05:10:14,20160330  05:10:14,,EURCHF,,20160330  03:49:56,20160321  16:43:10,20000.0,CHF,74.1359829979,76.1359829979,10331.2714003,-340650.85325,17005.2180533
USDCHF,open,short,165000.0,0.0,0.972530631877,,-535.654741463,290.345258547,826.0,148.0,,,,,USDCHF,,20160330  05:50:17,20160314  16:47:52,-10000.0,CHF,-1980.74840605,-1977.53945167,10939.7513932,-354326.85485,17629.6980462
EURJPY,open,long,15000.0,0.0,127.098419753,,-14.99259256,7.00740744,22.0,889.0,,,,,EURJPY,,20160330  06:00:01,20160328  19:59:38,10000.0,JPY,77.936592604,79.936592604,10937.7513932,-365513.41485,17629.6980462
NZDUSD,open,long,80000.0,0.0,0.679336079001,,214.5863202,334.5863202,120.0,730.0,,,,,NZDUSD,,20160330  06:59:58,20160321  17:22:59,10000.0,USD,883.11367992,885.11367992,10857.6032942,-373078.47985,17561.5499472
GBPJPY,open,short,127000.0,10000.0,161.453831129,161.74,-704.176534528,-566.176534528,138.0,720.0,20160330  07:28:46,20160330  07:28:46,20160330  07:28:46,,GBPJPY,,20160330  07:19:12,20160321  15:33:19,10000.0,JPY,-541.62082157,-538.306930418,10825.1004336,-377041.55985,17535.0470866
EURUSD,open,long,33000.0,20000.0,1.12896898992,1.133,93.6468691,195.6468691,102.0,842.0,20160330  07:49:45,20160330  07:49:45,20160330  07:49:45,,EURUSD,,20160330  03:08:40,20160325  16:10:40,-20000.0,USD,107.01813104,109.01813104,10903.7206352,-354381.55985,17615.6672882
EURGBP,open,short,30000.0,10000.0,0.786101112076,0.7859,160.744778307,262.744778307,102.0,792.0,20160330  07:50:02,20160330  07:50:02,20160330  07:50:02,,EURGBP,,20160330  06:00:33,20160325  09:35:13,10000.0,GBP,207.427878336,209.427878336,10904.557321,-343296.44035,17618.503974
AUDJPY,open,long,20000.0,0.0,86.0775,,26.08,36.08,10.0,896.0,,,,,AUDJPY,,20160330  07:50:16,20160330  02:39:15,10000.0,JPY,-25.496,-23.496,10902.557321,-350880.72035,17618.503974
CADJPY,open,short,759728.0,0.0,86.1563458605,,-354.659215542,-243.441861794,111.217353748,703.0,,,,,CADJPY,,20160401  00:22:57,20160321  12:03:31,-739728.0,JPY,29.6231831989,41.1441544277,10891.3399673,-911748.407774,17618.503974
