permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
26,Paper,Paper,22.6506,USD,IDEALPRO,26.0,,,1.0,1.13253,2000000.0,-1000000.0,-1062.6506,SLD,EUR,USD,20160330 11:58:17 EST,,-1040.0,20034.9282994,-14571578.338,1.13253,20579.84,-1062.6506
27,Paper,Paper,19.50590376,USD,IDEALPRO,27.0,,,1.0,0.96354,2000000.0,1000000.0,1144.52409624,BOT,USD,CHF,20160330 12:30:46 EST,,1164.03,21179.4523956,-14571578.338,0.96354,21743.87,1144.52409624
28,Paper,Paper,22.2111435,USD,IDEALPRO,28.0,,,1.0,0.78735,2000000.0,-1000000.0,1515.2338565,SLD,EUR,GBP,20160330 12:33:50 EST,,1537.445,22694.6862521,-14571578.338,0.78735,23281.315,1515.2338565
29,Paper,Paper,22.659,USD,IDEALPRO,29.0,,,1.0,1.13295,2000000.0,1000000.0,-442.659,BOT,EUR,USD,20160330 12:43:04 EST,,-420.0,22252.0272521,-14571578.338,1.13295,22861.315,-442.659
30,Paper,Paper,28.49,USD,IDEALPRO,30.0,,,1.0,161.875,2000000.0,-1000000.0,-3812.49,SLD,GBP,JPY,20160330 12:50:13 EST,,-3784.0,18439.5372521,-14571578.338,161.875,19077.315,-3812.49
31,Paper,Paper,22.0943016,USD,IDEALPRO,31.0,,,1.0,1.0914,2000000.0,1000000.0,1010.3496984,BOT,EUR,CHF,20160330 12:53:18 EST,,1032.444,19449.8869505,-14571578.338,1.0914,20109.759,1010.3496984
32,Paper,Paper,19.50549888,USD,IDEALPRO,32.0,,,1.0,0.96352,2000000.0,-1000000.0,-39.7494988799,SLD,USD,CHF,20160330 13:09:17 EST,,-20.2439999999,19410.1374516,-14571578.338,0.96352,20089.515,-39.7494988799
33,Paper,Paper,22.226659,USD,IDEALPRO,33.0,,,1.0,0.7879,2000000.0,1000000.0,-798.001659,BOT,EUR,GBP,20160330 13:20:31 EST,,-775.775,18612.1357926,-14571578.338,0.7879,19313.74,-798.001659
34,Paper,Paper,22.2269411,USD,IDEALPRO,34.0,,,1.0,0.78791,2000000.0,-1000000.0,-8.12194110006,SLD,EUR,GBP,20160330 13:34:26 EST,,14.1049999999,18604.0138515,-14571578.338,0.78791,19327.845,-8.12194110006
35,Paper,Paper,22.636,USD,IDEALPRO,35.0,,,1.0,1.1318,2000000.0,-1000000.0,-1172.636,SLD,EUR,USD,20160330 13:36:29 EST,,-1150.0,17431.3778515,-14571578.338,1.1318,18177.845,-1172.636
36,Paper,Paper,28.468352,USD,IDEALPRO,36.0,,,1.0,161.752,2000000.0,1000000.0,1053.931648,BOT,GBP,JPY,20160330 13:40:06 EST,,1082.4,18485.3094995,-14571578.338,161.752,19260.245,1053.931648
37,Paper,Paper,22.2224275,USD,IDEALPRO,37.0,,,1.0,0.78775,2000000.0,1000000.0,203.4575725,BOT,EUR,GBP,20160330 13:59:45 EST,,225.68,18688.767072,-14571578.338,0.78775,19485.925,203.4575725
38,Paper,Paper,22.6406,USD,IDEALPRO,38.0,,,1.0,1.13203,2000000.0,1000000.0,-252.6406,BOT,EUR,USD,20160330 14:07:56 EST,,-230.0,18436.126472,-14571578.338,1.13203,19255.925,-252.6406
39,Paper,Paper,22.10320896,USD,IDEALPRO,39.0,,,1.0,1.09184,2000000.0,-1000000.0,423.26479104,SLD,EUR,CHF,20160330 14:25:36 EST,,445.368,18859.391263,-14571578.338,1.09184,19701.293,423.26479104
40,Paper,Paper,22.2252485,USD,IDEALPRO,40.0,,,1.0,0.78785,2000000.0,-1000000.0,118.8247515,SLD,EUR,GBP,20160330 14:30:46 EST,,141.05,18978.2160145,-14571578.338,0.78785,19842.343,118.8247515
41,Paper,Paper,15.17296,USD,IDEALPRO,41.0,,,1.0,86.21,2000000.0,-1000000.0,-1484.77296,SLD,AUD,JPY,20160330 14:37:58 EST,,-1469.6,17493.4430545,-14571578.338,86.21,18372.743,-1484.77296
42,Paper,Paper,28.453392,USD,IDEALPRO,42.0,,,1.0,161.667,2000000.0,-1000000.0,-776.453392,SLD,GBP,JPY,20160330 14:44:39 EST,,-748.0,16716.9896625,-14571578.338,161.667,17624.743,-776.453392
43,Paper,Paper,15.261136,USD,IDEALPRO,43.0,,,1.0,86.711,2000000.0,-1000000.0,530.338864,SLD,CAD,JPY,20160330 14:45:10 EST,,545.6,17247.3285265,-14571578.338,86.711,18170.343,530.338864
44,Paper,Paper,22.6604,USD,IDEALPRO,44.0,,,1.0,1.13302,2000000.0,-1000000.0,967.3396,SLD,EUR,USD,20160330 15:05:20 EST,,990.0,18214.6681265,-14571578.338,1.13302,19160.343,967.3396
45,Paper,Paper,28.45744,USD,IDEALPRO,45.0,,,1.0,161.69,2000000.0,1000000.0,-230.85744,BOT,GBP,JPY,20160330 15:10:13 EST,,-202.4,17983.8106865,-14571578.338,161.69,18957.943,-230.85744
46,Paper,Paper,19.792432,USD,IDEALPRO,46.0,,,1.0,112.457,2000000.0,1000000.0,1731.407568,BOT,USD,JPY,20160330 15:14:53 EST,,1751.2,19715.2182545,-14571578.338,112.457,20709.143,1731.407568
47,Paper,Paper,19.785744,USD,IDEALPRO,47.0,,,1.0,112.419,2000000.0,-1000000.0,-354.185744,SLD,USD,JPY,20160330 15:39:01 EST,,-334.4,19361.0325105,-14571578.338,112.419,20374.743,-354.185744
48,Paper,Paper,22.2368146,USD,IDEALPRO,48.0,,,1.0,0.78826,2000000.0,1000000.0,-600.5418146,BOT,EUR,GBP,20160330 15:43:08 EST,,-578.305,18760.4906959,-14571578.338,0.78826,19796.438,-600.5418146
49,Paper,Paper,22.2354041,USD,IDEALPRO,49.0,,,1.0,0.78821,2000000.0,-1000000.0,-92.7604041001,SLD,EUR,GBP,20160330 15:55:59 EST,,-70.5250000001,18667.7302918,-14571578.338,0.78821,19725.913,-92.7604041001
50,Paper,Paper,22.13053836,USD,IDEALPRO,50.0,,,1.0,1.09319,2000000.0,1000000.0,-1388.60053836,BOT,EUR,CHF,20160330 15:59:03 EST,,-1366.47,17279.1297534,-14571578.338,1.09319,18359.443,-1388.60053836
51,Paper,Paper,15.17648,USD,IDEALPRO,51.0,,,1.0,86.23,2000000.0,1000000.0,-191.17648,BOT,AUD,JPY,20160330 16:06:47 EST,,-176.0,17087.9532734,-14571578.338,86.23,18183.443,-191.17648
52,Paper,Paper,19.79032,USD,IDEALPRO,52.0,,,1.0,112.445,2000000.0,1000000.0,-248.59032,BOT,USD,JPY,20160330 16:18:01 EST,,-228.8,16839.3629534,-14571578.338,112.445,17954.643,-248.59032
53,Paper,Paper,15.17824,USD,IDEALPRO,53.0,,,1.0,86.24,2000000.0,-1000000.0,72.8217599999,SLD,AUD,JPY,20160330 16:34:57 EST,,87.9999999999,16912.1847134,-14571578.338,86.24,18042.643,72.8217599999
54,Paper,Paper,22.14470916,USD,IDEALPRO,54.0,,,1.0,1.09389,2000000.0,-1000000.0,686.39529084,SLD,EUR,CHF,20160330 16:35:28 EST,,708.54,17598.5800042,-14571578.338,1.09389,18751.183,686.39529084
55,Paper,Paper,15.3458,USD,IDEALPRO,55.0,,,1.0,0.76729,2000000.0,-1000000.0,-295.3458,SLD,AUD,USD,20160330 16:43:06 EST,,-280.0,17303.2342042,-14571578.338,0.76729,18471.183,-295.3458
56,Paper,Paper,15.276976,USD,IDEALPRO,56.0,,,1.0,86.801,2000000.0,1000000.0,-807.276976,BOT,CAD,JPY,20160330 17:15:10 EST,,-792.0,16495.9572282,-14571578.338,86.801,17679.183,-807.276976
57,Paper,Paper,15.180176,USD,IDEALPRO,57.0,,,1.0,86.251,2000000.0,1000000.0,-111.980176,BOT,AUD,JPY,20160330 17:15:11 EST,,-96.8000000001,16383.9770522,-14571578.338,86.251,17582.383,-111.980176
58,Paper,Paper,22.14329208,USD,IDEALPRO,58.0,,,1.0,1.09382,2000000.0,1000000.0,48.71070792,BOT,EUR,CHF,20160330 17:26:06 EST,,70.854,16432.6877601,-14571578.338,1.09382,17653.237,48.71070792
59,Paper,Paper,19.786624,USD,IDEALPRO,59.0,,,1.0,112.424,2000000.0,-1000000.0,-204.586624,SLD,USD,JPY,20160330 17:27:44 EST,,-184.8,16228.1011361,-14571578.338,112.424,17468.437,-204.586624
60,Paper,Paper,22.2396356,USD,IDEALPRO,60.0,,,1.0,0.78836,2000000.0,1000000.0,-233.8146356,BOT,EUR,GBP,20160330 18:03:41 EST,,-211.575,15994.2865005,-14571578.338,0.78836,17256.862,-233.8146356
61,Paper,Paper,19.54112832,USD,IDEALPRO,61.0,,,1.0,0.96528,2000000.0,1000000.0,-1801.01312832,BOT,USD,CHF,20160330 18:59:21 EST,,-1781.472,14193.2733722,-14571578.338,0.96528,15475.39,-1801.01312832
62,Paper,Paper,19.53606732,USD,IDEALPRO,62.0,,,1.0,0.96503,2000000.0,-1000000.0,-272.58606732,SLD,USD,CHF,20160330 19:07:45 EST,,-253.05,13920.6873049,-14571578.338,0.96503,15222.34,-272.58606732
63,Paper,Paper,22.2396356,USD,IDEALPRO,63.0,,,1.0,0.78836,2000000.0,-1000000.0,-22.2396356002,SLD,EUR,GBP,20160330 19:07:46 EST,,-1.56596957623e-10,13898.4476693,-14571578.338,0.78836,15222.34,-22.2396356002
64,Paper,Paper,22.2449955,USD,IDEALPRO,64.0,,,1.0,0.78855,2000000.0,1000000.0,-290.2399955,BOT,EUR,GBP,20160330 19:33:26 EST,,-267.995,13608.2076738,-14571578.338,0.78855,14954.345,-290.2399955
65,Paper,Paper,22.6756,USD,IDEALPRO,65.0,,,1.0,1.13378,2000000.0,1000000.0,-782.6756,BOT,EUR,USD,20160330 20:14:05 EST,,-760.0,12825.5320738,-14571578.338,1.13378,14194.345,-782.6756
66,Paper,Paper,19.52918436,USD,IDEALPRO,66.0,,,1.0,0.96469,2000000.0,1000000.0,324.61881564,BOT,USD,CHF,20160330 20:27:30 EST,,344.148,13150.1508894,-14571578.338,0.96469,14538.493,324.61881564
67,Paper,Paper,15.3294,USD,IDEALPRO,67.0,,,1.0,0.76647,2000000.0,1000000.0,804.6706,BOT,AUD,USD,20160330 20:30:06 EST,,820.0,13954.8214894,-14571578.338,0.76647,15358.493,804.6706
68,Paper,Paper,22.6708,USD,IDEALPRO,68.0,,,1.0,1.13354,2000000.0,-1000000.0,-262.6708,SLD,EUR,USD,20160330 20:30:37 EST,,-240.0,13692.1506894,-14571578.338,1.13354,15118.493,-262.6708
69,Paper,Paper,28.410272,USD,IDEALPRO,69.0,,,1.0,161.422,2000000.0,-1000000.0,-2386.810272,SLD,GBP,JPY,20160330 20:44:09 EST,,-2358.4,11305.3404174,-14571578.338,161.422,12760.093,-2386.810272
70,Paper,Paper,22.6574,USD,IDEALPRO,70.0,,,1.0,1.13287,2000000.0,1000000.0,647.3426,BOT,EUR,USD,20160330 20:58:42 EST,,670.0,11952.6830174,-14571578.338,1.13287,13430.093,647.3426
71,Paper,Paper,22.13458716,USD,IDEALPRO,71.0,,,1.0,1.09339,2000000.0,-1000000.0,-457.38058716,SLD,EUR,CHF,20160330 21:02:20 EST,,-435.246,11495.3024302,-14571578.338,1.09339,12994.847,-457.38058716
72,Paper,Paper,22.2410461,USD,IDEALPRO,72.0,,,1.0,0.78841,2000000.0,-1000000.0,-219.7110461,SLD,EUR,GBP,20160330 21:13:35 EST,,-197.47,11275.5913841,-14571578.338,0.78841,12797.377,-219.7110461
73,Paper,Paper,15.3056,USD,IDEALPRO,73.0,,,1.0,0.76528,2000000.0,-1000000.0,-1205.3056,SLD,AUD,USD,20160330 21:24:59 EST,,-1190.0,10070.2857841,-14571578.338,0.76528,11607.377,-1205.3056
74,Paper,Paper,22.6392,USD,IDEALPRO,74.0,,,1.0,1.13196,2000000.0,-1000000.0,-932.6392,SLD,EUR,USD,20160330 21:32:06 EST,,-910.0,9137.6465841,-14571578.338,1.13196,10697.377,-932.6392
75,Paper,Paper,22.2306084,USD,IDEALPRO,75.0,,,1.0,0.78804,2000000.0,1000000.0,499.6543916,BOT,EUR,GBP,20160330 21:38:23 EST,,521.885,9637.3009757,-14571578.338,0.78804,11219.262,499.6543916
76,Paper,Paper,28.704,USD,IDEALPRO,76.0,,,1.0,1.4352,2000000.0,-1000000.0,-5218.704,SLD,GBP,USD,20160330 22:00:09 EST,,-5190.0,4418.5969757,-14571578.338,1.4352,6029.262,-5218.704
77,Paper,Paper,22.6432,USD,IDEALPRO,77.0,,,1.0,1.13216,2000000.0,1000000.0,-222.6432,BOT,EUR,USD,20160330 22:23:10 EST,,-200.0,4195.9537757,-14571578.338,1.13216,5829.262,-222.6432
78,Paper,Paper,22.2559974,USD,IDEALPRO,78.0,,,1.0,0.78894,2000000.0,-1000000.0,1247.1940026,SLD,EUR,GBP,20160330 22:44:48 EST,,1269.45,5443.1477783,-14571578.338,0.78894,7098.712,1247.1940026
79,Paper,Paper,22.254869,USD,IDEALPRO,79.0,,,1.0,0.7889,2000000.0,1000000.0,34.1651309999,BOT,EUR,GBP,20160330 22:46:52 EST,,56.4199999999,5477.3129093,-14571578.338,0.7889,7155.132,34.1651309999
80,Paper,Paper,22.12648956,USD,IDEALPRO,80.0,,,1.0,1.09299,2000000.0,1000000.0,382.75351044,BOT,EUR,CHF,20160330 22:55:36 EST,,404.88,5860.06641974,-14571578.338,1.09299,7560.012,382.75351044
81,Paper,Paper,22.2641783,USD,IDEALPRO,81.0,,,1.0,0.78923,2000000.0,-1000000.0,443.2008217,SLD,EUR,GBP,20160330 23:20:39 EST,,465.465,6303.26724144,-14571578.338,0.78923,8025.477,443.2008217
82,Paper,Paper,22.2638962,USD,IDEALPRO,82.0,,,1.0,0.78922,2000000.0,1000000.0,-8.15889620006,BOT,EUR,GBP,20160330 23:42:41 EST,,14.1049999999,6295.10834524,-14571578.338,0.78922,8039.582,-8.15889620006
