permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available,openprice
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,125.542,10000.0,-10000.0,-2.0,SLD,EUR,JPY,20160318 06:23:51 EST,,9998.0,18952.304,125.542
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,125.542,20000.0,10000.0,-2.0,BOT,EUR,JPY,20160318 06:25:37 EST,,9996.0,30000.0,125.542
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,125.513,20000.0,-10000.0,-4.552,SLD,EUR,JPY,20160318 06:35:45 EST,,9991.448,41045.144,125.542
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,125.54,20000.0,10000.0,-1.824,BOT,EUR,JPY,20160318 06:38:38 EST,,9989.624,52092.664,125.542
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,125.583,20000.0,-10000.0,1.608,SLD,EUR,JPY,20160318 06:42:54 EST,,9991.232,63143.968,125.542
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,125.595,20000.0,10000.0,-6.664,BOT,EUR,JPY,20160318 06:47:01 EST,,9984.568,74196.328,125.542
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,125.584,20000.0,-10000.0,1.696,SLD,EUR,JPY,20160318 06:50:35 EST,,9986.264,85247.72,125.542
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,125.546,20000.0,10000.0,-2.352,BOT,EUR,JPY,20160318 06:53:17 EST,,9983.912,96295.768,125.542
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,125.557,20000.0,-10000.0,-0.68,SLD,EUR,JPY,20160318 06:59:21 EST,,9983.232,107344.784,125.542
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,125.6,20000.0,10000.0,-7.104,BOT,EUR,JPY,20160318 07:03:08 EST,,9976.128,118397.584,125.542
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,125.606,20000.0,-10000.0,3.632,SLD,EUR,JPY,20160318 07:12:49 EST,,9979.76,129450.912,125.542
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,125.637,20000.0,10000.0,-10.36,BOT,EUR,JPY,20160318 07:14:39 EST,,9969.4,140506.968,125.542
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,125.682,20000.0,-10000.0,10.32,SLD,EUR,JPY,20160318 07:19:34 EST,,9979.72,151566.984,125.542
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,125.707,20000.0,10000.0,-16.52,BOT,EUR,JPY,20160318 07:21:04 EST,,9963.2,162629.2,125.542
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,125.667,20000.0,-10000.0,9.0,SLD,EUR,JPY,20160318 07:23:51 EST,,9972.2,173687.896,125.542
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,125.698,20000.0,10000.0,-15.728,BOT,EUR,JPY,20160318 07:29:34 EST,,9956.472,184749.32,125.542
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,125.696,20000.0,-10000.0,11.552,SLD,EUR,JPY,20160318 07:36:46 EST,,9968.024,195810.568,125.542
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,125.681,20000.0,10000.0,-14.232,BOT,EUR,JPY,20160318 07:38:44 EST,,9953.792,206870.496,125.542
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,125.687,20000.0,-10000.0,10.76,SLD,EUR,JPY,20160318 07:40:40 EST,,9964.552,217930.952,125.542
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,125.715,20000.0,10000.0,-17.224,BOT,EUR,JPY,20160318 07:41:50 EST,,9947.328,228993.872,125.542
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,125.713,20000.0,-10000.0,13.048,SLD,EUR,JPY,20160318 07:43:47 EST,,9960.376,240056.616,125.542
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,125.704,20000.0,10000.0,-16.256,BOT,EUR,JPY,20160318 07:44:48 EST,,9944.12,251118.568,125.542
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,125.659,20000.0,-10000.0,8.296,SLD,EUR,JPY,20160318 07:45:50 EST,,9952.416,262176.56,125.542
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,125.683,20000.0,10000.0,-14.408,BOT,EUR,JPY,20160318 07:46:52 EST,,9938.008,273236.664,125.542
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,125.694,20000.0,-10000.0,11.376,SLD,EUR,JPY,20160318 07:47:50 EST,,9949.384,284297.736,125.542
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,125.665,20000.0,10000.0,-12.824,BOT,EUR,JPY,20160318 07:53:47 EST,,9936.56,295356.256,125.542
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,125.695,20000.0,-10000.0,11.464,SLD,EUR,JPY,20160318 07:55:46 EST,,9948.024,306417.416,125.542
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,125.683,20000.0,10000.0,-14.408,BOT,EUR,JPY,20160318 07:57:45 EST,,9933.616,317477.52,125.542
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,125.677,20000.0,-10000.0,9.88,SLD,EUR,JPY,20160318 07:59:39 EST,,9943.496,328537.096,125.542
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,125.808,20000.0,10000.0,-25.408,BOT,EUR,JPY,20160318 08:09:33 EST,,9918.088,339608.2,125.542
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,125.817,20000.0,-10000.0,22.2,SLD,EUR,JPY,20160318 08:11:22 EST,,9940.288,350680.096,125.542
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,125.909,20000.0,10000.0,-34.296,BOT,EUR,JPY,20160318 08:15:44 EST,,9905.992,361760.088,125.542
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,125.87,20000.0,-10000.0,26.864,SLD,EUR,JPY,20160318 08:17:42 EST,,9932.856,372836.648,125.542
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,125.956,20000.0,10000.0,-38.432,BOT,EUR,JPY,20160318 08:22:14 EST,,9894.424,383920.776,125.542
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,125.882,20000.0,-10000.0,27.92,SLD,EUR,JPY,20160318 08:27:51 EST,,9922.344,394998.392,125.542
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,125.855,20000.0,10000.0,-29.544,BOT,EUR,JPY,20160318 08:36:44 EST,,9892.8,406073.632,125.542
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,125.816,20000.0,-10000.0,22.112,SLD,EUR,JPY,20160318 08:43:54 EST,,9914.912,417145.44,125.542
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,125.887,20000.0,10000.0,-32.36,BOT,EUR,JPY,20160318 08:49:51 EST,,9882.552,428223.496,125.542
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,125.868,20000.0,-10000.0,26.688,SLD,EUR,JPY,20160318 08:54:33 EST,,9909.24,439299.88,125.542
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,125.871,20000.0,10000.0,-30.952,BOT,EUR,JPY,20160318 08:58:20 EST,,9878.288,450376.528,125.542
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,125.835,20000.0,-10000.0,23.784,SLD,EUR,JPY,20160318 08:59:47 EST,,9902.072,461450.008,125.542
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,125.855,20000.0,10000.0,-29.544,BOT,EUR,JPY,20160318 09:00:43 EST,,9872.528,472525.248,125.542
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,125.834,20000.0,-10000.0,23.696,SLD,EUR,JPY,20160318 09:08:36 EST,,9896.224,483598.64,125.542
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,125.81,20000.0,10000.0,-25.584,BOT,EUR,JPY,20160318 09:09:48 EST,,9870.64,494669.92,125.542
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,125.77,20000.0,-10000.0,18.064,SLD,EUR,JPY,20160318 09:11:43 EST,,9888.704,505737.68,125.542
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,125.815,20000.0,10000.0,-26.024,BOT,EUR,JPY,20160318 09:13:52 EST,,9862.68,516809.4,125.542
47,Paper,Paper,2.0,USD,IDEALPRO,47.0,,,1.0,125.802,20000.0,-10000.0,20.88,SLD,EUR,JPY,20160318 09:14:49 EST,,9883.56,527879.976,125.542
48,Paper,Paper,2.0,USD,IDEALPRO,48.0,,,1.0,125.797,20000.0,10000.0,-24.44,BOT,EUR,JPY,20160318 09:16:43 EST,,9859.12,538950.112,125.542
49,Paper,Paper,2.0,USD,IDEALPRO,49.0,,,1.0,125.799,20000.0,-10000.0,20.616,SLD,EUR,JPY,20160318 09:17:40 EST,,9879.736,550020.424,125.542
50,Paper,Paper,2.0,USD,IDEALPRO,50.0,,,1.0,125.84,20000.0,10000.0,-28.224,BOT,EUR,JPY,20160318 09:24:36 EST,,9851.512,561094.344,125.542
51,Paper,Paper,2.0,USD,IDEALPRO,51.0,,,1.0,125.855,20000.0,-10000.0,25.544,SLD,EUR,JPY,20160318 09:33:07 EST,,9877.056,572169.584,125.542
52,Paper,Paper,2.0,USD,IDEALPRO,52.0,,,1.0,125.947,20000.0,10000.0,-37.64,BOT,EUR,JPY,20160318 09:44:42 EST,,9839.416,583252.92,125.542
53,Paper,Paper,2.0,USD,IDEALPRO,53.0,,,1.0,125.88,20000.0,-10000.0,27.744,SLD,EUR,JPY,20160318 09:49:44 EST,,9867.16,594330.36,125.542
54,Paper,Paper,2.0,USD,IDEALPRO,54.0,,,1.0,125.875,20000.0,10000.0,-31.304,BOT,EUR,JPY,20160318 09:51:54 EST,,9835.856,605407.36,125.542
55,Paper,Paper,2.0,USD,IDEALPRO,55.0,,,1.0,125.884,20000.0,-10000.0,28.096,SLD,EUR,JPY,20160318 09:52:50 EST,,9863.952,616485.152,125.542
56,Paper,Paper,2.0,USD,IDEALPRO,56.0,,,1.0,125.903,20000.0,10000.0,-33.768,BOT,EUR,JPY,20160318 09:57:31 EST,,9830.184,627564.616,125.542
57,Paper,Paper,2.0,USD,IDEALPRO,57.0,,,1.0,125.87,20000.0,-10000.0,26.864,SLD,EUR,JPY,20160318 10:00:16 EST,,9857.048,638641.176,125.542
58,Paper,Paper,2.0,USD,IDEALPRO,58.0,,,1.0,125.818,20000.0,10000.0,-26.288,BOT,EUR,JPY,20160318 10:09:53 EST,,9830.76,649713.16,125.542
59,Paper,Paper,2.0,USD,IDEALPRO,59.0,,,1.0,125.882,20000.0,-10000.0,27.92,SLD,EUR,JPY,20160318 10:32:56 EST,,9858.68,660790.776,125.542
60,Paper,Paper,2.0,USD,IDEALPRO,60.0,,,1.0,125.893,20000.0,10000.0,-32.888,BOT,EUR,JPY,20160318 10:33:31 EST,,9825.792,671869.36,125.542
61,Paper,Paper,2.0,USD,IDEALPRO,61.0,,,1.0,125.886,20000.0,-10000.0,28.272,SLD,EUR,JPY,20160318 10:35:34 EST,,9854.064,682947.328,125.542
62,Paper,Paper,2.0,USD,IDEALPRO,62.0,,,1.0,125.931,20000.0,10000.0,-36.232,BOT,EUR,JPY,20160318 10:36:30 EST,,9817.832,694029.256,125.542
63,Paper,Paper,2.0,USD,IDEALPRO,63.0,,,1.0,125.948,20000.0,-10000.0,33.728,SLD,EUR,JPY,20160318 10:39:30 EST,,9851.56,705112.68,125.542
64,Paper,Paper,2.0,USD,IDEALPRO,64.0,,,1.0,125.922,20000.0,10000.0,-35.44,BOT,EUR,JPY,20160318 10:42:42 EST,,9816.12,716193.816,125.542
65,Paper,Paper,2.0,USD,IDEALPRO,65.0,,,1.0,125.928,20000.0,-10000.0,31.968,SLD,EUR,JPY,20160318 10:43:40 EST,,9848.088,727275.48,125.542
66,Paper,Paper,2.0,USD,IDEALPRO,66.0,,,1.0,125.914,20000.0,10000.0,-34.736,BOT,EUR,JPY,20160318 10:45:41 EST,,9813.352,738355.912,125.542
67,Paper,Paper,2.0,USD,IDEALPRO,67.0,,,1.0,125.866,20000.0,-10000.0,26.512,SLD,EUR,JPY,20160318 10:46:55 EST,,9839.864,749432.12,125.542
68,Paper,Paper,2.0,USD,IDEALPRO,68.0,,,1.0,125.848,20000.0,10000.0,-28.928,BOT,EUR,JPY,20160318 10:47:43 EST,,9810.936,760506.744,125.542
69,Paper,Paper,2.0,USD,IDEALPRO,69.0,,,1.0,125.826,20000.0,-10000.0,22.992,SLD,EUR,JPY,20160318 10:52:44 EST,,9833.928,771579.432,125.542
70,Paper,Paper,2.0,USD,IDEALPRO,70.0,,,1.0,125.839,20000.0,10000.0,-28.136,BOT,EUR,JPY,20160318 10:54:41 EST,,9805.792,782653.264,125.542
71,Paper,Paper,2.0,USD,IDEALPRO,71.0,,,1.0,125.838,20000.0,-10000.0,24.048,SLD,EUR,JPY,20160318 10:55:43 EST,,9829.84,793727.008,125.542
72,Paper,Paper,2.0,USD,IDEALPRO,72.0,,,1.0,125.851,20000.0,10000.0,-29.192,BOT,EUR,JPY,20160318 10:58:55 EST,,9800.648,804801.896,125.542
73,Paper,Paper,2.0,USD,IDEALPRO,73.0,,,1.0,125.846,20000.0,-10000.0,24.752,SLD,EUR,JPY,20160318 10:59:55 EST,,9825.4,815876.344,125.542
74,Paper,Paper,2.0,USD,IDEALPRO,74.0,,,1.0,125.867,20000.0,10000.0,-30.6,BOT,EUR,JPY,20160318 11:03:49 EST,,9794.8,826952.64,125.542
75,Paper,Paper,2.0,USD,IDEALPRO,75.0,,,1.0,125.841,20000.0,-10000.0,24.312,SLD,EUR,JPY,20160318 11:27:43 EST,,9819.112,838026.648,125.542
