trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available
1,-23.3399496,20160318 06:26:34 EST,20160318 06:26:34 EST,20160318 06:26:34 EST,111.354,,USDJPY,long,20160318 06:23:52 EST,20160318 06:33:56 EST,open,20160318 06:23:52 EST,111.37,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9976.6600504,8.8199496,-117022.92
2,1.73764799999,20160318 06:35:22 EST,20160318 06:35:22 EST,20160318 06:35:22 EST,111.377,,USDJPY,long,20160318 06:34:07 EST,20160318 06:43:37 EST,open,20160318 06:34:07 EST,111.434,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9978.3976984,8.822352,-264105.24
3,7.01455919998,20160318 06:53:17 EST,20160318 06:53:17 EST,20160318 06:53:17 EST,111.439,,USDJPY,long,20160318 06:43:49 EST,20160318 07:05:39 EST,open,20160318 06:43:49 EST,111.431,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9985.4122576,8.8254408,-411178.32
4,-40.5053616,20160318 07:10:20 EST,20160318 07:10:20 EST,20160318 07:10:20 EST,111.416,,USDJPY,long,20160318 07:05:51 EST,20160318 07:16:49 EST,open,20160318 07:05:51 EST,111.438,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9944.906896,8.8253616,-558308.16
5,13.6119192,20160318 07:20:41 EST,20160318 07:20:41 EST,20160318 07:20:41 EST,111.461,,USDJPY,long,20160318 07:17:01 EST,20160318 07:22:31 EST,open,20160318 07:17:01 EST,111.492,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9958.5188152,8.8280808,-705455.16
6,-31.2686616,20160318 07:23:39 EST,20160318 07:23:39 EST,20160318 07:23:39 EST,111.482,,USDJPY,long,20160318 07:22:43 EST,20160318 07:26:44 EST,open,20160318 07:22:43 EST,111.438,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9927.2501536,8.8286616,-852575.76
7,-24.6654936,20160318 07:27:29 EST,20160318 07:27:29 EST,20160318 07:27:29 EST,111.426,,USDJPY,long,20160318 07:26:56 EST,20160318 07:28:25 EST,open,20160318 07:26:56 EST,111.435,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9902.58466,8.8254936,-999685.8
8,-2.22662880001,20160318 07:30:29 EST,20160318 07:30:29 EST,20160318 07:30:29 EST,111.449,,USDJPY,long,20160318 07:28:38 EST,20160318 07:34:31 EST,open,20160318 07:28:38 EST,111.449,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9900.3580312,8.8266288,-1146791.88
9,-36.5458896,20160318 07:36:33 EST,20160318 07:36:33 EST,20160318 07:36:33 EST,111.43,,USDJPY,long,20160318 07:34:42 EST,20160318 07:44:48 EST,open,20160318 07:34:42 EST,111.433,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9863.8121416,8.8258896,-1293911.16
10,-10.1460216,20160318 07:45:37 EST,20160318 07:45:37 EST,20160318 07:45:37 EST,111.437,,USDJPY,long,20160318 07:45:02 EST,20160318 07:47:38 EST,open,20160318 07:45:02 EST,111.444,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9853.66612,8.8260216,-1441018.56
11,-36.5457048,20160318 07:49:35 EST,20160318 07:49:35 EST,20160318 07:49:35 EST,111.431,,USDJPY,long,20160318 07:47:50 EST,20160318 07:50:34 EST,open,20160318 07:47:50 EST,111.424,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9817.1204152,8.8257048,-1588125.96
12,-37.8652296,20160318 07:54:34 EST,20160318 07:54:34 EST,20160318 07:54:34 EST,111.406,,USDJPY,long,20160318 07:50:47 EST,20160318 07:55:33 EST,open,20160318 07:50:47 EST,111.455,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9779.2551856,8.8252296,-1735275.6
13,-22.0274736,20160318 07:56:33 EST,20160318 07:56:33 EST,20160318 07:56:33 EST,111.452,,USDJPY,long,20160318 07:55:47 EST,20160318 07:57:32 EST,open,20160318 07:55:47 EST,111.46,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9757.227712,8.8274736,-1882416.0
14,-8.82705119998,20160318 07:58:32 EST,20160318 07:58:32 EST,20160318 07:58:32 EST,111.453,,USDJPY,long,20160318 07:57:45 EST,20160318 07:59:39 EST,open,20160318 07:57:45 EST,111.452,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9748.4006608,8.8270512,-2029532.64
15,5.69234159999,20160318 08:02:24 EST,20160318 08:02:24 EST,20160318 08:02:24 EST,111.461,,USDJPY,long,20160318 07:59:52 EST,20160318 08:07:03 EST,open,20160318 07:59:52 EST,111.47,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9754.0930024,8.8276584,-2176658.52
16,-8.8283448,20160318 08:09:33 EST,20160318 08:09:33 EST,20160318 08:09:33 EST,111.47,,USDJPY,long,20160318 08:07:14 EST,20160318 08:11:11 EST,open,20160318 08:07:14 EST,111.467,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9745.2646576,8.8283448,-2323794.96
17,46.6105992,20160318 08:15:21 EST,20160318 08:15:21 EST,20160318 08:15:21 EST,111.51,,USDJPY,long,20160318 08:11:22 EST,20160318 08:17:43 EST,open,20160318 08:11:22 EST,111.469,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9791.8752568,8.8294008,-2470878.6
18,-3.55021920001,20160318 08:18:37 EST,20160318 08:18:37 EST,20160318 08:18:37 EST,111.475,,USDJPY,long,20160318 08:17:54 EST,20160318 08:19:42 EST,open,20160318 08:17:54 EST,111.532,10000.0,,15.0,15.0,,USDJPY,strat103USDJPYv1,9788.3250376,8.8302192,-2618095.56
