permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,1.33611,50000.0,25000.0,-2.83044436141,BOT,USD,CAD,20160316 12:53:26 EST,,9969.8119334,417174.386399
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.33611,50000.0,-25000.0,-0.975785088293,SLD,USD,CAD,20160316 12:54:26 EST,,9968.83614831,467103.792884
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,113.681,50000.0,-25000.0,4.89152244,SLD,USD,JPY,20160316 12:54:37 EST,,9973.72767075,517116.541362
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.10668,50000.0,-25000.0,-15.670782,SLD,EUR,USD,20160316 12:55:13 EST,,9958.05688875,572464.212144
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,1.33611,50000.0,25000.0,-7.573204846,BOT,USD,CAD,20160316 12:55:25 EST,,9950.4836839,622394.642844
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.10668,50000.0,25000.0,33.223594,BOT,EUR,USD,20160316 12:56:16 EST,,9983.7072779,677728.642844
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,1.33611,50000.0,-25000.0,13.0618017399,SLD,USD,CAD,20160316 12:56:25 EST,,9996.76907964,727644.011742
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,0.98959,50000.0,25000.0,-26.4052666554,BOT,USD,CHF,20160316 12:56:31 EST,,9970.36381298,777727.161642
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,1.10668,50000.0,-25000.0,-47.741198,SLD,EUR,USD,20160316 12:57:12 EST,,9922.62261498,833106.90284
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,1.33611,50000.0,25000.0,-19.9755339133,BOT,USD,CAD,20160316 12:57:22 EST,,9902.64708107,883037.33354
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,113.681,50000.0,25000.0,-24.537174,BOT,USD,JPY,20160316 12:57:33 EST,,9878.10990707,933056.97354
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,1.10668,50000.0,25000.0,55.247066,BOT,EUR,USD,20160316 12:58:13 EST,,9933.35697307,988390.97354
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,0.98959,50000.0,-25000.0,39.537688902,SLD,USD,CHF,20160316 12:58:26 EST,,9972.89466197,1038432.58575
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,113.681,50000.0,-25000.0,19.00572452,SLD,USD,JPY,20160316 12:59:37 EST,,9991.90038649,1088431.22003
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,1.10668,50000.0,-25000.0,-70.4156885,SLD,EUR,USD,20160316 13:02:16 EST,,9921.48469799,1143833.63572
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,1.33611,50000.0,-25000.0,42.607511429,SLD,USD,CAD,20160316 13:02:33 EST,,9964.09220942,1193719.45891
