symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
ESUSD,ES,,-1.0,-1.0,2065.300049,2065.300049,-103265.00245,2.065300049,0.0,-2.065300049,0.0,Paper,USD,
GBPCHF,GBP,,20000.0,20000.0,1.40242,1.40242,-28774.85356,2.0,0.0,-2.0,0.0,Paper,CHF,
AUDCAD,AUD,,20000.0,20000.0,0.93825,0.93825,-14792.4495,2.0,0.0,-2.0,0.0,Paper,CAD,
AUDCHF,AUD,,-20000.0,-20000.0,0.70952,0.70952,-14557.93136,2.0,0.0,-2.0,0.0,Paper,CHF,
AUDNZD,AUD,,-20000.0,-20000.0,1.07211,1.07211,-14732.93562,2.0,0.0,-2.0,0.0,Paper,NZD,
GBPAUD,GBP,,-20000.0,-20000.0,1.97784,1.97784,-30518.0712,2.0,0.0,-2.0,0.0,Paper,AUD,
GBPCAD,GBP,,20000.0,20000.0,1.85558,1.85558,-29255.07428,2.0,0.0,-2.0,0.0,Paper,CAD,
GBPNZD,GBP,,-20000.0,-20000.0,2.11816,2.11816,-29107.75472,2.0,0.0,-2.0,0.0,Paper,NZD,
CADCHF,CAD,,20000.0,20000.0,0.755,0.755,-15491.09,2.0,0.0,-2.0,0.0,Paper,CHF,
NZDCHF,NZD,,20000.0,20000.0,0.66032,0.66032,-13548.44576,2.0,0.0,-2.0,0.0,Paper,CHF,
NZDCAD,NZD,,-20000.0,-20000.0,0.87466,0.87466,-13789.88956,2.0,0.0,-2.0,0.0,Paper,CAD,
EURNZD,EUR,,-20000.0,-20000.0,1.6694,1.6694,-22940.8948,2.0,0.0,-2.0,0.0,Paper,NZD,
EURAUD,EUR,,-20000.0,-20000.0,1.55788,1.55788,-24038.0884,2.0,0.0,-2.0,0.0,Paper,AUD,
EURCAD,EUR,,20000.0,20000.0,1.45845,1.45845,-22993.9227,2.0,0.0,-2.0,0.0,Paper,CAD,
