permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.10659,10000.0,10000.0,-2.0,BOT,EUR,USD,20160316 12:49:03 EST,,9998.0,18934.1
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,125.801,10000.0,-10000.0,-2.0,SLD,EUR,JPY,20160316 12:49:03 EST,,9996.0,7863.612
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.40935,10000.0,10000.0,-2.0,BOT,GBP,USD,20160316 12:49:03 EST,,9994.0,-6229.888
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.98963,10000.0,10000.0,-2.0,BOT,USD,CHF,20160316 12:49:03 EST,,9992.0,-16246.92286
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,113.69,10000.0,10000.0,-2.0,BOT,USD,JPY,20160316 12:49:03 EST,,9990.0,-26251.64286
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.74324,10000.0,-10000.0,-2.0,SLD,AUD,USD,20160316 12:49:04 EST,,9988.0,-33684.04286
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.33616,10000.0,10000.0,-2.0,BOT,USD,CAD,20160316 12:49:04 EST,,9986.0,-43670.5027
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.10659,20000.0,-10000.0,-3.2,SLD,EUR,USD,20160316 12:49:13 EST,,9982.8,-21537.5027
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,1.33616,20000.0,-10000.0,-0.804159999999,SLD,USD,CAD,20160316 12:49:25 EST,,9981.99584,-1565.77886
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,113.69,20000.0,-10000.0,-0.826666607999,SLD,USD,JPY,20160316 12:49:37 EST,,9981.16917339,18442.4878066
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.10659,20000.0,10000.0,-0.800000000001,BOT,EUR,USD,20160316 12:50:13 EST,,9980.36917339,40574.2878066
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,0.98963,20000.0,-10000.0,-0.11056000675,SLD,USD,CHF,20160316 12:50:29 EST,,9980.25861338,60606.4680866
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,113.69,20000.0,10000.0,-3.212444464,BOT,USD,JPY,20160316 12:50:35 EST,,9977.04616892,80615.9080866
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,1.10659,20000.0,-10000.0,-6.6666666,SLD,EUR,USD,20160316 12:51:14 EST,,9970.37950232,102752.374753
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,113.69,20000.0,-10000.0,2.745481488,SLD,USD,JPY,20160316 12:51:35 EST,,9973.12498381,122757.069272
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,1.10659,20000.0,10000.0,2.6222222,BOT,EUR,USD,20160316 12:52:14 EST,,9975.74720601,144888.869272
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,113.69,20000.0,10000.0,-6.867160496,BOT,USD,JPY,20160316 12:52:35 EST,,9968.88004551,164898.309272
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,1.33616,20000.0,10000.0,-2.99653338316,BOT,USD,CAD,20160316 12:53:24 EST,,9965.88351213,184871.228952
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.33616,20000.0,-10000.0,-0.870595489119,SLD,USD,CAD,20160316 12:54:24 EST,,9965.01291664,204843.019227
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,113.69,20000.0,-10000.0,2.67305344,SLD,USD,JPY,20160316 12:54:36 EST,,9967.68597008,224847.786174
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.10659,20000.0,-10000.0,-9.274074,SLD,EUR,USD,20160316 12:55:12 EST,,9958.41189608,246986.860248
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,1.33616,20000.0,10000.0,-4.96745483696,BOT,USD,CAD,20160316 12:55:23 EST,,9953.44444124,266959.779928
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.10659,20000.0,10000.0,13.891358,BOT,EUR,USD,20160316 12:56:14 EST,,9967.33579924,289091.579928
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,1.33616,20000.0,-10000.0,5.36696499548,SLD,USD,CAD,20160316 12:56:23 EST,,9972.70276424,309057.132643
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,0.98963,20000.0,10000.0,-12.4818933378,BOT,USD,CHF,20160316 12:56:29 EST,,9960.2208709,329091.202363
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,1.10659,20000.0,-10000.0,-22.0971194,SLD,EUR,USD,20160316 12:57:10 EST,,9938.1237515,351243.099482
