Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160507 19:56:58 EST,paperUSD,51280.1992,52064.0,41190040.0,0,-48719.8008,-47936.0,USD,51280.1992,52064.0,0
20160507 20:09:45 EST,paperUSD,49763.25306,50564.0,42037347.0,0,-50236.74694,-49436.0,USD,49763.25306,50564.0,0
20160508 05:16:21 EST,paperUSD,48246.27692,49064.0,42886154.0,0,-51753.72308,-50936.0,USD,48246.27692,49064.0,0
20160508 05:46:51 EST,paperUSD,46729.33078,47564.0,43733461.0,0,-53270.66922,-52436.0,USD,46729.33078,47564.0,0
20160508 06:20:00 EST,paperUSD,45212.35464,46064.0,44582268.0,0,-54787.64536,-53936.0,USD,45212.35464,46064.0,0
20160508 06:33:37 EST,paperUSD,43695.4085,44564.0,45429575.0,0,-56304.5915,-55436.0,USD,43695.4085,44564.0,0
20160508 07:37:48 EST,paperUSD,42178.43236,43064.0,46278382.0,0,-57821.56764,-56936.0,USD,42178.43236,43064.0,0
20160508 07:54:58 EST,paperUSD,40661.48622,41564.0,47125689.0,0,-59338.51378,-58436.0,USD,40661.48622,41564.0,0
20160508 08:58:24 EST,paperUSD,39144.51008,40064.0,47974496.0,0,-60855.48992,-59936.0,USD,39144.51008,40064.0,0
20160508 09:30:49 EST,paperUSD,37627.56394,38564.0,48821803.0,0,-62372.43606,-61436.0,USD,37627.56394,38564.0,0
20160508 12:39:52 EST,paperUSD,36110.5878,37064.0,49670610.0,0,-63889.4122,-62936.0,USD,36110.5878,37064.0,0
20160508 12:57:39 EST,paperUSD,34593.64166,35564.0,50517917.0,0,-65406.35834,-64436.0,USD,34593.64166,35564.0,0
20160508 14:00:00 EST,paperUSD,33076.66552,34064.0,51366724.0,0,-66923.33448,-65936.0,USD,33076.66552,34064.0,0
20160508 14:16:24 EST,paperUSD,31559.71938,32564.0,52214031.0,0,-68440.28062,-67436.0,USD,31559.71938,32564.0,0
20160508 17:53:16 EST,paperUSD,30042.74324,31064.0,53062838.0,0,-69957.25676,-68936.0,USD,30042.74324,31064.0,0
20160508 18:08:21 EST,paperUSD,28525.7971,29564.0,53910145.0,0,-71474.2029,-70436.0,USD,28525.7971,29564.0,0
20160508 20:16:20 EST,paperUSD,27008.82096,28064.0,54758952.0,0,-72991.17904,-71936.0,USD,27008.82096,28064.0,0
20160508 21:05:00 EST,paperUSD,25491.87482,26564.0,55606259.0,0,-74508.12518,-73436.0,USD,25491.87482,26564.0,0
20160508 21:20:47 EST,paperUSD,23974.89868,25064.0,56455066.0,0,-76025.10132,-74936.0,USD,23974.89868,25064.0,0
20160508 21:36:03 EST,paperUSD,26253.87662,27360.0,57306169.0,0,-73746.12338,-72640.0,USD,26253.87662,27360.0,0
20160508 22:56:10 EST,paperUSD,28244.89472,29368.0,58155264.0,0,-71755.10528,-70632.0,USD,28244.89472,29368.0,0
20160508 23:13:04 EST,paperUSD,26026.95684,27167.0,59002158.0,0,-73973.04316,-72833.0,USD,26026.95684,27167.0,0
20160508 23:44:27 EST,paperUSD,26647.0317,27804.0,59848415.0,0,-73352.9683,-72196.0,USD,26647.0317,27804.0,0
20160508 23:58:44 EST,paperUSD,26935.10046,28109.0,60694977.0,0,-73064.89954,-71891.0,USD,26935.10046,28109.0,0
20160509 01:18:28 EST,paperUSD,24035.11156,25226.0,61544422.0,0,-75964.88844,-74774.0,USD,24035.11156,25226.0,0
20160509 01:52:14 EST,paperUSD,21074.18154,22282.0,62390923.0,0,-78925.81846,-77718.0,USD,21074.18154,22282.0,0
20160509 04:23:12 EST,paperUSD,20964.24966,22189.0,63237517.0,0,-79035.75034,-77811.0,USD,20964.24966,22189.0,0
20160509 04:30:50 EST,paperUSD,19447.34778,20689.0,64082611.0,0,-80552.65222,-79311.0,USD,19447.34778,20689.0,0
20160509 05:02:50 EST,paperUSD,17930.4159,19189.0,64929205.0,0,-82069.5841,-80811.0,USD,17930.4159,19189.0,0
20160509 05:19:24 EST,paperUSD,16413.51402,17689.0,65774299.0,0,-83586.48598,-82311.0,USD,16413.51402,17689.0,0
20160509 06:38:59 EST,paperUSD,14896.58214,16189.0,66620893.0,0,-85103.41786,-83811.0,USD,14896.58214,16189.0,0
20160509 06:54:43 EST,paperUSD,13379.68026,14689.0,67465987.0,0,-86620.31974,-85311.0,USD,13379.68026,14689.0,0
20160509 07:19:21 EST,paperUSD,11862.74838,13189.0,68312581.0,0,-88137.25162,-86811.0,USD,11862.74838,13189.0,0
20160509 07:24:19 EST,paperUSD,10345.8465,11689.0,69157675.0,0,-89654.1535,-88311.0,USD,10345.8465,11689.0,0
20160509 08:39:15 EST,paperUSD,8828.91462,10189.0,70004269.0,0,-91171.08538,-89811.0,USD,8828.91462,10189.0,0
20160509 08:48:58 EST,paperUSD,7312.01274,8689.0,70849363.0,0,-92687.98726,-91311.0,USD,7312.01274,8689.0,0
20160509 09:02:19 EST,paperUSD,5795.08086,7189.0,71695957.0,0,-94204.91914,-92811.0,USD,5795.08086,7189.0,0
20160509 09:20:50 EST,paperUSD,4278.17898,5689.0,72541051.0,0,-95721.82102,-94311.0,USD,4278.17898,5689.0,0
20160509 10:37:23 EST,paperUSD,2761.2471,4189.0,73387645.0,0,-97238.7529,-95811.0,USD,2761.2471,4189.0,0
20160509 10:54:55 EST,paperUSD,1244.34522,2689.0,74232739.0,0,-98755.65478,-97311.0,USD,1244.34522,2689.0,0
20160509 11:24:01 EST,paperUSD,-272.58666,1189.0,75079333.0,0,-100272.58666,-98811.0,USD,-272.58666,1189.0,0
20160509 11:41:05 EST,paperUSD,-1789.48854,-311.0,75924427.0,0,-101789.48854,-100311.0,USD,-1789.48854,-311.0,0
20160509 11:59:16 EST,paperUSD,-3306.42042,-1811.0,76771021.0,0,-103306.42042,-101811.0,USD,-3306.42042,-1811.0,0
20160509 12:28:18 EST,paperUSD,-4823.3223,-3311.0,77616115.0,0,-104823.3223,-103311.0,USD,-4823.3223,-3311.0,0
20160509 14:19:01 EST,paperUSD,-6340.25418,-4811.0,78462709.0,0,-106340.25418,-104811.0,USD,-6340.25418,-4811.0,0
20160509 15:08:03 EST,paperUSD,-7857.15606,-6311.0,79307803.0,0,-107857.15606,-106311.0,USD,-7857.15606,-6311.0,0
20160509 15:38:03 EST,paperUSD,-9374.08794,-7811.0,80154397.0,0,-109374.08794,-107811.0,USD,-9374.08794,-7811.0,0
20160509 16:10:10 EST,paperUSD,-10890.98982,-9311.0,80999491.0,0,-110890.98982,-109311.0,USD,-10890.98982,-9311.0,0
20160509 16:43:51 EST,paperUSD,-12407.9217,-10811.0,81846085.0,0,-112407.9217,-110811.0,USD,-12407.9217,-10811.0,0
20160509 16:58:18 EST,paperUSD,-13924.82358,-12311.0,82691179.0,0,-113924.82358,-112311.0,USD,-13924.82358,-12311.0,0
20160509 18:01:52 EST,paperUSD,-15441.75546,-13811.0,83537773.0,0,-115441.75546,-113811.0,USD,-15441.75546,-13811.0,0
20160509 18:18:35 EST,paperUSD,-16958.65734,-15311.0,84382867.0,0,-116958.65734,-115311.0,USD,-16958.65734,-15311.0,0
20160509 18:38:07 EST,paperUSD,-18475.58922,-16811.0,85229461.0,0,-118475.58922,-116811.0,USD,-18475.58922,-16811.0,0
20160509 18:51:07 EST,paperUSD,-19992.4911,-18311.0,86074555.0,0,-119992.4911,-118311.0,USD,-19992.4911,-18311.0,0
20160509 19:07:22 EST,paperUSD,-21509.42298,-19811.0,86921149.0,0,-121509.42298,-119811.0,USD,-21509.42298,-19811.0,0
20160509 19:21:56 EST,paperUSD,-23026.32486,-21311.0,87766243.0,0,-123026.32486,-121311.0,USD,-23026.32486,-21311.0,0
20160509 19:38:12 EST,paperUSD,-24543.25674,-22811.0,88612837.0,0,-124543.25674,-122811.0,USD,-24543.25674,-22811.0,0
20160509 19:53:45 EST,paperUSD,-26060.15862,-24311.0,89457931.0,0,-126060.15862,-124311.0,USD,-26060.15862,-24311.0,0
