permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl,mark_to_mkt,pure_mark_to_mkt
27,Paper,Paper,28.4772,USD,IDEALPRO,27.0,,,1.0,1.42386,1000000.0,0.0,7996.5228,BOT,GBP,USD,20160404 05:47:51 EST,,8025.0,26542.9774,381420.0,1.431885,27320.0,7996.5228,,
28,Paper,Paper,28.471,USD,IDEALPRO,28.0,,,1.0,1.42355,1000000.0,-1000000.0,-28.471,SLD,GBP,USD,20160404 06:04:27 EST,,0.0,26514.5064,-1042130.0,1.42355,27320.0,-28.471,,
29,Paper,Paper,28.5812,USD,IDEALPRO,29.0,,,1.0,1.42906,1000000.0,0.0,-5538.5812,BOT,GBP,USD,20160404 08:34:49 EST,,-5510.0,20975.9252,386930.0,1.42355,21810.0,-5538.5812,,
30,Paper,Paper,28.5568,USD,IDEALPRO,30.0,,,1.0,1.42784,1000000.0,1000000.0,-28.5568,BOT,GBP,USD,20160404 13:33:32 EST,,0.0,20947.3684,-1040910.0,1.42784,21810.0,-28.5568,,
31,Paper,Paper,28.5334,USD,IDEALPRO,31.0,,,1.0,1.42667,1000000.0,0.0,-1198.5334,SLD,GBP,USD,20160404 18:23:19 EST,,-1170.0,19748.835,385760.0,1.42784,20640.0,-1198.5334,,
32,Paper,Paper,57.0844,USD,IDEALPRO,32.0,,,1.0,1.42711,2000000.0,-2000000.0,-57.0844,SLD,GBP,USD,20160404 20:35:39 EST,,0.0,19691.7506,-2468460.0,1.42711,20640.0,-57.0844,,
33,Paper,Paper,56.994,USD,IDEALPRO,33.0,,,1.0,1.42485,2000000.0,0.0,4463.006,BOT,GBP,USD,20160405 01:35:08 EST,,4520.0,24154.7566,381240.0,1.42711,25160.0,4463.006,,
34,Paper,Paper,56.818,USD,IDEALPRO,34.0,,,1.0,1.42045,2000000.0,2000000.0,-56.818,BOT,GBP,USD,20160405 07:35:11 EST,,0.0,24097.9386,-2459660.0,1.42045,25160.0,-56.818,,
35,Paper,Paper,28.3808,USD,IDEALPRO,35.0,,,1.0,1.41904,1000000.0,1000000.0,-1438.3808,SLD,GBP,USD,20160405 08:34:56 EST,,-1410.0,22659.5578,-1040620.0,1.42045,23750.0,-1438.3808,,
36,Paper,Paper,28.3206,USD,IDEALPRO,36.0,,,1.0,1.41603,1000000.0,2000000.0,-28.3206,BOT,GBP,USD,20160405 17:45:41 EST,,0.0,22631.2372,-2456650.0,1.41824,23750.0,-28.3206,,
37,Paper,Paper,56.626,USD,IDEALPRO,37.0,,,1.0,1.41565,2000000.0,0.0,-5236.626,SLD,GBP,USD,20160405 20:37:33 EST,,-5180.0,17394.6112,374650.0,1.41824,18570.0,-5236.626,,
38,Paper,Paper,56.598,USD,IDEALPRO,38.0,,,1.0,1.41495,2000000.0,2000000.0,-56.598,BOT,GBP,USD,20160405 21:07:33 EST,,0.0,17338.0132,-2455250.0,1.41495,18570.0,-56.598,,
39,Paper,Paper,56.6256,USD,IDEALPRO,39.0,,,1.0,1.41564,2000000.0,0.0,1323.3744,SLD,GBP,USD,20160405 22:36:55 EST,,1380.0,18661.3876,376030.0,1.41495,19950.0,1323.3744,,
40,Paper,Paper,56.6508,USD,IDEALPRO,40.0,,,1.0,1.41627,2000000.0,2000000.0,-56.6508,BOT,GBP,USD,20160406 00:37:01 EST,,0.0,18604.7368,-2456510.0,1.41627,19950.0,-56.6508,,
41,Paper,Paper,56.6188,USD,IDEALPRO,41.0,,,1.0,1.41547,4000000.0,-2000000.0,-1656.6188,SLD,GBP,USD,20160406 02:00:12 EST,,-1600.0,16948.118,-2456510.0,1.41547,18350.0,-1656.6188,,
42,Paper,Paper,56.5592,USD,IDEALPRO,42.0,,,1.0,1.41398,4000000.0,2000000.0,2923.4408,BOT,GBP,USD,20160406 02:07:47 EST,,2980.0,19871.5588,-2456510.0,1.41398,21330.0,2923.4408,,
43,Paper,Paper,56.5632,USD,IDEALPRO,43.0,,,1.0,1.41408,2000000.0,0.0,143.4368,SLD,GBP,USD,20160406 03:07:15 EST,,200.0,20014.9956,371650.0,1.41398,21530.0,143.4368,,
44,Paper,Paper,28.196,USD,IDEALPRO,44.0,,,1.0,1.4098,1000000.0,-1000000.0,-28.196,SLD,GBP,USD,20160406 04:36:57 EST,,0.0,19986.7996,-1038150.0,1.4098,21530.0,-28.196,,
45,Paper,Paper,28.2156,USD,IDEALPRO,45.0,,,1.0,1.41078,1000000.0,0.0,-1008.2156,BOT,GBP,USD,20160406 05:04:20 EST,,-980.0,18978.584,372630.0,1.4098,20550.0,-1008.2156,,
46,Paper,Paper,28.173,USD,IDEALPRO,46.0,,,1.0,1.40865,1000000.0,-1000000.0,-28.173,SLD,GBP,USD,20160406 10:36:26 EST,,0.0,18950.411,-1036020.0,1.40865,20550.0,-28.173,,
47,Paper,Paper,28.3076,USD,IDEALPRO,47.0,,,1.0,1.41538,1000000.0,0.0,-6758.3076,BOT,GBP,USD,20160406 12:06:14 EST,,-6730.0,12192.1034,379360.0,1.40865,13820.0,-6758.3076,,
48,Paper,Paper,28.2288,USD,IDEALPRO,48.0,,,1.0,1.41144,1000000.0,-1000000.0,-28.2288,SLD,GBP,USD,20160406 14:06:50 EST,,0.0,12163.8746,-1032080.0,1.41144,13820.0,-28.2288,,
49,Paper,Paper,28.265,USD,IDEALPRO,49.0,,,1.0,1.41325,1000000.0,0.0,-1838.265,BOT,GBP,USD,20160406 14:36:08 EST,,-1810.0,10325.6096,381170.0,1.41144,12010.0,-1838.265,,
50,Paper,Paper,28.2404,USD,IDEALPRO,50.0,,,1.0,1.41202,1000000.0,1000000.0,-28.2404,BOT,GBP,USD,20160406 16:06:42 EST,,0.0,10297.3692,-1030850.0,1.41202,12010.0,-28.2404,,
51,Paper,Paper,28.2396,USD,IDEALPRO,51.0,,,1.0,1.41198,2000000.0,-1000000.0,-68.2396,SLD,GBP,USD,20160406 16:36:31 EST,,-40.0,10229.1296,-1030850.0,1.41198,11970.0,-68.2396,,
52,Paper,Paper,28.2398,USD,IDEALPRO,52.0,,,1.0,1.41199,1000000.0,-2000000.0,-28.2398,SLD,GBP,USD,20160406 17:35:37 EST,,0.0,10200.8898,-2442840.0,1.411985,11970.0,-28.2398,,
53,Paper,Paper,56.5028,USD,IDEALPRO,53.0,,,1.0,1.41257,2000000.0,0.0,-1226.5028,BOT,GBP,USD,20160406 18:30:13 EST,,-1170.0,8974.387,382300.0,1.411985,10800.0,-1226.5028,,
54,Paper,Paper,56.5044,USD,IDEALPRO,54.0,,,1.0,1.41261,2000000.0,-2000000.0,-56.5044,SLD,GBP,USD,20160406 19:04:45 EST,,0.0,8917.8826,-2442920.0,1.41261,10800.0,-56.5044,,
55,Paper,Paper,56.5444,USD,IDEALPRO,55.0,,,1.0,1.41361,2000000.0,0.0,-2056.5444,BOT,GBP,USD,20160406 20:16:19 EST,,-2000.0,6861.3382,384300.0,1.41261,8800.0,-2056.5444,,
56,Paper,Paper,56.4976,USD,IDEALPRO,56.0,,,1.0,1.41244,2000000.0,2000000.0,-56.4976,BOT,GBP,USD,20160406 21:37:58 EST,,0.0,6804.8406,-2440580.0,1.41244,8800.0,-56.4976,,
57,Paper,Paper,56.4768,USD,IDEALPRO,57.0,,,1.0,1.41192,4000000.0,-2000000.0,-1096.4768,SLD,GBP,USD,20160406 22:06:15 EST,,-1040.0,5708.3638,-2440580.0,1.41192,7760.0,-1096.4768,48238005708.4,48238407760.0
58,Paper,Paper,56.4532,USD,IDEALPRO,58.0,,,1.0,1.41133,2000000.0,0.0,1123.5468,BOT,GBP,USD,20160406 23:07:45 EST,,1180.0,6831.9106,382080.0,1.41192,8940.0,1123.5468,6831.9106,8940.0
59,Paper,Paper,56.4396,USD,IDEALPRO,59.0,,,1.0,1.41099,2000000.0,2000000.0,-56.4396,BOT,GBP,USD,20160406 23:37:20 EST,,0.0,6775.471,-2439900.0,1.41099,8940.0,-56.4396,5242263.471,5808940.0
60,Paper,Paper,56.4552,USD,IDEALPRO,60.0,,,1.0,1.41138,2000000.0,0.0,723.5448,SLD,GBP,USD,20160407 00:07:24 EST,,780.0,7499.0158,382860.0,1.41099,9720.0,723.5448,7499.0158,9720.0
61,Paper,Paper,56.5032,USD,IDEALPRO,61.0,,,1.0,1.41258,2000000.0,-2000000.0,-56.5032,SLD,GBP,USD,20160407 01:07:53 EST,,0.0,7442.5126,-2442300.0,1.41258,9720.0,-56.5032,23842898.5126,24409720.0
62,Paper,Paper,56.58,USD,IDEALPRO,62.0,,,1.0,1.4145,4000000.0,2000000.0,-3896.58,BOT,GBP,USD,20160407 01:36:55 EST,,-3840.0,3545.9326,-2442300.0,1.4145,5880.0,-3896.58,-64960966.0674,-64394120.0
63,Paper,Paper,56.5896,USD,IDEALPRO,63.0,,,1.0,1.41474,3000000.0,-1000000.0,423.4104,SLD,GBP,USD,20160407 02:05:50 EST,,480.0,3969.343,-1027560.0,1.41474,6360.0,423.4104,33521697.343,33806360.0
64,Paper,Paper,28.1516,USD,IDEALPRO,64.0,,,1.0,1.40758,1000000.0,0.0,7131.8484,BOT,GBP,USD,20160407 03:35:14 EST,,7160.0,11101.1914,380020.0,1.41474,13520.0,7131.8484,11101.1914,13520.0
