permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available,openprice
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,111.362,10000.0,-10000.0,-2.0,SLD,USD,JPY,20160318 06:23:55 EST,,9998.0,20200.144,111.362
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,111.401,20000.0,10000.0,-5.432,BOT,USD,JPY,20160318 07:40:17 EST,,9992.568,30003.432,111.362
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,111.515,20000.0,-10000.0,11.464,SLD,USD,JPY,20160318 09:07:51 EST,,10004.032,39816.752,111.362
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,111.452,20000.0,10000.0,-9.92,BOT,USD,JPY,20160318 10:35:23 EST,,9994.112,49624.528,111.362
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,111.475,10000.0,0.0,7.944,SLD,USD,JPY,20160318 11:55:57 EST,,10002.056,59434.328,111.362
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,111.502,10000.0,10000.0,-2.0,BOT,USD,JPY,20160318 13:34:23 EST,,10000.056,49622.152,111.502
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,111.667,20000.0,-10000.0,12.52,SLD,USD,JPY,20160318 15:11:39 EST,,10012.576,59448.848,111.502
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,111.569,40000.0,-50000.0,-2.0,SLD,USD,JPY,20160320 17:15:13 EST,,10010.576,20176.56,111.5556
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,111.505,50000.0,-0.0,20.264,BOT,USD,JPY,20160320 19:22:08 EST,,10030.84,69238.76,111.5556
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,111.412,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160320 20:27:57 EST,,10028.84,20217.48,111.412
