Date,accountid,balance,buy_power,unr_pnl,real_pnl,currency
20160318 06:23:52 EST,paperUSD,10000.0,30000.0,0,0.0,USD
20160318 06:23:52 EST,paperUSD,9997.71262,-84369.0,0,-2.28738,USD
20160318 06:28:14 EST,paperUSD,9963.92461,30031.5,0,-36.07539,USD
20160318 06:28:14 EST,paperUSD,9961.6366,-84369.0,0,-38.3634,USD
20160318 06:28:26 EST,paperUSD,9959.34859,-198769.5,0,-40.65141,USD
20160318 06:33:33 EST,paperUSD,9898.56175,-84427.5,0,-101.43825,USD
20160318 06:36:38 EST,paperUSD,9896.27491,-198769.5,0,-103.72509,USD
20160318 06:36:50 EST,paperUSD,9893.98804,-313113.0,0,-106.01196,USD
20160318 07:04:24 EST,paperUSD,9993.69913,-198667.5,0,-6.30086999998,USD
20160318 07:15:33 EST,paperUSD,9991.40899,-313174.5,0,-8.59100999998,USD
20160318 07:15:44 EST,paperUSD,9989.11885,-427681.5,0,-10.88115,USD
20160318 07:19:12 EST,paperUSD,9980.82883,-313180.5,0,-19.17117,USD
20160318 07:20:18 EST,paperUSD,9978.53929,-427657.5,0,-21.46071,USD
20160318 07:20:29 EST,paperUSD,9976.2499,-542127.0,0,-23.7501,USD
20160318 07:23:05 EST,paperUSD,9900.46198,-427731.0,0,-99.53802,USD
20160318 07:26:11 EST,paperUSD,9898.17451,-542104.5,0,-101.82549,USD
20160318 07:26:22 EST,paperUSD,9895.88683,-656488.5,0,-104.11317,USD
20160318 07:27:17 EST,paperUSD,9896.59909,-542101.5,0,-103.40091,USD
20160318 07:33:13 EST,paperUSD,9894.31015,-656548.5,0,-105.68985,USD
20160318 07:33:24 EST,paperUSD,9892.02088,-771012.0,0,-107.97912,USD
20160318 07:34:09 EST,paperUSD,9892.73155,-656545.5,0,-107.26845,USD
20160318 07:36:09 EST,paperUSD,9890.44147,-771049.5,0,-109.55853,USD
20160318 07:36:21 EST,paperUSD,9888.15139,-885553.5,0,-111.84861,USD
20160318 07:38:19 EST,paperUSD,9896.3611,-771039.0,0,-103.6389,USD
20160318 07:40:16 EST,paperUSD,9894.07105,-885541.5,0,-105.92895,USD
20160318 07:40:28 EST,paperUSD,9891.781,-1000044.0,0,-108.219,USD
20160318 07:42:13 EST,paperUSD,9886.49101,-885544.5,0,-113.50899,USD
20160318 07:43:11 EST,paperUSD,9884.20003,-1000093.5,0,-115.79997,USD
20160318 07:43:23 EST,paperUSD,9881.90932,-1114629.0,0,-118.09068,USD
20160318 07:44:11 EST,paperUSD,9872.11876,-1000101.0,0,-127.88124,USD
20160318 07:46:14 EST,paperUSD,9869.83009,-1114534.5,0,-130.16991,USD
20160318 07:46:27 EST,paperUSD,9867.54127,-1228975.5,0,-132.45873,USD
20160318 07:48:14 EST,paperUSD,9821.75332,-1114578.0,0,-178.24668,USD
20160318 07:50:09 EST,paperUSD,9819.46408,-1229040.0,0,-180.53592,USD
20160318 07:50:21 EST,paperUSD,9817.17514,-1343487.0,0,-182.82486,USD
20160318 07:51:09 EST,paperUSD,9807.38635,-1229047.5,0,-192.61365,USD
20160318 07:55:09 EST,paperUSD,9805.09771,-1343479.5,0,-194.90229,USD
20160318 07:55:21 EST,paperUSD,9802.80904,-1457913.0,0,-197.19096,USD
20160318 07:57:08 EST,paperUSD,9797.52043,-1343482.5,0,-202.47957,USD
20160318 08:20:25 EST,paperUSD,9795.23191,-1457908.5,0,-204.76809,USD
20160318 08:20:37 EST,paperUSD,9792.94369,-1572319.5,0,-207.05631,USD
20160318 08:23:31 EST,paperUSD,9811.65505,-1457887.5,0,-188.34495,USD
20160318 08:26:35 EST,paperUSD,9809.36584,-1572348.0,0,-190.63416,USD
20160318 08:26:46 EST,paperUSD,9807.07633,-1686823.5,0,-192.92367,USD
20160318 09:04:10 EST,paperUSD,9735.7882,-1572417.0,0,-264.2118,USD
20160318 09:09:11 EST,paperUSD,9733.50226,-1686714.0,0,-266.49774,USD
20160318 09:09:23 EST,paperUSD,9731.21638,-1801008.0,0,-268.78362,USD
20160318 09:13:14 EST,paperUSD,9707.93092,-1686735.0,0,-292.06908,USD
