symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURJPY,EUR,,20000.0,20000.0,125.354,125.354,-22062.304,2.0,-11.856,-2.0,0.0,Paper,JPY,-9.856
EURUSD,EUR,,-20000.0,-20000.0,1.12302,1.12302,-22460.4,2.0,4.4,-2.0,0.0,Paper,USD,6.4
GBPUSD,GBP,,20000.0,20000.0,1.4385,1.4385,-28770.0,2.0,-7.8,-2.0,0.0,Paper,USD,-5.8
USDCHF,USD,,20000.0,20000.0,0.97773,0.97773,-19793.16612,2.0,8.52688,-2.0,0.0,Paper,CHF,10.52688
USDJPY,USD,,20000.0,20000.0,111.6,111.6,-19641.6,2.0,-0.943999999997,-2.0,0.0,Paper,JPY,1.056
AUDUSD,AUD,,-20000.0,-20000.0,0.77076,0.77076,-15415.2,2.0,2.2,-2.0,0.0,Paper,USD,4.2
USDCAD,USD,,20000.0,20000.0,1.27038,1.27038,-18989.64024,2.0,-2.59792,-2.0,0.0,Paper,CAD,-0.597919999997
NZDJPY,NZD,,20000.0,20000.0,76.458,76.458,-13456.608,2.0,-3.76,-2.0,0.0,Paper,JPY,-1.76
CADJPY,CAD,,20000.0,20000.0,87.877,87.877,-15466.352,2.0,-6.928,-2.0,0.0,Paper,JPY,-4.928
CHFJPY,CHF,,20000.0,20000.0,114.11,114.11,-20083.36,2.0,-7.104,-2.0,0.0,Paper,JPY,-5.104
EURGBP,EUR,,-20000.0,-20000.0,0.7806,0.7806,-22020.726,2.0,-2.8463,-2.0,0.0,Paper,GBP,-0.846300000002
GBPJPY,GBP,,20000.0,20000.0,160.521,160.521,-28251.696,2.0,-3.232,-2.0,0.0,Paper,JPY,-1.232
EURCHF,EUR,,20000.0,20000.0,1.09822,1.09822,-22232.36568,2.0,-0.178039999997,-2.0,0.0,Paper,CHF,1.82196
AUDJPY,AUD,,20000.0,20000.0,85.997,85.997,-15135.472,2.0,-2.176,-2.0,0.0,Paper,JPY,-0.176000000001
NZDUSD,NZD,,-20000.0,-20000.0,0.68501,0.68501,-13700.2,2.0,-2.8,-2.0,0.0,Paper,USD,-0.800000000001
