symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
EURJPY,open,long,1.0,0.0,127.287,0.0,-2.0,0.0,2.0,1.0,,,,,EURJPY,,20160329 19:20:29 EST,20160329 19:20:29 EST,1.0,19996.0,377597.488,20000.0
GBPUSD,open,long,1.0,0.0,1.43799,0.0,-2.0,0.0,2.0,3.0,,,,,GBPUSD,,20160329 19:20:31 EST,20160329 19:20:31 EST,1.0,19992.0,348749.844,20000.0
USDJPY,open,short,1.0,0.0,112.749,0.0,-2.0,0.0,2.0,5.0,,,,,USDJPY,,20160329 19:20:33 EST,20160329 19:20:33 EST,-1.0,19988.0,333501.4887,20000.0
AUDUSD,open,long,1.0,0.0,0.76334,0.0,-2.0,0.0,2.0,6.0,,,,,AUDUSD,,20160329 19:20:36 EST,20160329 19:20:36 EST,1.0,19986.0,328156.6007,20000.0
USDCAD,open,short,1.0,0.0,1.30664,0.0,-2.0,0.0,2.0,7.0,,,,,USDCAD,,20160329 19:20:37 EST,20160329 19:20:37 EST,-1.0,19984.0,316258.34598,20000.0
NZDJPY,open,long,1.0,0.0,77.28,0.0,-2.0,0.0,2.0,8.0,,,,,NZDJPY,,20160329 19:20:39 EST,20160329 19:20:39 EST,1.0,19982.0,312422.89334,20000.0
CADJPY,open,long,1.0,0.0,86.292,0.0,-2.0,0.0,2.0,9.0,,,,,CADJPY,,20160329 19:20:40 EST,20160329 19:20:40 EST,1.0,19980.0,304036.14134,20000.0
NZDUSD,open,long,1.0,0.0,0.68657,0.0,-2.0,0.0,2.0,19.0,,,,,NZDUSD,,20160329 20:03:38 EST,20160329 20:03:38 EST,1.0,19934.17376,243683.46639,19982.17376
AUDJPY,open,long,1.0,0.0,86.003,0.0,-2.0,0.0,2.0,21.0,,,,,AUDJPY,,20160329 20:10:46 EST,20160329 20:10:46 EST,1.0,19904.26176,242980.90239,19960.26176
GBPJPY,open,long,1.0,0.0,161.909,0.0,-2.0,0.0,2.0,23.0,,,,,GBPJPY,,20160329 21:30:46 EST,20160329 21:30:46 EST,1.0,19891.74131,236301.17439,19955.74131
EURGBP,open,short,1.0,0.0,0.78527,0.0,-2.0,0.0,2.0,25.0,,,,,EURGBP,,20160329 21:54:17 EST,20160329 21:54:17 EST,-1.0,19879.45616,239472.93304,19951.45616
USDCHF,open,long,1.0,0.0,0.96683,0.0,-2.0,0.0,2.0,26.0,,,,,USDCHF,,20160329 21:59:28 EST,20160329 21:59:28 EST,1.0,19874.44396,240762.91313,19950.44396
EURUSD,open,short,1.0,0.0,1.1295,0.0,-2.0,0.0,2.0,30.0,,,,,EURUSD,,20160329 23:04:12 EST,20160329 23:04:12 EST,-1.0,19861.94396,239254.16639,19953.94396
CHFJPY,open,long,1.0,0.0,116.407,0.0,-2.0,0.0,2.0,31.0,,,,,CHFJPY,,20160329 23:07:21 EST,20160329 23:07:21 EST,1.0,19868.76796,240305.35039,19964.76796
EURCHF,open,long,1.0,0.0,1.09171,0.0,-2.0,0.0,2.0,32.0,,,,,EURCHF,,20160329 23:42:20 EST,20160329 23:42:20 EST,1.0,19862.13624,239498.87777,19962.13624
