symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
EURGBP,open,short,10.0,0.0,0.76572,0.0,-2.21369652,0.0,2.21369652,408.0,,,,,EURGBP,,20160519 07:01:29 EST,20160519 07:01:29 EST,-10.0,GBP,977.8157025,980.049,83521.244464,-815810.47532,85329.62498
AUDNZD,open,short,10.0,0.0,1.0692,0.0,-2.0,0.0,2.0,448.0,,,,,AUDNZD,,20160519 22:59:02 EST,20160519 22:59:02 EST,-10.0,NZD,-22.613,-20.613,78028.9106063,-158983.41422,80032.52018
NZDCAD,open,long,10.0,0.0,0.8851,0.0,-2.0,0.0,2.0,454.0,,,,,NZDCAD,,20160520 00:38:21 EST,20160520 00:38:21 EST,10.0,CAD,-24.0724,-22.0724,78013.8223457,-829714.58922,80032.52018
EURUSD,open,short,10.0,0.0,1.12035,0.0,-2.2407,0.0,2.2407,466.0,,,,,EURUSD,,20160520 01:46:28 EST,20160520 01:46:28 EST,-10.0,USD,198.75528,201.0,77680.0482164,-1178640.04812,79748.65378
NZDJPY,open,long,10.0,0.0,74.571,0.0,-2.0,0.0,2.0,469.0,,,,,NZDJPY,,20160520 02:17:35 EST,20160520 02:17:35 EST,10.0,JPY,-215.3,-213.3,77420.7292164,-1324590.04812,79500.25378
NZDUSD,open,long,10.0,0.0,0.67646,0.0,-2.0,0.0,2.0,474.0,,,,,NZDUSD,,20160520 04:02:35 EST,20160520 04:02:35 EST,10.0,USD,-94.0,-92.0,77497.8402044,-1324590.04812,79599.15378
NZDCHF,open,long,10.0,0.0,0.67146,0.0,-2.0,0.0,2.0,480.0,,,,,NZDCHF,,20160520 08:50:16 EST,20160520 08:50:16 EST,10.0,CHF,-315.9254,-313.9254,76438.743033,-1247021.74912,78571.91638
GBPCHF,open,long,10.0,0.0,1.43624,0.0,-2.946877232,0.0,2.946877232,486.0,,,,,GBPCHF,,20160520 19:36:54 EST,20160520 19:36:54 EST,10.0,CHF,-51.163212886,-48.2173,78995.1247775,-1047339.00592,81161.96268
AUDCHF,open,long,10.0,0.0,0.71554,0.0,-2.0,0.0,2.0,487.0,,,,,AUDCHF,,20160520 19:54:59 EST,20160520 19:54:59 EST,10.0,CHF,-51.2432,-49.2432,78991.7738775,-972562.44452,81164.61178
GBPCAD,open,long,10.0,0.0,1.90279,0.0,-2.999938714,0.0,2.999938714,488.0,,,,,GBPCAD,,20160520 20:01:32 EST,20160520 20:01:32 EST,10.0,CAD,-162.233353982,-159.2366,79487.9211001,-972562.44452,81666.75888
CADCHF,open,long,10.0,0.0,0.7553,0.0,-2.0,0.0,2.0,489.0,,,,,CADCHF,,20160520 20:10:27 EST,20160520 20:10:27 EST,10.0,CHF,-38.9324,-36.9324,79485.9211001,-1050048.67152,81666.75888
USDCHF,open,long,10.0,0.0,0.99036,0.0,-2.032020648,0.0,2.032020648,491.0,,,,,USDCHF,,20160520 20:20:19 EST,20160520 20:20:19 EST,10.0,CHF,-31.782525626,-29.7511,80284.0833195,-1151649.70392,82472.75888
AUDCAD,open,long,10.0,0.0,0.94858,0.0,-2.0,0.0,2.0,496.0,,,,,AUDCAD,,20160521 07:41:39 EST,20160521 07:41:39 EST,10.0,CAD,-206.958,-204.958,81361.3333995,-1154187.26532,83571.75888
GBPAUD,open,short,10.0,0.0,2.007,0.0,-3.096801,0.0,3.096801,496.0,,,,,GBPAUD,,20160521 08:04:41 EST,20160521 08:04:41 EST,-10.0,AUD,91.02431654,94.123,80547.0647975,-1079410.70392,82761.68388
GBPNZD,open,long,10.0,0.0,2.14355,0.0,-2.94566641,0.0,2.94566641,497.0,,,,,GBPNZD,,20160521 08:09:14 EST,20160521 08:09:14 EST,10.0,NZD,-243.42585671,-240.485,81093.6018647,-1079410.70392,83314.11228
EURNZD,open,long,10.0,0.0,1.6596,0.0,-2.28062232,0.0,2.28062232,497.0,,,,,EURNZD,,20160521 08:19:02 EST,20160521 08:19:02 EST,10.0,NZD,-242.76081262,-240.485,80872.8013865,-932127.38342,83094.92738
EURAUD,open,long,10.0,0.0,1.55434,0.0,-2.39834662,0.0,2.39834662,498.0,,,,,EURAUD,,20160521 08:20:42 EST,20160521 08:20:42 EST,10.0,AUD,-101.91985615,-99.5235,80672.8151933,-932127.38342,82899.73788
EURCAD,open,long,10.0,0.0,1.47263,0.0,-2.321748458,0.0,2.321748458,499.0,,,,,EURCAD,,20160521 08:28:12 EST,20160521 08:28:12 EST,10.0,CAD,-133.965215536,-131.6461,80630.3332963,-932127.38342,82861.89948
EURJPY,open,long,10.0,0.0,123.639,0.0,-2.225502,0.0,2.225502,500.0,,,,,EURJPY,,20160521 08:30:11 EST,20160521 08:30:11 EST,10.0,JPY,-17.525196,-15.3,80526.8822923,-932127.38342,82762.89948
GBPUSD,open,short,10.0,0.0,1.45129,0.0,-2.90258,0.0,2.90258,501.0,,,,,GBPUSD,,20160521 08:44:23 EST,20160521 08:44:23 EST,-10.0,USD,12.09712,15.0,80506.0771323,-932127.38342,82747.89948
USDJPY,open,short,10.0,0.0,110.174,0.0,-2.0,0.0,2.0,502.0,,,,,USDJPY,,20160521 08:52:00 EST,20160521 08:52:00 EST,-10.0,JPY,10.6,12.6,80489.4771323,-932127.38342,82735.29948
AUDUSD,open,long,10.0,0.0,0.72239,0.0,-2.0,0.0,2.0,503.0,,,,,AUDUSD,,20160521 08:59:23 EST,20160521 08:59:23 EST,10.0,USD,-18.0,-16.0,80487.4771323,-1004366.38342,82735.29948
USDCAD,open,long,10.0,0.0,1.31153,0.0,-2.067758198,0.0,2.067758198,504.0,,,,,USDCAD,,20160521 09:00:15 EST,20160521 09:00:15 EST,10.0,CAD,-15.468590176,-13.4011,80485.4093741,-1107754.29332,82735.29948
