permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,125.805,10000.0,-10000.0,-2.0,SLD,EUR,JPY,20160316 12:49:07 EST,,9998.0,18929.16
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,125.805,20000.0,10000.0,41.882666608,BOT,EUR,JPY,20160316 14:31:40 EST,,10039.8826666,41070.84
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,125.805,20000.0,-10000.0,-96.179555536,SLD,EUR,JPY,20160316 17:30:03 EST,,9943.70311106,63306.6995555
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,125.805,10000.0,0.0,49.13288884,BOT,EUR,JPY,20160316 18:25:00 EST,,9992.8359999,74377.5395555
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,126.554,50000.0,-50000.0,-2.0,SLD,EUR,JPY,20160316 20:17:55 EST,,9990.8359999,18693.7795555
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,126.554,60000.0,10000.0,4.911999952,BOT,EUR,JPY,20160316 20:34:35 EST,,9995.74799985,85514.2915555
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,126.554,20000.0,-10000.0,76.432000064,SLD,EUR,JPY,20160317 01:54:37 EST,,10072.1799999,107709.363555
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,126.554,10000.0,0.0,-59.184000016,BOT,EUR,JPY,20160317 03:33:47 EST,,10012.9959999,118846.115555
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,126.163,50000.0,-50000.0,-2.0,SLD,EUR,JPY,20160317 06:43:32 EST,,10010.9959999,63334.395555
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,126.163,60000.0,10000.0,-191.215999808,BOT,EUR,JPY,20160317 07:50:59 EST,,9819.78000009,129948.459555
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,126.163,10000.0,0.0,8.179999984,SLD,EUR,JPY,20160317 08:43:06 EST,,9827.96000007,141040.623555
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,126.314,40000.0,-40000.0,-2.0,SLD,EUR,JPY,20160317 09:35:09 EST,,9825.96000007,96578.095555
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,126.314,40000.0,0.0,-32.8,BOT,EUR,JPY,20160317 10:35:16 EST,,9793.16000007,141040.623555
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,125.985,10000.0,-10000.0,-2.0,SLD,EUR,JPY,20160317 11:43:56 EST,,9791.16000007,129953.943555
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,125.985,20000.0,10000.0,-22.181333392,BOT,EUR,JPY,20160317 12:59:44 EST,,9768.97866668,152127.303555
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,125.985,10000.0,0.0,0.317333392,SLD,EUR,JPY,20160317 13:54:16 EST,,9769.29600007,163211.666222
