symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
AUDCHF,AUD,,-20000.0,-20000.0,0.70831,0.70831,-14533.10458,2.0,-34.41844,-2.0,0.0,Paper,CHF,-32.41844
EURJPY,EUR,,20000.0,20000.0,123.525,123.525,-22234.5,2.0,-98.84,-2.0,0.0,Paper,JPY,-96.84
EURUSD,EUR,,-20000.0,-20000.0,1.1316,1.1316,-22632.0,2.0,20.2,-2.0,0.0,Paper,USD,22.2
NZDUSD,NZD,,-20000.0,-20000.0,0.67753,0.67753,-13550.6,2.0,30.8,-2.0,0.0,Paper,USD,32.8
AUDCAD,AUD,,-20000.0,-20000.0,0.93954,0.93954,0.0,2.0,-49.45566,25.48242,29.48242,Paper,CAD,-47.45566
GBPAUD,GBP,,20000.0,20000.0,1.97768,1.97768,0.0,2.0,-78.9957,-34.5514,-30.5514,Paper,AUD,-76.9957
GBPCAD,GBP,,-20000.0,-20000.0,1.85782,1.85782,0.0,2.0,-27.38326,74.83,78.83,Paper,CAD,-25.38326
CADCHF,CAD,,-20000.0,-20000.0,0.75373,0.75373,0.0,2.0,8.66936,-47.90852,-43.90852,Paper,CHF,10.66936
EURAUD,EUR,,20000.0,20000.0,1.55624,1.55624,0.0,2.0,-34.0944,-0.142500000002,3.8575,Paper,AUD,-32.0944
GBPUSD,GBP,,-20000.0,-20000.0,1.43622,1.43622,0.0,2.0,23.4,-12.0,-8.0,Paper,USD,25.4
EURGBP,EUR,,-20000.0,-20000.0,0.78683,0.78683,0.0,2.0,-31.4882,-34.0664,-30.0664,Paper,GBP,-29.4882
GBPCHF,GBP,,-20000.0,-20000.0,1.3993,1.3993,0.0,2.0,-26.00606,-64.21932,-56.21932,Paper,CHF,-24.00606
AUDUSD,AUD,,-20000.0,-20000.0,0.72655,0.72655,0.0,2.0,-18.4,-73.8,-65.8,Paper,USD,-16.4
USDCAD,USD,,20000.0,20000.0,1.29423,1.29423,0.0,2.0,20.0724,-59.71248,-51.71248,Paper,CAD,22.0724
GBPJPY,GBP,,20000.0,20000.0,156.133,156.133,-28103.94,2.0,-8.12,-2.0,0.0,Paper,JPY,-6.12
NZDCHF,NZD,,-20000.0,-20000.0,0.6596,0.6596,0.0,2.0,-2.82072,-24.10764,-20.10764,Paper,CHF,-0.820720000001
EURCAD,EUR,,-20000.0,-20000.0,1.46324,1.46324,0.0,2.0,-28.17156,-140.74972,-132.74972,Paper,CAD,-26.17156
USDCHF,USD,,20000.0,20000.0,0.9757,0.9757,0.0,2.0,2.1036,-176.2476,-168.2476,Paper,CHF,4.1036
NZDJPY,NZD,,-20000.0,-20000.0,73.504,73.504,0.0,2.0,-7.4,-153.82,-143.82,Paper,JPY,-5.4
AUDNZD,AUD,,20000.0,20000.0,1.07706,1.07706,0.0,2.0,-15.46716,-65.1519,-61.1519,Paper,NZD,-13.46716
GBPNZD,GBP,,20000.0,20000.0,2.12347,2.12347,0.0,2.0,-9.97036,-59.6551,-55.6551,Paper,NZD,-7.97036
NZDCAD,NZD,,-20000.0,-20000.0,0.87553,0.87553,0.0,2.0,-7.67576,-142.90738,-132.90738,Paper,CAD,-5.67576
EURNZD,EUR,,20000.0,20000.0,1.6729,1.6729,0.0,2.0,-7.4968,-261.82956,-249.82956,Paper,NZD,-5.4968
USDJPY,USD,,20000.0,20000.0,108.796,108.796,0.0,2.0,-3.26,48.36,54.36,Paper,JPY,-1.26
CADJPY,CAD,,20000.0,20000.0,83.968,83.968,0.0,2.0,-3.44,112.46,116.46,Paper,JPY,-1.44
CHFJPY,CHF,,20000.0,20000.0,111.49,111.49,0.0,2.0,-5.96,83.12,87.12,Paper,JPY,-3.96
EURCHF,EUR,,-20000.0,-20000.0,1.10316,1.10316,0.0,2.0,-5.0777,-133.108,-123.108,Paper,CHF,-3.0777
AUDJPY,AUD,,20000.0,20000.0,79.134,79.134,0.0,2.0,-3.08,-144.26,-136.26,Paper,JPY,-1.08
