permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available,openprice
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,111.365,10000.0,10000.0,-2.0,BOT,USD,JPY,20160318 06:23:52 EST,,9998.0,20199.88,111.365
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,111.354,20000.0,-10000.0,-2.968,SLD,USD,JPY,20160318 06:26:34 EST,,9995.032,29999.032,111.365
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,111.37,20000.0,10000.0,-2.44,BOT,USD,JPY,20160318 06:33:56 EST,,9992.592,39799.592,111.365
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,111.377,20000.0,-10000.0,-0.944,SLD,USD,JPY,20160318 06:35:22 EST,,9991.648,49600.768,111.365
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,111.434,20000.0,10000.0,-8.072,BOT,USD,JPY,20160318 06:43:37 EST,,9983.576,59406.96,111.365
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,111.439,20000.0,-10000.0,4.512,SLD,USD,JPY,20160318 06:53:17 EST,,9988.088,69213.592,111.365
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,111.431,20000.0,10000.0,-7.808,BOT,USD,JPY,20160318 07:05:39 EST,,9980.28,79019.52,111.365
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,111.416,20000.0,-10000.0,2.488,SLD,USD,JPY,20160318 07:10:20 EST,,9982.768,88824.128,111.365
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,111.438,20000.0,10000.0,-8.424,BOT,USD,JPY,20160318 07:16:49 EST,,9974.344,98630.672,111.365
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,111.461,20000.0,-10000.0,6.448,SLD,USD,JPY,20160318 07:20:41 EST,,9980.792,108439.24,111.365
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,111.492,20000.0,10000.0,-13.176,BOT,USD,JPY,20160318 07:22:31 EST,,9967.616,118250.536,111.365
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,111.482,20000.0,-10000.0,8.296,SLD,USD,JPY,20160318 07:23:39 EST,,9975.912,128060.952,111.365
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,111.438,20000.0,10000.0,-8.424,BOT,USD,JPY,20160318 07:26:44 EST,,9967.488,137867.496,111.365
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,111.426,20000.0,-10000.0,3.368,SLD,USD,JPY,20160318 07:27:29 EST,,9970.856,147672.984,111.365
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,111.435,20000.0,10000.0,-8.16,BOT,USD,JPY,20160318 07:28:25 EST,,9962.696,157479.264,111.365
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,111.449,20000.0,-10000.0,5.392,SLD,USD,JPY,20160318 07:30:29 EST,,9968.088,167286.776,111.365
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,111.449,20000.0,10000.0,-9.392,BOT,USD,JPY,20160318 07:34:31 EST,,9958.696,177094.288,111.365
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,111.43,20000.0,-10000.0,3.72,SLD,USD,JPY,20160318 07:36:33 EST,,9962.416,186900.128,111.365
