symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
AUDCAD,open,long,2.0,0.0,0.97844,0.0,-2.0,0.0,2.0,1.0,,,,,AUDCAD,,20160425 07:06:33 EST,20160425 07:06:33 EST,2.0,CAD,-3.26128,-1.26128,99998.0,1984573.91496,100000.0
AUDCHF,open,short,2.0,0.0,0.7521,0.0,-2.0,0.0,2.0,2.0,,,,,AUDCHF,,20160425 07:09:58 EST,20160425 07:09:58 EST,-2.0,CHF,-2.41036,-0.41036,99996.0,1969142.32716,100000.0
AUDNZD,open,long,2.0,0.0,1.12306,0.0,-2.0,0.0,2.0,3.0,,,,,AUDNZD,,20160425 07:11:01 EST,20160425 07:11:01 EST,2.0,NZD,-5.71034,-3.71034,99994.0,1953709.23664,100000.0
GBPAUD,open,long,2.0,0.0,1.87554,0.0,-2.0,0.0,2.0,3.0,,,,,GBPAUD,,20160425 07:17:33 EST,20160425 07:17:33 EST,2.0,AUD,-3.0801,-1.0801,99994.0,1940202.74496,100000.0
GBPCAD,open,long,2.0,0.0,1.83513,0.0,-2.0,0.0,2.0,4.0,,,,,GBPCAD,,20160425 07:17:57 EST,20160425 07:17:57 EST,2.0,CAD,-4.3649,-2.3649,99992.0,1911270.08538,100000.0
GBPNZD,open,long,2.0,0.0,2.10611,0.0,-2.0,0.0,2.0,5.0,,,,,GBPNZD,,20160425 07:18:11 EST,20160425 07:18:11 EST,2.0,NZD,-3.64903999999,-1.64903999999,99990.0,1882327.92176,100000.0
CADCHF,open,long,2.0,0.0,0.76875,0.0,-2.0,0.0,2.0,6.0,,,,,CADCHF,,20160425 07:18:19 EST,20160425 07:18:19 EST,2.0,CHF,-3.84662,-1.84662,99988.0,1866554.70926,100000.0
NZDCHF,open,short,2.0,0.0,0.66971,0.0,-2.0,0.0,2.0,7.0,,,,,NZDCHF,,20160425 07:18:31 EST,20160425 07:18:31 EST,-2.0,CHF,0.667339999999,2.66734,99986.0,1852813.59948,100000.0
NZDCAD,open,short,2.0,0.0,0.87128,0.0,-2.0,0.0,2.0,8.0,,,,,NZDCAD,,20160425 07:18:39 EST,20160425 07:18:39 EST,-2.0,CAD,-0.581059999998,1.41894,99984.0,1839076.999,100000.0
EURCAD,open,short,2.0,0.0,1.42707,0.0,-2.0,0.0,2.0,9.0,,,,,EURCAD,,20160425 07:18:44 EST,20160425 07:18:44 EST,-2.0,CAD,0.68022,2.68022,99982.0,1816577.81338,100000.0
EURAUD,open,long,2.0,0.0,1.45864,0.0,-2.0,0.0,2.0,10.0,,,,,EURAUD,,20160425 07:18:47 EST,20160425 07:18:47 EST,2.0,AUD,-3.543,-1.543,99980.0,1794070.99818,100000.0
EURNZD,open,long,2.0,0.0,1.638,0.0,-2.0,0.0,2.0,11.0,,,,,EURNZD,,20160425 07:18:49 EST,20160425 07:18:49 EST,2.0,NZD,-5.57292,-3.57292,99978.0,1771561.60218,100000.0
